predictor,coefficient,se,t_stat,p_value,ci_lower,ci_upper
const,4.205261435742543,23.669492838978822,0.17766588681686224,0.8589973759707691,-42.204822551177294,50.61534542266238
total_weight,183.50469048847742,70.24309238665411,2.6124232896577677,0.009035150331810264,45.775173453915016,321.2342075230398
total_value,-2.1247703365358603,3.9061393517033167,-0.5439566142486263,0.5865117640922282,-9.783753847945338,5.534213174873618
mean_weight,-0.0006068083578743867,0.005758753752231634,-0.10537147167288342,0.9160880991410392,-0.011898315409556128,0.010684698693807355
mean_value,0.0034373751406915794,0.005952518696261585,0.5774656605195353,0.5636682782877589,-0.00823405755567241,0.015108807837055569
median_weight,-6.49072422954553e-06,0.0007178125862459554,-0.0090423661466999,0.9927859354060222,-0.0014139455709038264,0.0014009641224447353
median_value,0.0006751860055319897,0.0006446587174937492,1.047354184795518,0.2950206550778166,-0.0005888320038659554,0.0019392040149299348
std_weight,-0.006553281220060885,0.006282479271885535,-1.043104312239788,0.2969840589220212,-0.01887168587020758,0.00576512343008581
std_value,0.002745539126704954,0.006427584062881394,0.42714947013453264,0.6693011265867288,-0.009857380514229049,0.015348458767638956
min_weight,-0.0007926738007133106,0.001027545013730723,-0.771424891485131,0.4405159016501444,-0.0028074381521087243,0.0012220905506821031
max_weight,-0.0008671071688720602,0.0010295404346862052,-0.8422274052173062,0.39972783477423324,-0.002885784052519989,0.0011515697147758686
min_value,-0.0006104974556077601,0.001014721264634192,-0.6016405459166612,0.5474589094545539,-0.002600117572749996,0.001379122661534476
max_value,-0.002000136082473182,0.0007946506019719289,-2.517000650990304,0.011887607497845789,-0.003558251477199347,-0.0004420206877470169
weight_cv,3.347173743542372,3.043614902233329,1.099736284339487,0.27153530999433945,-2.620610365624193,9.314957852708936
value_cv,-2.7923073061317885,2.8965147215495683,-0.9640231707981683,0.33511203422622954,-8.471663953566607,2.8870493413030296
weight_skewness,0.13195233464283307,0.2402541630654285,0.5492197636005102,0.582895532925473,-0.33912729354892696,0.603031962834593
value_skewness,0.20139164288667805,0.2282292038245118,0.8824096106540796,0.3776260615757498,-0.24610998251022748,0.6488932682835835
weight_kurtosis,0.023680240819629383,0.15286579434116374,0.1549086957071649,0.8769037225652622,-0.27605217855935316,0.3234126601986119
value_kurtosis,-0.07672458638056483,0.16099358664596106,-0.4765692098610666,0.6337036326997996,-0.3923936177545747,0.23894444499344503
capacity_ratio,-212.0360383795121,76.81804678510737,-2.760237304297345,0.005811053867976148,-362.65743222437413,-61.41464453465008
slack,-181.0303910142652,69.54882285002886,-2.6029253062216293,0.009288739501617719,-317.39861536192745,-44.662166666602985
average_fillable_items,1.2931144529986587,0.11427974131425239,11.315342843162247,4.248530848085597e-29,1.0690398423393308,1.5171890636579866
pearson_corr,0.4234011509218696,0.15420859978464738,2.7456390338356624,0.006075338186015769,0.12103581862691865,0.7257664832168205
spearman_corr,0.008617278492474956,0.11157702573662046,0.0772316562086553,0.9384444107441462,-0.21015796822171193,0.22739252520666184
kendall_corr,-0.034623991082117556,0.06950864592983083,-0.49812495437000126,0.6184324985595466,-0.17091343831979222,0.10166545615555711
mean_ratio,-0.025477235194754415,0.01917376784590708,-1.3287547549081702,0.18402998323905895,-0.06307230248782456,0.012117832098315719
median_ratio,-0.34585667047516216,0.23612739692034343,-1.4647036937938864,0.14310659419612887,-0.8088447199968303,0.11713137904650589
std_ratio,0.004445022099258877,0.0041325948331446495,1.0756007493423907,0.28219237463843533,-0.003657985201949895,0.012548029400467649
ratio_entropy,0.050274422254960954,0.041743903159039725,1.2043536528776642,0.22854795668022507,-0.03157515790851774,0.13212400241843963
unique_ratio_count,69.42611612908979,10.702934733003914,6.486642949900944,1.0229241529087256e-10,48.44027992024505,90.41195233793454
duplicate_ratio_fraction,82.07741177776512,10.871913649364162,7.549490772727521,5.762823158726265e-14,60.76024925983347,103.39457429569677
unique_weights,3.1013724525371726,0.9719611341083209,3.1908399870148902,0.001433244185580215,1.1955944887734522,5.0071504163008935
unique_values,3.9393886609391116,0.9419568660697003,4.182132752401016,2.9706272495874735e-05,2.0924417253309784,5.786335596547245
unique_pairs,-20.250562974016383,2.5893940611463093,-7.820579832894024,7.224207482361764e-15,-25.32773115292766,-15.173394795105104
duplicate_items,0.012299423372826745,0.49168079882451576,0.02501505733441605,0.9800446176170914,-0.9517663182734609,0.9763651650191144
duplicate_pairs,-0.023866058101317034,0.49186719011087515,-0.04852134596726653,0.9613039837898258,-0.9882972674537873,0.9405651512511533
n,0.00353686414968608,0.0006694460348899202,5.283269995418916,1.359791489403093e-07,0.002224244275854762,0.004849484023517398
log_n,-56.557087123538764,9.835582126687743,-5.750253151776089,9.807792574537297e-09,-75.84225709592248,-37.27191715115505
cap_mode,-23.375307918946476,10.303235315576174,-2.268734742339454,0.02335523355818608,-43.57743136898651,-3.1731844689064417
WeaklyCorrelated,-0.14950342711704093,0.2983377377722051,-0.5011214076818998,0.6163224598733745,-0.7344707333735725,0.4354638791394907
StronglyCorrelated,0.7035369433103416,0.635394738713378,1.1072438917812664,0.268277295232916,-0.5423166704169857,1.9493905570376688
InverseCorrelated,2.4408742899463105,0.659340978048778,3.70199088363917,0.00021776418475121531,1.1480679600671342,3.7336806198254866
AlmostEqualRatios,-0.28527527324266716,0.3698918407840707,-0.7712397024977915,0.4406256242880089,-1.0105426675906792,0.43999212110534497
