predictor,coefficient,se,t_stat,p_value,ci_lower,ci_upper
const,-6.2511909456461865,13.650005114172492,-0.4579625350583727,0.6470125364053405,-33.01551108043965,20.51312918914728
total_weight,157.21814922201057,21.999868077781553,7.146322362759563,1.1144010272583688e-12,114.08179086668518,200.35450757733594
total_value,-3.912023675164552,2.332267726664794,-1.6773476005513535,0.09357873681402129,-8.485030026033433,0.66098267570433
mean_weight,-0.007493348875333489,0.0036507700838440695,-2.052539246033096,0.0402038895004537,-0.014651615736426381,-0.000335082014240597
mean_value,0.005484368169123265,0.0038730619363878233,1.4160290383164416,0.15687085013493063,-0.0021097586242607965,0.013078494962507327
median_weight,0.00035571108126744415,0.0002913704747305448,1.2208206119593985,0.22224992087417156,-0.00021559512691984937,0.0009270172894547377
median_value,-0.0008439706262436634,0.00027087848731494497,-3.1156797817701767,0.0018525659887083472,-0.0013750970611047311,-0.0003128441913825956
std_weight,0.0019590309745973903,0.0033389732654770456,0.5867165798698001,0.5574382310742463,-0.004587878616371067,0.008505940565565848
std_value,0.0028236095363257524,0.003173017416187112,0.8898815121282161,0.3736008888782565,-0.0033979012403942315,0.009045120313045735
min_weight,0.0004067942806048738,0.0005421625422793427,0.7503179376698398,0.4531221021804397,-0.000656253808043224,0.0014698423692529716
max_weight,-0.00027099274308933514,0.0004530758342071478,-0.598117848336701,0.5498064666251237,-0.0011593635950143855,0.0006173781088357153
min_value,2.6631876109775056e-06,0.0004946788223364933,0.005383670152683304,0.9957048315268097,-0.0009672809445835227,0.0009726073198054777
max_value,0.00016166700475412634,0.00031712936120607474,0.5097825194718348,0.6102413449167284,-0.00046014607710686834,0.000783480086615121
weight_cv,0.049269977503264395,1.5674144533121213,0.03143391806752289,0.9749255834975282,-3.024046249227768,3.1225862042342967
value_cv,-2.0252471188356282,1.4556176711364672,-1.3913317755028525,0.16422804055580464,-4.8793572102457095,0.8288629725744525
weight_skewness,-0.02751890117801853,0.0887296278505255,-0.310143317904782,0.7564735221638252,-0.20149599095704446,0.1464581886010074
value_skewness,-0.11318997004202253,0.08183462438201905,-1.383155001892976,0.1667203038508731,-0.27364764509423534,0.047267705010190286
weight_kurtosis,0.10907687887459688,0.08509806967527427,1.2817785325897915,0.20001943119666432,-0.057779613895301646,0.2759333716444954
value_kurtosis,-0.08342675853029884,0.08275174467785294,-1.0081570951171324,0.31346038396785203,-0.2456826820809191,0.07882916502032143
capacity_ratio,-173.05332697832648,23.61726804670405,-7.327406651612155,3.0017524577097346e-13,-219.36101092599915,-126.7456430306538
slack,-153.07762862450312,21.768923870137197,-7.031933665517402,2.5121818471382877e-12,-195.76116189625017,-110.39409535275607
average_fillable_items,1.02998732919648,0.020158403708243133,51.09468706469549,0.0,0.9904616318988542,1.069513026494106
pearson_corr,0.06366319735066756,0.0842663819410681,0.7554993567326833,0.45000874899890836,-0.1015625592704684,0.2288889539718035
spearman_corr,0.09954247673100117,0.03244275710753334,3.068249606562785,0.002172407577945179,0.03593016816271914,0.16315478529928318
kendall_corr,-0.09591464201415176,0.0174289580170831,-5.503177064293828,4.0443970538127144e-08,-0.13008856415435355,-0.061740719873949954
mean_ratio,-0.007590235684640293,0.004346939564756225,-1.7461102395303147,0.0808941871536422,-0.016113520558500096,0.0009330491892195099
median_ratio,0.23434244754101188,0.09257923974660662,2.5312634688124174,0.011415937968614263,0.05281721075986884,0.41586768432215493
std_ratio,0.0015382832118125073,0.0008014034601523772,1.9194866110510946,0.05501756094637746,-3.307288551081082e-05,0.0031096393091358254
ratio_entropy,0.03979192464499098,0.013469652488126212,2.954190888003118,0.0031592846704549074,0.013381231881050403,0.06620261740893155
unique_ratio_count,5.372420927265571,1.3551230095728133,3.964526385659383,7.525895699211887e-05,2.7153562780681626,8.02948557646298
duplicate_ratio_fraction,2.2652037514933885,1.2825467264627788,1.7661763932303232,0.0774679813626391,-0.249556564547869,4.779964067534646
unique_weights,0.699440738990848,0.23856002500234294,2.931927673062487,0.0033941412087596817,0.23168290101775119,1.1671985769639448
unique_values,0.11187411480573095,0.22995893765343198,0.4864960498918939,0.6266510539979403,-0.33901909539703917,0.562767325008501
unique_pairs,-4.339336113811926,0.4784741808996031,-9.069112372277486,2.1159799015487106e-19,-5.277506909113229,-3.4011653185106234
duplicate_items,-0.2253234462881345,0.08551751854320454,-2.6348220823818482,0.00846144862031409,-0.39300237565696194,-0.057644516919307054
duplicate_pairs,0.2244182698572946,0.08554332958410857,2.6234455795485534,0.008748630537133012,0.056688731352720345,0.39214780836186885
n,0.00030460071762378454,0.0001356740855042705,2.245091363554441,0.024834856289936542,3.857703279296944e-05,0.0005706244024545996
log_n,-1.4008357049034732,2.7075191195599504,-0.517387188435127,0.6049240588660557,-6.709618220430737,3.9079468106237902
cap_mode,-20.596083400467947,3.3769859099806685,-6.098954496551586,1.204357500793506e-09,-27.217526486343942,-13.974640314591952
WeaklyCorrelated,-0.17045620175104345,0.18152792884398028,-0.9390081341012118,0.3478021870315304,-0.5263880538162017,0.1854756503141148
StronglyCorrelated,-0.0532700688199704,0.38815912911058353,-0.1372377069735082,0.8908521194051048,-0.8143551459216497,0.7078150082817088
InverseCorrelated,0.08209001540484417,0.3936286054865227,0.2085468745427721,0.834816148803324,-0.6897193665942255,0.8538993974039139
AlmostEqualRatios,-0.1479211396028563,0.22731354831282038,-0.6507361338590024,0.5152666846732155,-0.5936273885846532,0.2977851093789406
