predictor,se_standard,se_robust,ratio_std_robust
const,214.33418083496707,214.33418083496707,1.0
total_weight,771.7697452464145,771.7697452464145,1.0
total_value,43.94833712375614,43.94833712375614,1.0
mean_weight,0.07042608585446032,0.07042608585446032,1.0
mean_value,0.07003877170869237,0.07003877170869237,1.0
median_weight,0.006312539030720121,0.006312539030720121,1.0
median_value,0.006101804817433826,0.006101804817433826,1.0
std_weight,0.060105739994985856,0.060105739994985856,1.0
std_value,0.06305990837433943,0.06305990837433943,1.0
min_weight,0.008745533939505588,0.008745533939505588,1.0
max_weight,0.00849905961739114,0.00849905961739114,1.0
min_value,0.008934604872662028,0.008934604872662028,1.0
max_value,0.006943263358677202,0.006943263358677202,1.0
weight_cv,29.055595083973035,29.055595083973035,1.0
value_cv,29.246853261112598,29.246853261112598,1.0
weight_skewness,1.8416964496209032,1.8416964496209032,1.0
value_skewness,1.8317613951379161,1.8317613951379161,1.0
weight_kurtosis,1.424981738234128,1.424981738234128,1.0
value_kurtosis,1.49740132986644,1.49740132986644,1.0
capacity_ratio,845.5806341495933,845.5806341495933,1.0
slack,760.5131834065154,760.5131834065154,1.0
average_fillable_items,1.926078959018148,1.926078959018148,1.0
pearson_corr,1.4044540662219476,1.4044540662219476,1.0
spearman_corr,0.8236749042831035,0.8236749042831035,1.0
kendall_corr,0.508032047730892,0.508032047730892,1.0
mean_ratio,0.3693786365338917,0.3693786365338917,1.0
median_ratio,2.0270718213834424,2.0270718213834424,1.0
std_ratio,0.07519106355368031,0.07519106355368031,1.0
ratio_entropy,0.40822715666360415,0.40822715666360415,1.0
unique_ratio_count,91.32869551150341,91.32869551150341,1.0
duplicate_ratio_fraction,92.59591709261704,92.59591709261704,1.0
unique_weights,7.182022367207193,7.182022367207193,1.0
unique_values,7.250137155381867,7.250137155381867,1.0
unique_pairs,22.04013833569066,22.04013833569066,1.0
duplicate_items,3.987778594138968,3.987778594138968,1.0
duplicate_pairs,3.9862511225510007,3.9862511225510007,1.0
n,0.006285858192274899,0.006285858192274899,1.0
log_n,89.4856562803408,89.4856562803408,1.0
cap_mode,111.36683872438724,111.36683872438724,1.0
WeaklyCorrelated,2.932959475137298,2.932959475137298,1.0
StronglyCorrelated,6.2903895589315395,6.2903895589315395,1.0
InverseCorrelated,6.409322755886242,6.409322755886242,1.0
AlmostEqualRatios,3.6232345985097925,3.6232345985097925,1.0
