predictor,coefficient,se,t_stat,p_value,ci_lower,ci_upper
const,-8.054612907672957e+16,866371.7088496627,-92969482098.71237,0.0,-8.054612907842763e+16,-8.05461290750315e+16
total_weight,-2.4650016025207874e+19,6207674196.876793,-3970893968.2449503,0.0,-2.4650016037374693e+19,-2.4650016013041054e+19
total_value,3.726589075997069e+18,518237871.8950928,7190885263.4981575,0.0,3.726589074981341e+18,3.7265890770127964e+18
mean_weight,-7.940146207985408e+16,22381585.64367296,-3547624522.4073315,0.0,-7.940146212372118e+16,-7.940146203598698e+16
mean_value,-1.4843892642902198e+17,22861146.883434698,-6493065601.034285,0.0,-1.4843892647382902e+17,-1.4843892638421494e+17
median_weight,-6012036828161036.0,2946381.0043721152,-2040481804.369433,0.0,-6012036833935837.0,-6012036822386235.0
median_value,-1.26314967032938e+16,2784925.928120096,-4535667026.454961,0.0,-1.2631496708752154e+16,-1.2631496697835446e+16
std_weight,-2.5844206455790936e+16,9050043.879302794,-2855699574.550786,0.0,-2.5844206473528696e+16,-2.5844206438053176e+16
std_value,-1.0324432862700788e+16,9172636.614237973,-1125568721.0670671,0.0,-1.0324432880678826e+16,-1.032443284472275e+16
min_weight,1.3201479843877052e+16,2124836.7951225066,6212938270.920673,0.0,1.3201479839712448e+16,1.3201479848041656e+16
max_weight,7300959036132967.0,1908805.1974243666,3824884302.4864283,0.0,7300959032391778.0,7300959039874156.0
min_value,-1.4213924357277324e+16,2089956.2740483722,-6801063033.603133,0.0,-1.4213924361373564e+16,-1.4213924353181084e+16
max_value,-1.887461766386453e+16,2442373.0888995966,-7727982980.834606,0.0,-1.8874617668651492e+16,-1.8874617659077564e+16
weight_cv,2.0641042970886984e+16,13262530.422487598,1556342742.5499868,0.0,2.0641042944892904e+16,2.0641042996881064e+16
value_cv,4.346232529045494e+16,13242648.47363659,3281996450.859476,0.0,4.346232526449983e+16,4.3462325316410056e+16
weight_skewness,-8135650968641176.0,2695514.139368949,-3018218621.010768,0.0,-8135650973924287.0,-8135650963358065.0
value_skewness,-331811788031466.5,2583473.9843323687,-128436280.00272454,0.0,-331811793094982.44,-331811782967950.56
weight_kurtosis,-4170828800090605.0,2488432.224721903,-1676086958.9513211,0.0,-4170828804967842.5,-4170828795213367.5
value_kurtosis,1.5424472560396144e+16,2445020.1529526175,6308525736.1864605,0.0,1.5424472555603992e+16,1.5424472565188296e+16
capacity_ratio,5.323741685418902e+18,1200415284.8804178,4434916609.670826,0.0,5.32374168306613e+18,5.323741687771673e+18
slack,2.72904325330398e+19,6393133947.348747,4268709643.469496,0.0,2.729043252050949e+19,2.729043254557011e+19
average_fillable_items,-1.2618844841743557e+17,19061549.898554295,-6620051836.760987,0.0,-1.2618844845479552e+17,-1.2618844838007562e+17
pearson_corr,7.868824118397513e+17,40744555.98709185,19312577908.298744,0.0,7.868824117598934e+17,7.868824119196092e+17
spearman_corr,-7.43422863214627e+17,19659398.44613956,-37815137897.09115,0.0,-7.434228632531587e+17,-7.434228631760952e+17
kendall_corr,5.025432126184758e+17,10492224.12754646,47896728711.60753,0.0,5.025432125979114e+17,5.025432126390401e+17
mean_ratio,-5.511530414128446e+16,3122273.108771832,-17652300814.57046,0.0,-5.511530414740401e+16,-5.511530413516492e+16
median_ratio,1877441493568506.0,2138230.3725504675,878035181.6484141,0.0,1877441489377651.5,1877441497759360.5
std_ratio,5.526509671435086e+16,3126593.894764146,17675815463.881912,0.0,5.5265096708222856e+16,5.526509672047887e+16
ratio_entropy,-2028325301298817.0,2398097.024511675,-845806187.3922075,0.0,-2028325305999000.8,-2028325296598633.2
unique_ratio_count,9.31295675632428e+18,376183193.8567762,24756440235.525227,0.0,9.312956755586976e+18,9.312956757061585e+18
duplicate_ratio_fraction,5.3869437036477146e+17,22137292.53866917,24334248166.246452,0.0,5.386943703213832e+17,5.3869437040815974e+17
unique_weights,3.891866548489216e+17,52133763.22606826,7465155606.766519,0.0,3.891866547467413e+17,3.891866549511019e+17
unique_values,4.3300193255777184e+17,51551682.80520242,8399375325.805558,0.0,4.330019324567324e+17,4.3300193265881126e+17
unique_pairs,-3.0902424059622564e+18,117112001.53451985,-26387068494.012363,0.0,-3.0902424061917916e+18,-3.090242405732721e+18
duplicate_items,-7.250928745125599e+17,188379732.0856804,-3849102376.8032923,0.0,-7.250928748817774e+17,-7.250928741433423e+17
duplicate_pairs,7.22017809735958e+17,187807072.43726397,3844465495.1806703,0.0,7.220178093678629e+17,7.220178101040531e+17
n,2.955143290114081e+16,10219259.063899515,2891739285.2417254,0.0,2.9551432881111428e+16,2.9551432921170188e+16
log_n,-1.2458390283883872e+19,580954624.1021352,-21444687359.427258,0.0,-1.2458390285022523e+19,-1.2458390282745221e+19
cap_mode,1.302994212762796e+18,345424019.0920318,3772158682.5021496,0.0,1.3029942120857774e+18,1.3029942134398147e+18
WeaklyCorrelated,-5.777575439749193e+16,10293962.472543526,-5612586460.42219,0.0,-5.777575441766772e+16,-5.7775754377316136e+16
StronglyCorrelated,-2.1727958757608422e+17,21794854.437757414,-9969306663.487919,0.0,-2.1727958761880134e+17,-2.172795875333671e+17
InverseCorrelated,1.9753122727395622e+17,22085752.7460111,8943830420.705595,0.0,1.9753122723066896e+17,1.975312273172435e+17
AlmostEqualRatios,-9.616784875814626e+16,12784365.319310864,-7522301370.165331,0.0,-9.616784878320315e+16,-9.616784873308936e+16
selected_count,1.8173654724135987e+18,119992997.85041353,15145596034.521738,0.0,1.8173654721784166e+18,1.8173654726487808e+18
residual_capacity,4.894295713846543e+16,1246603.3214259103,39261051448.57362,0.0,4.8942957136022136e+16,4.894295714090873e+16
capacity_utilization,-1.8483065175342586e+17,1300594.312120611,-142112455844.94415,0.0,-1.8483065175597498e+17,-1.8483065175087674e+17
last_selected_position,-3615214507545001.0,2204217.8612498036,-1640134839.2554784,0.0,-3615214511865188.5,-3615214503224813.5
first_skipped_position,-1.7851450055762693e+18,119015869.77764371,-14999218246.368654,0.0,-1.7851450058095363e+18,-1.7851450053430024e+18
