predictor,r2_full,r2_without,delta_r2,rank_by_perm_importance
cap_mode,0.8588109608644257,0.8586399742589652,0.00017098660546044364,1
last_selected_position,0.8588109608644257,0.85872237775229,8.858311213566505e-05,4
InverseCorrelated,0.8588109608644257,0.8587314310190974,7.952984532821894e-05,8
capacity_utilization,0.8588109608644257,0.8587422685489116,6.869231551409616e-05,10
first_skipped_position,0.8588109608644257,0.8587463081592273,6.465270519839805e-05,2
residual_capacity,0.8588109608644257,0.8587649947805344,4.59660838912912e-05,5
selected_count,0.8588109608644257,0.8587687477545944,4.221310983121285e-05,3
WeaklyCorrelated,0.8588109608644257,0.8587926592358088,1.8301628616823606e-05,6
StronglyCorrelated,0.8588109608644257,0.8587989829044919,1.1977959933795468e-05,9
AlmostEqualRatios,0.8588109608644257,0.8588062976302421,4.663234183577281e-06,7
