predictor,importance_mean,importance_sd,n_valid_folds,predictor_type,metric
slack,5140.715632542875,4897.166642649863,5,instance_characteristic,r2
total_weight,4404.623002683582,4588.20271373689,5,instance_characteristic,r2
capacity_ratio,225.25383075015907,196.4912758539983,5,instance_characteristic,r2
log_n,162.01679189318912,271.7112290336815,5,instance_characteristic,r2
nodes_generated,151.30655199608637,169.84804420358208,5,execution_metric,r2
unique_ratio_count,150.3059364341054,300.7225114648812,5,instance_characteristic,r2
total_value,93.6060424210768,96.98325367576237,5,instance_characteristic,r2
internal_nodes,80.83506391497417,19.842217838798973,5,execution_metric,r2
explored_children,33.49883706277201,72.78839434024498,5,execution_metric,r2
cap_mode,7.830127512516303,9.0331978141455,5,execution_metric,r2
unique_pairs,7.381529708181885,5.823230401256518,5,instance_characteristic,r2
duplicate_pairs,4.8830844142836565,10.078879883731352,5,instance_characteristic,r2
duplicate_items,4.610264579735587,9.706581017137252,5,instance_characteristic,r2
duplicate_ratio_fraction,2.101256539095256,4.6953570081478935,5,instance_characteristic,r2
right_branches,1.450804418499977,0.7520887182298496,5,execution_metric,r2
bound_gap_variance,0.5952988626755766,0.6383897444950832,5,execution_metric,r2
pruned_generated_ratio,0.3789382474546829,0.2614549866686285,5,execution_metric,r2
average_fillable_items,0.33040171757496545,0.14252987784131305,5,instance_characteristic,r2
sum_improvement_amount,0.27423559973262573,0.17919583808626502,5,execution_metric,r2
left_branches,0.25864626238020383,0.08132062522258038,5,execution_metric,r2
final_queue_size,0.24476467618269887,0.471635720825953,5,execution_metric,r2
skipped_children,0.2081921156755438,0.17646417207392265,5,execution_metric,r2
mean_queue_size,0.1984865545847791,0.4304249284350962,5,execution_metric,r2
mean_value,0.14633256022902782,0.16279949068187005,5,instance_characteristic,r2
pruned_by_cap,0.13101103965291688,0.19771442375014564,5,execution_metric,r2
mean_weight,0.07278705720748957,0.11983167835921622,5,instance_characteristic,r2
unique_weights,0.06323277234808537,0.057479776888589754,5,instance_characteristic,r2
improvement_count,0.05120034277401018,0.024296667057003625,5,execution_metric,r2
unique_values,0.05016228580664994,0.05732059180068308,5,instance_characteristic,r2
value_cv,0.037825463730726636,0.0336286278397113,5,instance_characteristic,r2
mean_bound_gap,0.022169865957388186,0.02923833227935232,5,execution_metric,r2
max_depth,0.00496566903531132,0.017754187028001946,5,execution_metric,r2
weight_cv,0.003954985025159804,0.009400302720214932,5,instance_characteristic,r2
std_value,0.003762535587931157,0.005024447091954909,5,instance_characteristic,r2
kendall_corr,0.0032710810400377057,0.006198573369265303,5,instance_characteristic,r2
std_weight,0.0023944871172889956,0.0030128438094147946,5,instance_characteristic,r2
min_weight,0.001587233524338998,0.002629480741558402,5,instance_characteristic,r2
weight_kurtosis,0.001457894298909086,0.0025531427848253115,5,instance_characteristic,r2
median_weight,0.0014148682242871656,0.0016453324528076369,5,instance_characteristic,r2
skipped_infeasible,0.0014120746038195318,0.007806413756402295,5,execution_metric,r2
median_value,0.001349876168678953,0.0020274984739237804,5,instance_characteristic,r2
spearman_corr,0.0013382176578630146,0.0010285691982931694,5,instance_characteristic,r2
median_depth,0.001324076176179496,0.001307899200849028,5,execution_metric,r2
last_improvement_node,0.0009712505074996856,0.0021044124020173243,5,execution_metric,r2
value_skewness,0.0008887256319004434,0.0002889776692461678,5,instance_characteristic,r2
std_ratio,0.000885969111173286,0.001976065058219323,5,instance_characteristic,r2
bound_variance,0.0008521559568341697,0.004291654644767928,5,execution_metric,r2
skipped_by_bound,0.0006249740314106754,0.0025876569694492256,5,execution_metric,r2
mean_ratio,0.0005802682508516721,0.0010568300282734408,5,instance_characteristic,r2
max_value,0.00035795070986338053,0.0011239841315010223,5,instance_characteristic,r2
value_kurtosis,0.00011852049761301386,0.0007336309848166257,5,instance_characteristic,r2
median_ratio,2.8764608430693622e-05,0.00015615214045075666,5,instance_characteristic,r2
mean_improvement_amount,2.3955979672200117e-05,0.010767137677877878,5,execution_metric,r2
weight_skewness,5.094345805132234e-06,0.000109247840719977,5,instance_characteristic,r2
InverseCorrelated,0.0,0.0,5,execution_metric,r2
WeaklyCorrelated,0.0,0.0,5,execution_metric,r2
AlmostEqualRatios,0.0,0.0,5,execution_metric,r2
StronglyCorrelated,0.0,0.0,5,execution_metric,r2
pearson_corr,-0.00010396116896899566,0.00018998131601967927,5,instance_characteristic,r2
min_value,-0.00022717999450341583,0.0008141180167140564,5,instance_characteristic,r2
max_weight,-0.0002296312471526252,0.0012065538711011818,5,instance_characteristic,r2
ratio_entropy,-0.0004212915091870351,0.0010845037762747755,5,instance_characteristic,r2
mean_depth,-0.0014631189470964184,0.01358860571338124,5,execution_metric,r2
pruned_by_bound,-0.001864998018720232,0.005611772371064785,5,execution_metric,r2
n,-0.006170110164282324,0.019471605742847235,5,instance_characteristic,r2
avg_branching_factor,-0.06579389416182739,0.14874712380823535,5,execution_metric,r2
