predictor,importance_mean,importance_sd,n_valid_folds,predictor_type,metric
last_improvement_node,0.09080354472864592,0.27735333208343643,3,execution_metric,auc
mean_improvement_amount,0.004181166919079834,0.021689521603868812,3,execution_metric,auc
median_value,0.0010042728519924317,0.00047511098770206575,3,instance_characteristic,auc
mean_value,0.0006113656972675234,0.0002581118938555755,3,instance_characteristic,auc
mean_weight,0.0004269580009129052,0.0003149701377931294,3,instance_characteristic,auc
std_value,0.000176341167652,0.0003379314623989761,3,instance_characteristic,auc
final_queue_size,0.00016048517924538062,0.0001376124597438676,3,execution_metric,auc
std_weight,0.00014818932859376433,9.835352973337914e-05,3,instance_characteristic,auc
median_weight,8.78161341059129e-05,0.0011503510864242308,3,instance_characteristic,auc
min_weight,4.402950300311329e-05,4.818718929161647e-05,3,instance_characteristic,auc
bound_gap_variance,4.061447594152015e-05,3.6953094605612166e-05,3,execution_metric,auc
bound_variance,3.2832442760357776e-05,4.464883041794345e-05,3,execution_metric,auc
min_value,2.9432166535329173e-05,5.548295094299288e-05,3,instance_characteristic,auc
duplicate_items,1.3591266161133361e-05,1.66419101350257e-05,3,instance_characteristic,auc
duplicate_pairs,1.153365299240809e-05,1.8315218970243572e-05,3,instance_characteristic,auc
pruned_by_bound,8.417947969372128e-06,9.5647692566276e-06,3,execution_metric,auc
mean_bound_gap,1.286008230454161e-06,2.227431594098352e-06,3,execution_metric,auc
total_value,9.002057613176813e-07,1.5592021158684461e-06,3,instance_characteristic,auc
slack,6.430041152273117e-07,1.1137157970495767e-06,3,instance_characteristic,auc
total_weight,6.430041152270805e-07,1.113715797049176e-06,3,instance_characteristic,auc
average_fillable_items,0.0,0.0,3,instance_characteristic,auc
capacity_ratio,0.0,0.0,3,instance_characteristic,auc
spearman_corr,0.0,0.0,3,instance_characteristic,auc
kendall_corr,0.0,0.0,3,instance_characteristic,auc
mean_ratio,0.0,0.0,3,instance_characteristic,auc
pearson_corr,0.0,0.0,3,instance_characteristic,auc
median_ratio,0.0,0.0,3,instance_characteristic,auc
ratio_entropy,0.0,0.0,3,instance_characteristic,auc
weight_kurtosis,0.0,0.0,3,instance_characteristic,auc
weight_cv,0.0,0.0,3,instance_characteristic,auc
value_kurtosis,0.0,0.0,3,instance_characteristic,auc
value_skewness,0.0,0.0,3,instance_characteristic,auc
value_cv,0.0,0.0,3,instance_characteristic,auc
weight_skewness,0.0,0.0,3,instance_characteristic,auc
avg_branching_factor,0.0,0.0,3,execution_metric,auc
pruned_by_cap,0.0,0.0,3,execution_metric,auc
skipped_by_bound,0.0,0.0,3,execution_metric,auc
unique_pairs,0.0,0.0,3,instance_characteristic,auc
unique_ratio_count,0.0,0.0,3,instance_characteristic,auc
duplicate_ratio_fraction,0.0,0.0,3,instance_characteristic,auc
unique_weights,0.0,0.0,3,instance_characteristic,auc
unique_values,0.0,0.0,3,instance_characteristic,auc
AlmostEqualRatios,0.0,0.0,3,execution_metric,auc
pruned_generated_ratio,0.0,0.0,3,execution_metric,auc
cap_mode,0.0,0.0,3,execution_metric,auc
log_n,0.0,0.0,3,instance_characteristic,auc
InverseCorrelated,0.0,0.0,3,execution_metric,auc
StronglyCorrelated,0.0,0.0,3,execution_metric,auc
WeaklyCorrelated,0.0,0.0,3,execution_metric,auc
mean_queue_size,-7.716049382706463e-07,1.3364589564558064e-06,3,execution_metric,auc
sum_improvement_amount,-1.1574074074062006e-06,2.00468843468411e-06,3,execution_metric,auc
left_branches,-2.8292181069940654e-06,4.900349507007561e-06,3,execution_metric,auc
skipped_infeasible,-3.600823045266331e-06,6.236808463466172e-06,3,execution_metric,auc
skipped_children,-3.8580246913562375e-06,6.682294782284241e-06,3,execution_metric,auc
internal_nodes,-3.986625514400729e-06,6.9050379416924726e-06,3,execution_metric,auc
explored_children,-4.372427983536514e-06,7.573267419921178e-06,3,execution_metric,auc
right_branches,-4.7582304526720685e-06,8.241496898149481e-06,3,execution_metric,auc
nodes_generated,-5.4012345678986865e-06,9.355212695197857e-06,3,execution_metric,auc
std_ratio,-6.301440329215906e-06,1.09144148110655e-05,3,instance_characteristic,auc
max_weight,-0.0001868442271510375,0.00036738596512703295,3,instance_characteristic,auc
max_value,-0.0007135329896307005,0.0015393297035616142,3,instance_characteristic,auc
max_depth,-0.005169086803874091,0.0047237245463922235,3,execution_metric,auc
improvement_count,-0.013941848629552415,0.023828641232701002,3,execution_metric,auc
median_depth,-0.01459375448588967,0.023029386619593476,3,execution_metric,auc
mean_depth,-0.014678105170036648,0.022684384887601473,3,execution_metric,auc
n,-0.028813940478195646,0.029626628602626916,3,instance_characteristic,auc
