predictor,importance_mean,importance_sd,n_valid_folds,predictor_type,metric
max_depth,0.08884676868637266,0.1419786140772926,2,execution_metric,auc
improvement_count,0.061413182162930104,0.08285935275984606,2,execution_metric,auc
final_queue_size,0.039358114379352396,0.04630281634143837,2,execution_metric,auc
pruned_by_bound,0.037093627358863984,0.04347654518672424,2,execution_metric,auc
left_branches,0.03216107273792705,0.045469206751104656,2,execution_metric,auc
mean_queue_size,0.030367055228209296,0.042930165929821365,2,execution_metric,auc
explored_children,0.030353189712901817,0.04294554106430186,2,execution_metric,auc
skipped_infeasible,0.02500985621089861,0.03536256859878411,2,execution_metric,auc
right_branches,0.02323399813608297,0.032844416776860355,2,execution_metric,auc
median_weight,0.020214160510385527,0.022453929111734213,2,instance_characteristic,auc
duplicate_items,0.01973715722667941,0.027912555432660167,2,instance_characteristic,auc
duplicate_pairs,0.017972398515147855,0.02541680972849617,2,instance_characteristic,auc
skipped_children,0.017848982894318927,0.025294989201115805,2,execution_metric,auc
mean_value,0.014683563018545707,0.017849567388358897,2,instance_characteristic,auc
min_weight,0.007461965850965883,0.010611279609522324,2,instance_characteristic,auc
mean_weight,0.003842609912326404,0.00020920481417036166,2,instance_characteristic,auc
median_value,0.0030810650313237015,0.0006638431116930449,2,instance_characteristic,auc
mean_improvement_amount,0.001983974286271793,0.012613245740186869,2,execution_metric,auc
bound_variance,0.001800092871225499,0.002636290595558878,2,execution_metric,auc
max_weight,0.001782201414465197,0.0029833515004250737,2,instance_characteristic,auc
std_value,0.0006805896135908679,0.0009328634047339458,2,instance_characteristic,auc
std_weight,0.0002915689426318674,0.0003827050958202462,2,instance_characteristic,auc
min_value,2.9543413371979636e-05,0.00010216392489655483,2,instance_characteristic,auc
value_kurtosis,0.0,0.0,2,instance_characteristic,auc
mean_ratio,0.0,0.0,2,instance_characteristic,auc
total_weight,0.0,0.0,2,instance_characteristic,auc
total_value,0.0,0.0,2,instance_characteristic,auc
weight_cv,0.0,0.0,2,instance_characteristic,auc
weight_skewness,0.0,0.0,2,instance_characteristic,auc
value_cv,0.0,0.0,2,instance_characteristic,auc
value_skewness,0.0,0.0,2,instance_characteristic,auc
weight_kurtosis,0.0,0.0,2,instance_characteristic,auc
sum_improvement_amount,0.0,0.0,2,execution_metric,auc
unique_values,0.0,0.0,2,instance_characteristic,auc
duplicate_ratio_fraction,0.0,0.0,2,instance_characteristic,auc
unique_weights,0.0,0.0,2,instance_characteristic,auc
ratio_entropy,0.0,0.0,2,instance_characteristic,auc
std_ratio,0.0,0.0,2,instance_characteristic,auc
median_ratio,0.0,0.0,2,instance_characteristic,auc
unique_ratio_count,0.0,0.0,2,instance_characteristic,auc
kendall_corr,0.0,0.0,2,instance_characteristic,auc
spearman_corr,0.0,0.0,2,instance_characteristic,auc
pearson_corr,0.0,0.0,2,instance_characteristic,auc
average_fillable_items,0.0,0.0,2,instance_characteristic,auc
slack,0.0,0.0,2,instance_characteristic,auc
capacity_ratio,0.0,0.0,2,instance_characteristic,auc
unique_pairs,0.0,0.0,2,instance_characteristic,auc
log_n,0.0,0.0,2,instance_characteristic,auc
avg_branching_factor,0.0,0.0,2,execution_metric,auc
pruned_by_cap,0.0,0.0,2,execution_metric,auc
mean_bound_gap,0.0,0.0,2,execution_metric,auc
AlmostEqualRatios,0.0,0.0,2,execution_metric,auc
WeaklyCorrelated,0.0,0.0,2,execution_metric,auc
cap_mode,0.0,0.0,2,execution_metric,auc
StronglyCorrelated,0.0,0.0,2,execution_metric,auc
InverseCorrelated,0.0,0.0,2,execution_metric,auc
skipped_by_bound,0.0,0.0,2,execution_metric,auc
pruned_generated_ratio,0.0,0.0,2,execution_metric,auc
bound_gap_variance,-6.404608607251117e-05,9.05748435406599e-05,2,execution_metric,auc
max_value,-0.0009758108743046807,0.0018203061656841442,2,instance_characteristic,auc
mean_depth,-0.008502749941050118,0.012490407468931314,2,execution_metric,auc
n,-0.12163077475345631,0.13489920854147805,2,instance_characteristic,auc
median_depth,-0.13523425185100307,0.17909822783934906,2,execution_metric,auc
last_improvement_node,-0.2249120841586085,0.3182811693592188,2,execution_metric,auc
