predictor,coefficient,se,t_stat,p_value,ci_lower,ci_upper,abs_coefficient
dp_sum_improvement_amount,2478.4636959707423,555.673856162143,4.4602848748160975,8.335749870065355e-06,1389.1412468799542,3567.78614506153,2478.4636959707423
average_fillable_items,-1320.256570682046,295.9385078520952,-4.461253049710877,8.298298504684278e-06,-1900.403461846296,-740.1096795177963,1320.256570682046
updates_per_cell,-937.972583408311,210.3511661707942,-4.459079550083056,8.382600615628893e-06,-1350.3372195365416,-525.6079472800805,937.972583408311
total_weight,-874.4878387225226,197.6271860898625,-4.42493695338498,9.819269852475872e-06,-1261.9088555131923,-487.06682193185264,874.4878387225226
log_n,863.115186842002,193.37100915655213,4.463519069413495,8.211271201446967e-06,484.0378216904052,1242.192551993599,863.115186842002
dp_mean_improvement_amount,-607.841729827388,136.29104344706457,-4.459880227298089,8.351450458133575e-06,-875.0216440711383,-340.66181558363775,607.841729827388
slack,10.625157553476654,14.098591810334842,0.753632539789398,0.4510997350108646,-17.013199711767637,38.26351481872095,10.625157553476654
total_value,-2.626646515608798,1.1225169726840325,-2.339961514638184,0.0193186277836932,-4.827187218163185,-0.4261058130544111,2.626646515608798
total_evaluations,2.373048169077045,0.2430200532680023,9.764824495614974,2.3449291045830754e-22,1.896640656525604,2.8494556816284877,2.373048169077045
capacity_ratio,1.7295725778576116,2.643532584755373,0.6542656549163219,0.5129659688790568,-3.452710802119785,6.911855957835009,1.7295725778576116
unique_ratio_count,1.5337157386510225,0.8414319606115842,1.8227448093797871,0.0683922373290717,-0.1157963157890868,3.183227793091132,1.5337157386510225
unique_pairs,-1.337644277067694,0.2806064814231325,-4.766975695941362,1.9146414616373404e-06,-1.8877348314187017,-0.7875537227166862,1.337644277067694
cap_mode,0.986506176986667,0.7702648098468036,1.2807363965944014,0.2003362158157517,-0.5234924306605038,2.4965047846338377,0.986506176986667
exclude_count,-0.7773070129153323,0.1671632584531959,-4.6499872047718585,3.391328158131508e-06,-1.1050076741519437,-0.4496063516787212,0.7773070129153323
duplicate_items,-0.7394794626193039,0.4072322658324194,-1.8158665819559787,0.0694411747725984,-1.5378025153344552,0.0588435900958475,0.7394794626193039
duplicate_pairs,0.739201685183922,0.406000409733131,1.8206919684386729,0.0687039250777125,-0.0567064824540868,1.535109852821931,0.739201685183922
unique_weights,0.3085798849969559,0.1128102193615406,2.7353894597793627,0.0062491283059757,0.0874309087141403,0.5297288612797715,0.3085798849969559
include_ratio,-0.2182653695437878,0.0399856780216781,-5.458588683314461,4.9935256655522867e-08,-0.2966518119291936,-0.139878927158382,0.2182653695437878
spearman_corr,0.1779755228373019,0.0455673633050959,3.905767416158541,9.496761264612968e-05,0.0886469513314422,0.2673040943431616,0.1779755228373019
kendall_corr,-0.1340543489342842,0.0246634058352826,-5.43535429897968,5.6863416182187865e-08,-0.1824035763623434,-0.0857051215062249,0.1340543489342842
