predictor,coefficient,se,t_stat,p_value,ci_lower,ci_upper,abs_coefficient
slack,-140.40183504377228,35.940041291801045,-3.9065574216744703,9.465771940260712e-05,-210.8573489595821,-69.94632112796242,140.40183504377228
total_weight,129.76053811825733,34.89744916956169,3.718338767047687,0.0002023807108045,61.348882838572806,198.17219339794184,129.76053811825733
capacity_ratio,-29.19411629659785,6.748329576889772,-4.326124852671035,1.542372533263358e-05,-42.42328942282612,-15.96494317036959,29.19411629659785
unique_ratio_count,10.020460641783972,2.114774949475103,4.738310638808682,2.2051500638099506e-06,5.874734857224571,14.166186426343376,10.020460641783972
log_n,-7.722088129942478,3.265930817474733,-2.3644371425826205,0.0180894081021976,-14.12449686092956,-1.3196793989553948,7.722088129942478
cap_mode,-5.213499259187034,1.9418572505423024,-2.684800470132941,0.0072774216895686,-9.020243648468266,-1.406754869905802,5.213499259187034
total_value,3.537192185348917,2.913358404230777,1.2141287457843186,0.2247467351872785,-2.17404676188761,9.248431132585443,3.537192185348917
first_skipped_position,-1.104571830646336,0.6690670505912465,-1.65091350660631,0.0988089948466991,-2.4161858744592264,0.2070422131665543,1.104571830646336
unique_pairs,-0.9585347643062672,0.6583641459070126,-1.4559340302253498,0.1454636002529927,-2.2491672337298247,0.3320977051172902,0.9585347643062672
average_fillable_items,0.9435139634739658,0.1071576000255387,8.80491876683594,1.6927235472301402e-18,0.733446208724155,1.1535817182237766,0.9435139634739658
selected_count,0.8998607629391302,0.6745601348237877,1.3339963577512577,0.1822560893449983,-0.4225217179338147,2.222243243812075,0.8998607629391302
duplicate_ratio_fraction,0.7100130206091011,0.1244483870478387,5.705281020124173,1.2174490476316136e-08,0.4660490531150142,0.953976988103188,0.7100130206091011
duplicate_pairs,-0.5640166030223209,1.0557879740789209,-0.5342138922489379,0.5932135105431828,-2.6337438939821034,1.505710687937461,0.5640166030223209
duplicate_items,0.5384319318835606,1.0590072733427456,0.5084308157620162,0.6111700897125254,-1.537606353051994,2.6144702168191154,0.5384319318835606
pearson_corr,-0.3478174350056917,0.2290521419779145,-1.5185076725422142,0.1289395788522669,-0.796842694758316,0.1012078247469326,0.3478174350056917
n,0.2687191584334111,0.0574492253334456,4.677507083406554,2.968016045132987e-06,0.1560978438926164,0.3813404729742057,0.2687191584334111
InverseCorrelated,-0.2273385118009175,0.124158647728818,-1.8310324408289336,0.0671456648735397,-0.4707344851611781,0.0160574615593431,0.2273385118009175
mean_weight,0.2181540454950246,0.1258217204322873,1.73383454578041,0.0829992253326852,-0.0285021534462515,0.4648102444363009,0.2181540454950246
spearman_corr,0.1713564471013943,0.1105185027789273,1.5504774566496118,0.1210801269019767,-0.0452998958135911,0.3880127900163798,0.1713564471013943
mean_value,-0.1237701647065179,0.1285176518644911,-0.9630596490902358,0.3355567138413104,-0.3757113668840324,0.1281710374709965,0.1237701647065179
