predictor,coefficient,se,t_stat,p_value,ci_lower,ci_upper
const,-101.02620659703778,63.18452272048137,-1.5989074894806474,0.10994649957772497,-224.9155956126707,22.86318241859513
total_weight,97.25363228795953,75.74752908708561,1.2839182143637813,0.19926975661949,-51.268738286202876,245.77600286212194
total_value,12.46386232624263,8.258340279189037,1.509245430059534,0.13134141554904186,-3.728722303984778,28.656446956470038
mean_weight,-0.0032347391280464076,0.005441380704685825,-0.5944702831141412,0.5522424554597163,-0.013903955288580305,0.00743447703248749
mean_value,-0.017742867739100228,0.011608410555523523,-1.5284493647287314,0.12650646555550293,-0.0405041204833621,0.005018385005161642
median_weight,0.0004864022104388405,0.0006978860155316578,0.6969651198244653,0.48587864270646025,-0.0008819815067138603,0.0018547859275915414
median_value,0.0003924657567652415,0.00044689708583742205,0.8782016468731634,0.3799046493600546,-0.00048379008142783794,0.0012687215949583209
std_weight,-0.01727069624709945,0.008942564247568563,-1.9312912682506322,0.0535411696123423,-0.03480487666285478,0.00026348416865588226
std_value,-0.009928423308553983,0.008737731587083582,-1.13627011880641,0.2559343211581973,-0.027060976995716413,0.007204130378608446
min_weight,-0.0016079978266795446,0.0008127588001635532,-1.9784440677307509,0.047969997268133134,-0.003201618967331161,-1.437668602792823e-05
max_weight,0.0005180130995998815,0.0009027122706652465,0.5738407645861908,0.5661185920877588,-0.0012519847868189085,0.0022880109860186713
min_value,0.000364759203898712,0.0007547317242992577,0.48329650411525804,0.6289205028930125,-0.0011150850390940568,0.0018446034468914808
max_value,-0.0006438882826370219,0.000933639238877897,-0.6896542645432138,0.4904649920587589,-0.0024745263864856598,0.0011867498212116163
weight_cv,6.653390554759656,4.027771029892234,1.6518790431187127,0.09866389895536315,-1.2440829166426113,14.550864026161923
value_cv,6.690641634167352,4.740562036226356,1.4113604216206659,0.1582420995888029,-2.6044405943862534,15.985723862720956
weight_skewness,0.2370310944930222,0.2148069530819876,1.1034609964536486,0.26991555380251064,-0.1841527813647715,0.6582149703508159
value_skewness,0.09362273371787067,0.174512913426061,0.5364802631499099,0.5916664642703963,-0.24855438955229509,0.4357998569880364
weight_kurtosis,-0.35705503124480376,0.18074060955229615,-1.975510828082563,0.04830175012917388,-0.7114431428208794,-0.0026669196687281183
value_kurtosis,0.4086650877594052,0.213241262735533,1.9164446998526807,0.05540346380173061,-0.009448852423349252,0.8267790279421596
capacity_ratio,-103.41895088361366,83.8466521964569,-1.233429697840504,0.21751215261870735,-267.82172017537454,60.983818408147215
slack,-91.66075499546645,76.51666156145397,-1.197918899295542,0.23104325528140096,-241.69120615992017,58.369696168987275
average_fillable_items,0.26760340888988166,0.11918135786998006,2.245346199040805,0.024818485215336094,0.033917927496206035,0.5012888902835573
pearson_corr,0.11916193988396431,0.16086100271242734,0.7407758118789747,0.4588873775068972,-0.19624712683712817,0.43457100660505676
spearman_corr,-0.08033639833074296,0.11130532892756902,-0.7217659666862957,0.47049464523600965,-0.2985789140813711,0.13790611741988518
kendall_corr,0.021994184297615006,0.03610026035993205,0.6092527887146907,0.5424030449429521,-0.04878959322781855,0.09277796182304855
mean_ratio,0.02581574999810508,0.017550302533028,1.470957548995084,0.1414075096487597,-0.008596099047192083,0.06022759904340225
median_ratio,-0.1290869468962915,0.15811156675242727,-0.8164294968907441,0.4143193759604616,-0.4391050424339995,0.1809311486414165
std_ratio,-0.005353328457515278,0.0038256967902112436,-1.3993080871470955,0.16182403482577018,-0.012854583788588673,0.002147926873558117
ratio_entropy,0.04411219525272836,0.04210469209381738,1.0476788466814548,0.2948710226825437,-0.038444803733726024,0.12666919423918274
unique_ratio_count,-2.105036189040187,6.160776028042213,-0.34168360924965013,0.7326129477494031,-14.184810556456547,9.974738178376175
duplicate_ratio_fraction,-1.969250579975398,6.033734904101359,-0.3263734007665507,0.7441646331642794,-13.799928387866908,9.861427227916112
unique_weights,-0.16869431399509516,0.9419287699872554,-0.1790945550982349,0.8578755552933608,-2.015586160060126,1.6781975320699354
unique_values,-0.9015032487212878,0.7500348105327128,-1.2019485443362214,0.22947836427515533,-2.372137993062455,0.5691314956198793
unique_pairs,0.8527558735242327,2.1226455411762153,0.4017420040143384,0.6879025344300207,-3.309232662124476,5.014744409172941
duplicate_items,0.2409846340806973,0.24973063947733604,0.9649782444999807,0.33463351325273116,-0.24867604564303414,0.7306453138044288
duplicate_pairs,-0.2395735590519176,0.250441181561679,-0.9566060883358158,0.33884321949163115,-0.7306274379470438,0.2514803198432085
n,0.00019600547160597873,0.0005825820414903799,0.3364426941560905,0.736560597559608,-0.0009462953651197752,0.0013383063083317326
log_n,-16.053279373703255,12.014711986386017,-1.3361351809259663,0.1816064648635799,-39.611189809729495,7.504631062322982
cap_mode,-12.835147016444147,11.62135704059839,-1.1044447710887348,0.26948885141480683,-35.62178465018158,9.951490617293285
WeaklyCorrelated,-0.24758798593630588,0.25040115875400926,-0.9887653362640106,0.32285773337996704,-0.7385633898984041,0.24338741802579228
StronglyCorrelated,-0.30893714260920113,0.5213939427517523,-0.5925215413488093,0.5535460715621123,-1.331263089261131,0.7133888040427288
InverseCorrelated,0.26833607603930887,0.4796746370525807,0.5594126837477433,0.575921880765301,-0.6721885200494175,1.2088606721280353
AlmostEqualRatios,-0.32200363724724923,0.33914885265023836,-0.9494463411301265,0.34247015337837855,-0.9869915540835836,0.3429842795890852
