predictor,coefficient,se,t_stat,p_value,ci_lower,ci_upper
x0,-86.7197260371233,24.039736057858438,-3.6073493414573146,0.0003093410467981725,-133.83674290837473,-39.60270916587186
x1,-121.97493086615222,38.995713050206476,-3.127906154943521,0.0017605638478268059,-198.4051239960155,-45.54473773628895
x2,1.4365831952039916,4.712839717695368,0.30482326606823307,0.760500760539707,-7.8004129163888445,10.673579306796828
x3,-0.00610209943041139,0.007618267434196016,-0.8009825702653831,0.42314173633282826,-0.021033629226029946,0.008829430365207166
x4,-0.002839889554523077,0.0069570847875334366,-0.40820108439844544,0.683126052107903,-0.016475525175480107,0.010795746066433952
x5,0.0019647267135707355,0.0005219544777375264,3.7641725425693755,0.00016710147926861412,0.0009417147356357701,0.002987738691505701
x6,-0.0005949446191431153,0.0004089784276493924,-1.4547090480115672,0.14574982664029673,-0.0013965276077897446,0.00020663836950351403
x7,-0.03616061663173638,0.006887973731673418,-5.249819183464167,1.5224858037974286e-07,-0.049660797072274235,-0.02266043619119852
x8,0.000596102870506409,0.005866195490818502,0.10161660507894794,0.9190609987306554,-0.01090142901776912,0.012093634758781939
x9,-0.01324164236475751,0.001086571521741504,-12.18662747900336,3.662676944200617e-34,-0.015371283413997738,-0.011112001315517282
x10,-0.001858818940886528,0.001039099486205883,-1.7888748532382865,0.07363497246653496,-0.0038954165102041334,0.00017777862843107754
x11,-0.0007894888912461056,0.0008730812884408084,-0.9042558828124857,0.3658597342262303,-0.0025006967721659164,0.0009217189896737054
x12,1.6824480332295748e-05,0.0005780795545953309,0.029104091640247118,0.9767815725246605,-0.0011161906268735088,0.0011498395875381004
x13,17.30493444322419,3.286477590545473,5.265495950134261,1.398114018708419e-07,10.86355672975709,23.746312156691292
x14,0.08798693351525477,2.817951865044101,0.03122371769607135,0.9750911251475001,-5.4350972321386575,5.611071099169168
x15,0.5206155159467873,0.15188493578763085,3.4276968499017206,0.0006087247983659639,0.2229265120088521,0.8183045198847225
x16,-0.10532532634605721,0.1314880915907089,-0.8010255915334892,0.42311683056343796,-0.36303725025975064,0.1523865975676362
x17,-0.22414587825375468,0.14634077921210442,-1.5316706625490941,0.12560372547211926,-0.5109685349790072,0.0626767784714978
x18,0.2107054468366483,0.12922207903260022,1.6305684633311883,0.10298140809939811,-0.042565174074636586,0.4639760677479332
x19,156.02357003504193,41.39172447250629,3.769438747078001,0.00016361505488360941,74.89728081092443,237.14985925915943
x20,135.3804300228142,37.242686077343016,3.635087698606528,0.0002778860886106037,62.386106623690594,208.37475342193784
x21,0.41217110670127033,0.08937986388745406,4.611453729894585,3.998626695877726e-06,0.23698979253876817,0.5873524208637725
x22,0.015104586882925293,0.1313153602528825,0.11502528610390597,0.9084250796512764,-0.24226878982962693,0.27247796359547755
x23,0.02456198871567579,0.060494741234742154,0.40601857639767586,0.6847289512434958,-0.09400552535848895,0.14312950278984055
x24,0.06434048925876269,0.041320324273529406,1.557114819158872,0.11944322724690955,-0.016645858146871112,0.1453268366643965
x25,-0.0210973367036005,0.017657773192132187,-1.194790332509248,0.23216895840313823,-0.05570593620735645,0.013511262800155452
x26,0.2564724972716327,0.12013299082479133,2.1349047876922214,0.03276878818200725,0.021016161899960917,0.49192883264330445
x27,0.03602503174262961,0.002767261115681396,13.018298684748077,9.629247333613668e-39,0.030601299620075947,0.04144876386518327
x28,-0.4522753219636623,0.034106232517733516,-13.260782225902613,3.907980402812159e-40,-0.5191223093467688,-0.3854283345805558
x29,-29.07287373980037,3.5636464777118895,-8.158181211753416,3.4010699799929927e-16,-36.0574924897487,-22.088254989852047
x30,-15.780929073515527,3.3303267012279654,-4.7385528475920236,2.1524989595485066e-06,-22.308249464674425,-9.25360868235663
x31,1.0170603819632535,0.5561907855972256,1.8286178201804553,0.06745688122011341,-0.07305352634034756,2.1071742902668547
x32,-1.067941824468382,0.5905840238068366,-1.8082809243374922,0.07056278921937818,-2.2254652409745277,0.08958159203776361
x33,17.33871453981838,1.6483756226600603,10.518667166308909,7.086897179629382e-26,14.107957686410876,20.569471393225886
x34,0.19315318095521394,0.16872804026913713,1.1447604123601294,0.2523084183597464,-0.13754770115431875,0.5238540630647466
x35,-0.19049343247278552,0.1688552887236373,-1.1281460824396388,0.2592582301568074,-0.521443716970227,0.14045685202465594
x36,-0.0009746260032466905,0.000395132132706782,-2.466582498796515,0.013640930153851736,-0.0017490707524864843,-0.00020018125400689658
x37,-2.089827987321293,4.719290964765029,-0.4428266879334795,0.6578910980601538,-11.339468310826035,7.15981233618345
x38,18.173493156834994,5.458215698798108,3.329566686204206,0.0008698123240000819,7.475586967339577,28.87139934633041
x39,0.1103475114205005,0.30223055684130273,0.36511037326527684,0.7150290179042136,-0.4820134950159385,0.7027085178569394
x40,-0.3487106006404625,0.6240946634005277,-0.558746326623641,0.576334857766394,-1.5719136638491447,0.8744924625682196
x41,0.2984226098447305,0.6474831718913147,0.46089631792750774,0.6448729935954549,-0.9706210876580033,1.5674663073474642
x42,0.32554461817689445,0.3663509100718402,0.8886141926413019,0.37421046082736076,-0.39248997126738444,1.0435792076211734
