predictor,VIF
total_weight,52648812.371130995
total_value,358554.17310974206
mean_weight,667.8181290937918
mean_value,697.7588368859989
median_weight,11.602107075254796
median_value,10.350387023013308
std_weight,109.38734444135432
std_value,112.56590635527354
min_weight,6.05827576492392
max_weight,4.860594940745797
min_value,5.827580542244891
max_value,7.7965838119058875
weight_cv,234.5111409329871
value_cv,233.73664271964645
weight_skewness,9.760044752278809
value_skewness,8.84139768011331
weight_kurtosis,8.274059432500936
value_kurtosis,7.963577243297834
capacity_ratio,1970903.6456133896
slack,55845712.74371526
average_fillable_items,544.0868164201164
pearson_corr,2251.0233776807736
spearman_corr,564.5345285010997
kendall_corr,157.84972116053515
mean_ratio,12.961067454323944
median_ratio,6.131879259202985
std_ratio,12.981160865041186
ratio_entropy,7.94399229123221
unique_ratio_count,204438.97488952905
duplicate_ratio_fraction,709.2889265102622
unique_weights,3640.612728367456
unique_values,3562.5597702517753
unique_pairs,21643.26382502046
duplicate_items,47406.2486079102
duplicate_pairs,47125.16129432415
n,145.53460985098044
log_n,461957.22153058916
cap_mode,162586.37175657912
WeaklyCorrelated,141.93388624153886
StronglyCorrelated,634.9264827442563
InverseCorrelated,654.5333227957989
AlmostEqualRatios,219.24945054596753
max_depth,24.481682875743893
mean_depth,290.4041696462547
median_depth,224.02130291496832
mean_queue_size,41.71387126632983
final_queue_size,6480.150289130631
bound_variance,6.364311677311843
mean_bound_gap,51.362695788919346
bound_gap_variance,104.68593723754142
pruned_by_bound,3.8808391810120315
pruned_by_cap,6322.724909523689
left_branches,152.22078502744895
right_branches,4474.538783282107
explored_children,4973.153593070183
skipped_children,227.6855788181512
skipped_infeasible,8.277129200602568
skipped_by_bound,6.190270027737877
improvement_count,51.60832081838545
sum_improvement_amount,159.77928578379618
mean_improvement_amount,18.831768031369048
last_improvement_node,3.8526144822690886
pruned_generated_ratio,17.06532576100408
avg_branching_factor,5.5888503222478025
