predictor,VIF
total_weight,11143069360.566248
total_value,359498.46904451895
mean_weight,678.054856568197
mean_value,698.3781136779609
median_weight,11.734309475796007
median_value,10.433662648829918
std_weight,110.36735761740802
std_value,112.54034389173133
min_weight,10.691506890539898
max_weight,5.073110129158114
min_value,5.88440048139616
max_value,7.850245488772076
weight_cv,236.8228651139564
value_cv,234.21092456079683
weight_skewness,10.000180537408704
value_skewness,9.020371265782794
weight_kurtosis,8.326453355242544
value_kurtosis,7.953387797030446
capacity_ratio,1993795.211202689
slack,56710396.87258299
average_fillable_items,24987028933.32684
pearson_corr,2256.041527333596
spearman_corr,592.405403805418
kendall_corr,173.5470800865359
mean_ratio,13.36142937221881
median_ratio,6.127338188298008
std_ratio,14.478296648479345
ratio_entropy,8.957011759665017
unique_ratio_count,201999.0005555676
duplicate_ratio_fraction,688.7062420949769
unique_weights,3630.8482656404567
unique_values,3582.0541471533775
unique_pairs,22465.009611977166
duplicate_items,47314.64369641587
duplicate_pairs,47028.82804276304
n,127.73562375521709
log_n,10668270272.748474
cap_mode,169274.41711161262
WeaklyCorrelated,141.53433455488232
StronglyCorrelated,636.3379541612193
InverseCorrelated,658.7068903822055
AlmostEqualRatios,217.76474334344653
total_evaluations,16849.82660154893
exclude_count,7972.469542031556
tie_count,3.702568311791393
include_ratio,456.1630898540869
zero_value_states,6.37478505616845
fill_rate,6.002539463890011
mean_cell_value,16.5437138816192
dp_sum_improvement_amount,88095137658.3564
dp_mean_improvement_amount,5299633767.187827
updates_per_cell,12624124557.620197
