predictor,r2_full,r2_without,delta_r2,rank_by_perm_importance
tie_count,0.016286856898885094,0.015822569882597448,0.00046428701628764557,9
exclude_count,0.016286856898885094,0.0158342490340162,0.0004526078648688925,5
include_ratio,0.016286856898885094,0.015932967948440235,0.00035388895044485835,7
cap_mode,0.016286856898885094,0.01616864141554708,0.00011821548333801335,4
total_evaluations,0.016286856898885094,0.016174486511072672,0.00011237038781242159,6
mean_cell_value,0.016286856898885094,0.016184791181999225,0.00010206571688586852,8
fill_rate,0.016286856898885094,0.01626156368149234,2.5293217392752254e-05,10
updates_per_cell,0.016286856898885094,0.01627830194332114,8.554955563955247e-06,2
dp_sum_improvement_amount,0.016286856898885094,0.016278311644921772,8.545253963321287e-06,1
dp_mean_improvement_amount,0.016286856898885094,0.016278313187894966,8.543710990127629e-06,3
