predictor,r2_full,r2_without,delta_r2,rank_by_perm_importance
total_evaluations,0.9791557282758836,0.9788215196370739,0.00033420863880972984,4
include_ratio,0.9791557282758836,0.9790512924444799,0.00010443583140373747,7
mean_cell_value,0.9791557282758836,0.979057076613832,9.865166205158538e-05,8
exclude_count,0.9791557282758836,0.9790799416969376,7.578657894602436e-05,6
dp_sum_improvement_amount,0.9791557282758836,0.9790859991882596,6.972908762403751e-05,1
dp_mean_improvement_amount,0.9791557282758836,0.9790860118396588,6.971643622477597e-05,3
updates_per_cell,0.9791557282758836,0.9790860368696365,6.969140624712988e-05,2
cap_mode,0.9791557282758836,0.9791499790643181,5.749211565486689e-06,5
zero_value_states,0.9791557282758836,0.9791512075137324,4.520762151183355e-06,9
fill_rate,0.9791557282758836,0.9791553944161224,3.3385976117017435e-07,10
