predictor,coefficient,se,t_stat,p_value,ci_lower,ci_upper
const,-1.8596235662471372e-15,0.0018575053647047314,-1.001140347469598e-12,0.9999999999992012,-0.003641386225861262,0.0036413862258575427
total_weight,18.501475474562525,13.47796628810177,1.372720118086025,0.1698912391975238,-7.920241375710294,44.92319232483534
total_value,-0.18095897605698807,1.1122629412041933,-0.16269442175343227,0.8707645781349026,-2.3613989524866827,1.9994810003727066
mean_weight,-0.037014910020596856,0.04800198302398155,-0.7711121018084689,0.4406711852599223,-0.13111625859207107,0.05708643855087736
mean_value,0.0035489898429755355,0.04906623668236635,0.07233058989117434,0.9423412584941411,-0.09263868304610243,0.0997366627320535
median_weight,0.010720465524785446,0.006327009861209086,1.6943968414705102,0.09024236396695588,-0.0016827754010600958,0.023123706450630988
median_value,-6.401860260189969e-05,0.005975969487679315,-0.010712672267468425,0.9914530477350597,-0.011779092697179612,0.011651055491975813
std_weight,0.011495902980639662,0.019427352322860122,0.5917380191387407,0.5540485718870699,-0.02658877472613279,0.04958058068741211
std_value,-0.009327805042365522,0.019707589747671995,-0.473310291202271,0.6360092285865457,-0.04796185004468948,0.029306239959958437
min_weight,0.003741078902308976,0.004571982882390761,0.8182617911186727,0.41324056934464076,-0.0052216707129251645,0.012703828517543116
max_weight,-0.0035308853704510684,0.0040951969395838506,-0.8622016041089036,0.3886114225763591,-0.011558961095741182,0.004497190354839045
min_value,-7.202868970261622e-05,0.0044840889498786,-0.01606317147311859,0.987184534559151,-0.008862474223738438,0.008718416844333205
max_value,0.009470710622645595,0.005186593992229608,1.8259980705708438,0.06790077029156934,-0.0006969003470444976,0.019638321592335688
weight_cv,-0.0005690889002225568,0.028445385021844464,-0.020006370094323857,0.9840389635032882,-0.056332391217401565,0.05519421341695645
value_cv,0.00626473405348189,0.028398374206618053,0.22060185586335204,0.8254100439096914,-0.04940640996456935,0.06193587807153314
weight_skewness,0.0015151176110111235,0.005803045573304904,0.26109007621462565,0.7940321033093437,-0.009860962706272835,0.012891197928295082
value_skewness,-0.003818246288361235,0.005523197070779243,-0.691310891034807,0.4893972279937925,-0.014645721739254238,0.007009229162531768
weight_kurtosis,0.009137999891395267,0.005343051925076712,1.7102584851379805,0.08727034925539294,-0.0013363255419090083,0.019612325324699545
value_kurtosis,-0.006856600160077317,0.005241845004220586,-1.3080509161481455,0.19090669898656581,-0.017132523212118094,0.0034193228919634604
