predictor,importance_mean,importance_sd,n_valid_folds,predictor_type,metric
dp_sum_improvement_amount,25436312.356446475,41589548.67790545,5,execution_metric,r2
average_fillable_items,6505303.451252892,10343567.121690664,5,instance_characteristic,r2
updates_per_cell,3474796.450602232,5682469.0521965735,5,execution_metric,r2
total_weight,2848641.45775892,4566168.6165381055,5,instance_characteristic,r2
log_n,2801461.730315318,4490811.168800727,5,instance_characteristic,r2
dp_mean_improvement_amount,953236.7742439676,1415979.2548059057,5,execution_metric,r2
slack,758.8687937010103,838.6386303779383,5,instance_characteristic,r2
unique_ratio_count,81.73607547892979,161.29363927199958,5,instance_characteristic,r2
capacity_ratio,23.132587766541732,25.961221072661953,5,instance_characteristic,r2
total_value,17.156897691392178,6.17309265368338,5,instance_characteristic,r2
total_evaluations,12.412417630625821,5.924947019992991,5,execution_metric,r2
unique_pairs,6.158217868190095,5.437728306051751,5,instance_characteristic,r2
cap_mode,3.91044061175261,3.699328533698333,5,execution_metric,r2
exclude_count,2.3601642378605767,2.2959955467827466,5,execution_metric,r2
duplicate_pairs,1.4974126906570153,1.4506689289088683,5,instance_characteristic,r2
duplicate_items,1.4185321648273153,1.5785439765240166,5,instance_characteristic,r2
duplicate_ratio_fraction,1.2538153504579053,2.8081273696651805,5,instance_characteristic,r2
unique_weights,0.2366180995343799,0.19488233723075335,5,instance_characteristic,r2
include_ratio,0.18570971159227673,0.21966609127971548,5,execution_metric,r2
mean_value,0.03408031416302921,0.0247008976675323,5,instance_characteristic,r2
mean_weight,0.02698841635848142,0.05417347034164728,5,instance_characteristic,r2
unique_values,0.0182038495566286,0.0593307154877301,5,instance_characteristic,r2
n,0.007499896480707232,0.01367325177738787,5,instance_characteristic,r2
kendall_corr,0.006757602319963289,0.01469957306335667,5,instance_characteristic,r2
value_cv,0.005607441308948637,0.0034183530910241477,5,instance_characteristic,r2
spearman_corr,0.0043552024530509135,0.008508063864813021,5,instance_characteristic,r2
mean_cell_value,0.0031568888323646738,0.0044711237663682185,5,execution_metric,r2
std_value,0.002105439060722908,0.0022858210439233115,5,instance_characteristic,r2
median_value,0.0006457524585835007,0.0004268396512236957,5,instance_characteristic,r2
std_weight,0.0005788067802602881,0.0005939473425239161,5,instance_characteristic,r2
zero_value_states,0.0005157591288379416,0.0006737843841053207,5,execution_metric,r2
value_kurtosis,0.00044656682762294947,0.0009170404858288963,5,instance_characteristic,r2
max_value,0.00029898694045582986,0.0007821046988505566,5,instance_characteristic,r2
value_skewness,0.0002863105889757511,0.00020221341461698324,5,instance_characteristic,r2
median_weight,0.00021331202831063374,0.00022366530947789454,5,instance_characteristic,r2
std_ratio,0.00018949131190969525,0.0004425147496766312,5,instance_characteristic,r2
weight_cv,0.00017767351801793786,0.00043078999460000576,5,instance_characteristic,r2
min_value,0.00013773438256694194,0.0006311479763078718,5,instance_characteristic,r2
fill_rate,9.304061607136705e-05,0.00026553408487350384,5,execution_metric,r2
mean_ratio,4.106524250529154e-05,8.191708996368271e-05,5,instance_characteristic,r2
pearson_corr,2.7148768106010082e-05,6.15098847038474e-05,5,instance_characteristic,r2
weight_skewness,2.1180190118863514e-05,7.065221183984211e-05,5,instance_characteristic,r2
InverseCorrelated,0.0,0.0,5,execution_metric,r2
AlmostEqualRatios,0.0,0.0,5,execution_metric,r2
WeaklyCorrelated,0.0,0.0,5,execution_metric,r2
StronglyCorrelated,0.0,0.0,5,execution_metric,r2
weight_kurtosis,-0.00016318143109814276,0.0007448926959282675,5,instance_characteristic,r2
median_ratio,-0.00016633229547853847,0.000645470449338667,5,instance_characteristic,r2
max_weight,-0.0001937767388271183,0.0008250058025460588,5,instance_characteristic,r2
min_weight,-0.000316388022254126,0.0007247295384787897,5,instance_characteristic,r2
ratio_entropy,-0.0008636800349440842,0.0044622660417387916,5,instance_characteristic,r2
tie_count,-0.001219344859537127,0.0023648783176527834,5,execution_metric,r2
