predictor,coefficient,se,t_stat,p_value,ci_lower,ci_upper
const,-11.21126306545682,6.82515959868687,-1.6426374948966491,0.10056279392854096,-24.59373105300731,2.1712049220936738
total_weight,44.030007750590585,21.95737965935056,2.0052487333952156,0.04502616008901192,0.9769587877083836,87.08305671347279
total_value,-0.43028614717994174,0.8875705664814166,-0.4847909151446053,0.6278600736820144,-2.170594856578454,1.3100225622185704
mean_weight,-0.0032320289325089117,0.0013844700150276478,-2.3344882138486533,0.01963585633219042,-0.005946635878754634,-0.0005174219862631893
mean_value,0.00030882328645602183,0.0014617178397915353,0.21127421315461611,0.8326876587064839,-0.002557247743092533,0.003174894316004577
median_weight,0.0005728224017375466,0.00018190318959347953,3.1490508935973045,0.0016541241619253033,0.00021615475516171872,0.0009294900483133745
median_value,-3.3876112765234175e-06,0.00015620634845122674,-0.02168677080100334,0.9826992593852115,-0.00030967003989590516,0.00030289481734285833
std_weight,0.002189030701861774,0.0013415010057690722,1.6317771603956563,0.10283142960112161,-0.0004413245309192143,0.0048193859346427614
std_value,-0.0017550707514519086,0.001321646039387318,-1.3279431096888208,0.18429795953623976,-0.004346495253287229,0.0008363537503834123
min_weight,0.00046541259468579855,0.0002678648748422859,1.7374901989662708,0.08240334017135682,-5.980488348947938e-05,0.0009906300728610765
max_weight,-0.0004306488414388271,0.000276464918635096,-1.557697966038278,0.1194103776077412,-0.0009727289012262562,0.00011143121834860205
min_value,-8.538006976607001e-06,0.0002597241253155567,-0.03287336887258197,0.9737777574558716,-0.0005177934672150325,0.0005007174532618185
max_value,0.0006380798728399637,0.000220473472101979,2.894134458701783,0.0038294941862542947,0.00020578533967234374,0.0010703744060075837
weight_cv,-0.03514675208432427,0.6517796413042702,-0.05392428645668102,0.9569990787142524,-1.3131271507214044,1.2428336465527559
value_cv,0.37499796078447467,0.5593729444087973,0.670389879476225,0.5026609034013811,-0.7217955153846134,1.4717914369535627
weight_skewness,0.026047951420863136,0.05837812284437472,0.44619371353036064,0.6554895361170124,-0.0884172634714659,0.14051316631319216
value_skewness,-0.06593253597963072,0.052345162358717806,-1.2595726712585125,0.2079215749573761,-0.1685685915091525,0.03670351954989104
