predictor,coefficient,se,t_stat,p_value,ci_lower,ci_upper
const,-1.554312234475219e-14,0.0048704493361996495,-3.1913117808715973e-12,0.9999999999974538,-0.009547846876339073,0.009547846876307987
total_weight,129.76053811825733,34.89744916956169,3.718338767047687,0.00020238071080451534,61.348882838572806,198.17219339794184
total_value,3.537192185348917,2.913358404230777,1.2141287457843186,0.22474673518727853,-2.17404676188761,9.248431132585445
mean_weight,0.21815404549502468,0.12582172043228737,1.7338345457804099,0.08299922533268521,-0.028502153446251538,0.4648102444363009
mean_value,-0.12377016470651797,0.12851765186449118,-0.9630596490902358,0.3355567138413104,-0.37571136688403245,0.1281710374709965
median_weight,-0.016897185685519074,0.016563559567277352,-1.020142175169933,0.3077024993887548,-0.04936776890251387,0.01557339753147572
median_value,-0.010180009895659287,0.01565591362163391,-0.65023416337659,0.5155660727410689,-0.04087127791836413,0.02051125812704556
std_weight,0.07797533884515984,0.05087629218993425,1.5326458648766677,0.12541628165284224,-0.021760643183064823,0.17771132087338448
std_value,-0.06890001832397478,0.05156546716920625,-1.3361658898170585,0.18154613796572647,-0.1699870332279909,0.032186996580041344
min_weight,-0.0005531972557926111,0.011945115304005518,-0.046311587767353675,0.9630634572003189,-0.023969954924329486,0.022863560412744264
max_weight,-0.02922068842202471,0.01073065857502958,-2.7231029873619996,0.006486044491473367,-0.050256670501746856,-0.008184706342302558
min_value,-0.005973640244342,0.011749028787124796,-0.5084369399867528,0.6111657960186454,-0.029005997232684218,0.017058716744000217
max_value,0.025062444605276787,0.013730197175272005,1.8253521260724561,0.06799799723368476,-0.0018537208575011982,0.05197861006805477
weight_cv,-0.08059681449107647,0.07455746977045075,-1.0810025439331539,0.27973977924551224,-0.22675649211331456,0.06556286313116161
value_cv,0.08168754174135757,0.07444570016440956,1.0972768280902023,0.2725647866137325,-0.06425302692188227,0.2276281104045974
weight_skewness,0.015790441222801953,0.01515327072283678,1.0420483809482084,0.29743157210239013,-0.013915464444212912,0.04549634688981682
value_skewness,-0.01565304489282058,0.014523418786132234,-1.0777796277393705,0.28117579135341486,-0.0441242123598682,0.012818122574227039
weight_kurtosis,0.019958466514917356,0.013989126091347975,1.4267128900397368,0.15371512078184157,-0.007465293519098859,0.04738222654893357
value_kurtosis,-0.009115053951698909,0.01374507807596193,-0.6631503947321888,0.507259918890945,-0.0360603913761095,0.017830283472711685
