predictor,importance_mean,importance_sd,n_valid_folds,predictor_type,metric
slack,2566.2007262571924,2711.2150786271686,5,instance_characteristic,r2
total_weight,2541.6394974909094,2707.0517786027294,5,instance_characteristic,r2
log_n,116.7098320194892,245.74285734923035,5,instance_characteristic,r2
unique_ratio_count,102.19548891266234,190.81269784683911,5,instance_characteristic,r2
capacity_ratio,92.64887635333089,97.56074489894146,5,instance_characteristic,r2
cap_mode,7.102053873747619,7.638135301767074,5,execution_metric,r2
unique_pairs,6.389925687223867,5.657266823907172,5,instance_characteristic,r2
duplicate_ratio_fraction,1.412314788645271,3.1537891159122653,5,instance_characteristic,r2
duplicate_pairs,1.307160253825164,2.2103466905602724,5,instance_characteristic,r2
duplicate_items,1.3065783484047773,2.1737645064969375,5,instance_characteristic,r2
bound_gap_variance,0.6864893176280742,0.6656588801792329,5,execution_metric,r2
sum_improvement_amount,0.6009835545591764,0.4515130375374056,5,execution_metric,r2
pruned_by_cap,0.4510586583535102,0.7160519061933903,5,execution_metric,r2
final_queue_size,0.3669869817388959,0.48560363717216803,5,execution_metric,r2
total_value,0.24756381688643492,0.5559555751030278,5,instance_characteristic,r2
explored_children,0.17060693150901152,0.2599996534990748,5,execution_metric,r2
right_branches,0.16224048542073555,0.10968384567894386,5,execution_metric,r2
unique_values,0.09430274225747509,0.17607038528023242,5,instance_characteristic,r2
average_fillable_items,0.04954409455216174,0.049259118402010194,5,instance_characteristic,r2
skipped_children,0.04616968491100683,0.06351689542926568,5,execution_metric,r2
left_branches,0.040152624056146294,0.03359744602444121,5,execution_metric,r2
unique_weights,0.022379859446920967,0.04788889393215727,5,instance_characteristic,r2
max_depth,0.02210481916126881,0.02462479409919424,5,execution_metric,r2
mean_bound_gap,0.018839961539248044,0.026233777904228893,5,execution_metric,r2
mean_weight,0.012546509754594088,0.01624009706211853,5,instance_characteristic,r2
mean_queue_size,0.006936349239412318,0.013253022745118826,5,execution_metric,r2
median_depth,0.006131824053411654,0.00866433509910611,5,execution_metric,r2
kendall_corr,0.0021928521307765627,0.004494980167939548,5,instance_characteristic,r2
pruned_generated_ratio,0.0016286669405191957,0.0016734991812718512,5,execution_metric,r2
std_value,0.0016134427403497243,0.0031539087625196416,5,instance_characteristic,r2
avg_branching_factor,0.001460167288884393,0.0032974126608193806,5,execution_metric,r2
pruned_by_bound,0.0012783264074870972,0.0017565868140563031,5,execution_metric,r2
std_weight,0.0012405869525305936,0.0017061718959318442,5,instance_characteristic,r2
spearman_corr,0.0012018007165138479,0.0016969261995549237,5,instance_characteristic,r2
value_cv,0.0009466464920996189,0.001979895744315497,5,instance_characteristic,r2
median_weight,0.0007374948107325586,0.0008791904495839213,5,instance_characteristic,r2
weight_kurtosis,0.000633627865015136,0.001426706719554392,5,instance_characteristic,r2
bound_variance,0.000609404916770534,0.0012379133417891157,5,execution_metric,r2
max_value,0.0004179484961482127,0.0005884788237933125,5,instance_characteristic,r2
value_kurtosis,0.000384138306143198,0.000425499649722048,5,instance_characteristic,r2
mean_value,0.0003584490950528041,0.0006390091246762052,5,instance_characteristic,r2
min_weight,0.00019795569896190247,0.0006429241372262562,5,instance_characteristic,r2
weight_cv,0.0001917774520487481,0.00036387741187306736,5,instance_characteristic,r2
median_ratio,9.443432401785577e-05,0.000282653455054612,5,instance_characteristic,r2
weight_skewness,5.800149264980958e-05,3.572982306657108e-05,5,instance_characteristic,r2
max_weight,5.213775370271345e-05,0.0004444730302973482,5,instance_characteristic,r2
value_skewness,4.294691561586239e-05,4.314035384311544e-05,5,instance_characteristic,r2
WeaklyCorrelated,0.0,0.0,5,execution_metric,r2
InverseCorrelated,0.0,0.0,5,execution_metric,r2
AlmostEqualRatios,0.0,0.0,5,execution_metric,r2
StronglyCorrelated,0.0,0.0,5,execution_metric,r2
median_value,-2.3369698598696422e-06,2.287289981350088e-05,5,instance_characteristic,r2
min_value,-4.186241779373657e-06,2.619834606372031e-05,5,instance_characteristic,r2
pearson_corr,-5.696557425860505e-06,1.2691733807628296e-05,5,instance_characteristic,r2
mean_ratio,-1.1549552356434623e-05,2.4905760136683554e-05,5,instance_characteristic,r2
mean_improvement_amount,-0.00013625089958568484,0.00037389754576046567,5,execution_metric,r2
std_ratio,-0.00014238281746503656,0.00034133614859393265,5,instance_characteristic,r2
skipped_infeasible,-0.00014609128996142306,0.00023340742493512174,5,execution_metric,r2
ratio_entropy,-0.00018878564284662057,0.00035386921807507735,5,instance_characteristic,r2
last_improvement_node,-0.00022587558759721402,0.0004527945171949673,5,execution_metric,r2
n,-0.0002981173804378325,0.0070208935518739765,5,instance_characteristic,r2
skipped_by_bound,-0.0007765613233460922,0.0027755843372091736,5,execution_metric,r2
improvement_count,-0.0015387737804888346,0.007491972672038248,5,execution_metric,r2
mean_depth,-0.0029595502828577954,0.018861774200291993,5,execution_metric,r2
