predictor,coefficient,se,t_stat,p_value,ci_lower,ci_upper,abs_coefficient
slack,2.72904325330398e+19,6393133947.348747,4268709643.469496,0.0,2.729043252050949e+19,2.729043254557011e+19,2.72904325330398e+19
total_weight,-2.4650016025207878e+19,6207674196.876793,-3970893968.2449503,0.0,-2.4650016037374693e+19,-2.4650016013041054e+19,2.4650016025207878e+19
log_n,-1.2458390283883872e+19,580954624.1021352,-21444687359.427258,0.0,-1.2458390285022523e+19,-1.245839028274522e+19,1.2458390283883872e+19
unique_ratio_count,9.31295675632428e+18,376183193.8567762,24756440235.525227,0.0,9.312956755586976e+18,9.312956757061585e+18,9.31295675632428e+18
capacity_ratio,5.323741685418902e+18,1200415284.8804178,4434916609.670826,0.0,5.32374168306613e+18,5.323741687771673e+18,5.323741685418902e+18
total_value,3.726589075997069e+18,518237871.8950928,7190885263.4981575,0.0,3.726589074981341e+18,3.726589077012797e+18,3.726589075997069e+18
unique_pairs,-3.0902424059622564e+18,117112001.53451984,-26387068494.012363,0.0,-3.090242406191792e+18,-3.090242405732721e+18,3.0902424059622564e+18
selected_count,1.8173654724135987e+18,119992997.85041352,15145596034.521738,0.0,1.817365472178417e+18,1.8173654726487808e+18,1.8173654724135987e+18
first_skipped_position,-1.7851450055762693e+18,119015869.77764373,-14999218246.368654,0.0,-1.7851450058095365e+18,-1.7851450053430024e+18,1.7851450055762693e+18
cap_mode,1.302994212762796e+18,345424019.0920318,3772158682.5021496,0.0,1.3029942120857774e+18,1.302994213439815e+18,1.302994212762796e+18
pearson_corr,7.868824118397513e+17,40744555.98709185,19312577908.298744,0.0,7.868824117598934e+17,7.868824119196092e+17,7.868824118397513e+17
spearman_corr,-7.43422863214627e+17,19659398.44613956,-37815137897.09115,0.0,-7.434228632531587e+17,-7.434228631760952e+17,7.43422863214627e+17
duplicate_items,-7.250928745125599e+17,188379732.0856804,-3849102376.803292,0.0,-7.250928748817774e+17,-7.250928741433423e+17,7.250928745125599e+17
duplicate_pairs,7.22017809735958e+17,187807072.437264,3844465495.1806703,0.0,7.220178093678629e+17,7.220178101040531e+17,7.22017809735958e+17
duplicate_ratio_fraction,5.3869437036477146e+17,22137292.53866917,24334248166.24645,0.0,5.386943703213832e+17,5.386943704081597e+17,5.3869437036477146e+17
kendall_corr,5.025432126184758e+17,10492224.12754646,47896728711.60753,0.0,5.025432125979114e+17,5.025432126390401e+17,5.025432126184758e+17
unique_values,4.3300193255777184e+17,51551682.80520242,8399375325.805558,0.0,4.330019324567324e+17,4.3300193265881126e+17,4.3300193255777184e+17
unique_weights,3.891866548489216e+17,52133763.22606826,7465155606.766519,0.0,3.891866547467413e+17,3.891866549511019e+17,3.891866548489216e+17
StronglyCorrelated,-2.1727958757608422e+17,21794854.437757414,-9969306663.48792,0.0,-2.172795876188013e+17,-2.172795875333671e+17,2.1727958757608422e+17
InverseCorrelated,1.9753122727395622e+17,22085752.7460111,8943830420.705595,0.0,1.9753122723066896e+17,1.975312273172435e+17,1.9753122727395622e+17
