predictor,coefficient,se,t_stat,p_value,ci_lower,ci_upper
const,17.588481142787145,26.927482802660393,0.6531795516010666,0.513690601758117,-35.20972399533886,70.38668628091315
total_weight,211.62728689998926,69.96536294989772,3.0247436442448787,0.0025095408328946796,74.44232933584684,348.8122444641317
total_value,-9.930300384923592,4.8916163935888495,-2.0300652352745088,0.042438005919955134,-19.521563248164846,-0.3390375216823376
mean_weight,-0.00841669550202049,0.008192944903927617,-1.027310155349099,0.3043572910365598,-0.024481055802352644,0.007647664798311665
mean_value,0.015316886616895594,0.008083725542487456,1.8947806350415022,0.05821757103891947,-0.000533321239532555,0.03116709447332374
median_weight,0.0005016976895155479,0.000768842920109693,0.6525360075423069,0.5141054647040239,-0.0010058151557228797,0.0020092105347539755
median_value,-0.0007539843562090014,0.0006991686746642195,-1.0784012263866192,0.28094146833672073,-0.0021248830540786003,0.0006169143416605973
std_weight,-0.0016630664378107056,0.007576038778589738,-0.21951662160318053,0.8262625726400015,-0.01651782477143627,0.01319169189581486
std_value,0.007581795292829347,0.007437227420428572,1.019438409534671,0.30807710870436844,-0.007000787931915599,0.022164378517574294
min_weight,0.0011469177350789225,0.0012133325066311011,0.9452625136232576,0.34460102057082337,-0.001232130431262727,0.003525965901420572
max_weight,-0.0016228227497124639,0.0010943045903796815,-1.48297171005141,0.13818700166153625,-0.0037684862961302177,0.00052284079670529
min_value,-0.00037106817645168703,0.0011628808875424313,-0.31909388177828096,0.7496775460209446,-0.002651193062302707,0.0019090567093993328
max_value,-0.0010169300871978963,0.0007634951978028968,-1.331940384332877,0.182980991766173,-0.00251395735747764,0.0004800971830818475
weight_cv,3.2939762656065166,3.68970245808475,0.8927484812193645,0.37206350901521273,-3.9406274553680825,10.528579986581116
value_cv,-6.266928735991063,3.374590475525938,-1.857093114391709,0.0633958814522927,-12.883674961018139,0.3498174890360133
weight_skewness,0.12501552112324557,0.25897301662892136,0.48273570254764603,0.6293186437166077,-0.3827671987625585,0.6327982410090496
value_skewness,-0.07577005866128728,0.24306476049809014,-0.311727864236752,0.7552690185758655,-0.5523605807192834,0.40082046339670885
weight_kurtosis,0.28333452224759076,0.1787477149037625,1.5851084999891474,0.11304711587301504,-0.0671460105457567,0.6338150550409383
value_kurtosis,-0.2362612818651932,0.18617538152330868,-1.2690253670065068,0.2045304966130754,-0.6013056514920996,0.12878308776171318
capacity_ratio,-227.5703317923501,76.21492606395725,-2.9859024149860094,0.002850296270869144,-377.0091534750941,-78.13151010960613
slack,-205.47790301277303,69.12841366647662,-2.9724087696289523,0.002978234931453685,-341.0218078175425,-69.9339982080036
average_fillable_items,1.0814685504524362,0.10930298116298189,9.894227393851741,9.794201769741333e-23,0.8671521487321211,1.2957849521727511
pearson_corr,0.32145041137869335,0.16524665048743253,1.945276412142106,0.051835051170463164,-0.002557837545401509,0.6454586603027882
spearman_corr,0.16656763727855028,0.10631298197486021,1.566766675004361,0.11727474105659913,-0.041886107629235614,0.3750213821863362
kendall_corr,-0.19886169316507257,0.06626636215682301,-3.0009447733746932,0.0027136055050198914,-0.3287938152484491,-0.06892957108169609
mean_ratio,-0.03838090588105734,0.018920581407799734,-2.028526769543951,0.04259471195312242,-0.07547953651885786,-0.0012822752432568238
median_ratio,-0.27521873748115855,0.24514269037293754,-1.122687921318258,0.2616599300052528,-0.7558835715941974,0.20544609663188024
std_ratio,0.0077237035258817125,0.004074958942837101,1.8954064652499918,0.05813464156137023,-0.0002662938968294006,0.015713700948592826
ratio_entropy,0.07670587668892799,0.03881297897405174,1.9762944952050547,0.04821292824231166,0.0006031217113519893,0.152808631666504
unique_ratio_count,68.89158033135482,10.775627576521433,6.393277778220529,1.876493405859954e-10,47.76321124291494,90.0199494197947
duplicate_ratio_fraction,79.46792012406596,10.974575311495077,7.241092968839444,5.630678515577091e-13,57.94946320603266,100.98637704209925
unique_weights,3.0408087148519773,0.9193138193997261,3.3076939024342087,0.0009517730649823598,1.23825925344501,4.843358176258945
unique_values,3.087747091338534,0.9026686121302144,3.4206873373515627,0.0006329830331765011,1.3178348086245366,4.857659374052531
unique_pairs,-20.34444941353105,2.527628603907623,-8.048828606417597,1.1927597520016887e-15,-25.300510643618424,-15.388388183443674
duplicate_items,-0.19659517407890836,0.4267405307908996,-0.46069018500433667,0.6450543012464534,-1.0333289397476642,0.6401385915898474
duplicate_pairs,0.18782633831609186,0.4269007388847974,0.4399766062873419,0.6599857557842861,-0.6492215562249538,1.0248742328571376
n,0.0033236082943923382,0.0006457094715338992,5.147219362443333,2.8142824926981303e-07,0.0020575300134209927,0.004589686575363684
log_n,-50.584053060928476,10.190858212923201,-4.9636695952439,7.30376226787028e-07,-70.56583250918482,-30.60227361267214
cap_mode,-31.32125118342347,10.290739936909102,-3.043634507863293,0.002357667463379859,-51.498874253276554,-11.143628113570383
WeaklyCorrelated,-0.41968799042948596,0.3350549235629715,-1.2525946073751941,0.21045094268977174,-1.0766487140315126,0.23727273317254066
StronglyCorrelated,0.08579105941735088,0.7067975578990305,0.12137996015770976,0.9033982207539104,-1.3000660118344998,1.4716481306692013
InverseCorrelated,1.2426876162697773,0.7213754602923423,1.7226641113715868,0.08505237647041136,-0.17175315464261542,2.65712838718217
AlmostEqualRatios,-0.7771903282140953,0.4158530830985031,-1.8689060146513383,0.06173329712032475,-1.5925764729074152,0.03819581647922454
