predictor,coefficient,se,t_stat,p_value,ci_lower,ci_upper
const,-1.3426668332440006e+17,866371.7088496623,-154975839992.13757,0.0,-1.3426668332609813e+17,-1.34266683322702e+17
total_weight,-1.537991267319799e+21,91020584610.21306,-16897180719.131826,0.0,-1.5379912674981962e+21,-1.537991267141402e+21
total_value,-4.096498804519327e+17,519456335.7431458,-788612732.7061636,0.0,-4.096498814700484e+17,-4.0964987943381696e+17
mean_weight,2.3351422816187416e+16,22557493.189762555,1035195826.9363537,0.0,2.335142277197554e+16,2.3351422860399292e+16
mean_value,2.625899066351439e+16,22895467.89856011,1146907797.641725,0.0,2.62589906186401e+16,2.6258990708388684e+16
median_weight,-4258579937863468.5,2967788.9767806972,-1434933538.4630191,0.0,-4258579943680228.0,-4258579932046709.0
median_value,1306636552480390.5,2798233.1716018673,466950562.1407517,0.0,1306636546995954.2,1306636557964826.8
std_weight,1.5249120049212672e+16,9100141.086531745,1675701497.835176,0.0,1.5249120031376724e+16,1.524912006704862e+16
std_value,-8570946793086123.0,9190585.820518894,-932578941.1541791,0.0,-8570946811099340.0,-8570946775072906.0
min_weight,-2.990693362086787e+17,2299762.502607791,-130043574442.81844,0.0,-2.990693362131862e+17,-2.9906933620417126e+17
max_weight,938856261747317.5,1951369.0197162272,481126968.9440126,0.0,938856257922704.5,938856265571930.5
min_value,-1243731319750660.2,2101434.9074972933,-591848605.5948713,0.0,-1243731323869397.0,-1243731315631923.5
max_value,6473111656155060.0,2427278.4036750235,2666818790.27739,0.0,6473111651397682.0,6473111660912438.0
weight_cv,-4.084151041062528e+16,13332626.775362058,-3063275609.4319005,0.0,-4.084151043675675e+16,-4.084151038449381e+16
value_cv,1.1700976579217976e+16,13258811.946255771,882505659.3794045,0.0,1.1700976553231182e+16,1.170097660520477e+16
weight_skewness,2207886246264261.0,2738729.7667036145,806171632.2314317,0.0,2207886240896449.2,2207886251632072.8
value_skewness,-3007035886743596.0,2601329.916883938,-1155960982.5829558,0.0,-3007035891842109.0,-3007035881645083.0
weight_kurtosis,-55892297021832.5,2499887.5736907427,-22357924.256295715,0.0,-55892301921522.11,-55892292122142.89
value_kurtosis,-2906576219961160.0,2443317.745743552,-1189602222.234353,0.0,-2906576224749975.0,-2906576215172345.0
