predictor,r2_full,r2_without,delta_r2,rank_by_perm_importance
left_branches,0.9613432537002082,0.9604656944413835,0.0008775592588247116,9
internal_nodes,0.9613432537002082,0.9610191760085235,0.0003240776916847432,2
nodes_generated,0.9613432537002082,0.961019950570106,0.0003233031301022038,1
bound_gap_variance,0.9613432537002082,0.9610326279095158,0.00031062579069240925,6
right_branches,0.9613432537002082,0.9610916057835206,0.0002516479166876362,5
pruned_generated_ratio,0.9613432537002082,0.9611254449059057,0.00021780879430255418,7
sum_improvement_amount,0.9613432537002082,0.9612231975461055,0.00012005615410271009,8
explored_children,0.9613432537002082,0.9612404477403973,0.00010280595981093654,3
cap_mode,0.9613432537002082,0.9613269680692262,1.628563098199365e-05,4
final_queue_size,0.9613432537002082,0.9613419780989072,1.2756013010317702e-06,10
