predictor,r2_full,r2_without,delta_r2,rank_by_perm_importance
capacity_utilization,0.7633480661291999,0.7019228153940171,0.06142525073518279,10
residual_capacity,0.7633480661291999,0.7444359022268541,0.018912163902345847,9
selected_count,0.7633480661291999,0.7555061890982462,0.007841877030953737,1
first_skipped_position,0.7633480661291999,0.7557044119563604,0.00764365417283952,2
InverseCorrelated,0.7633480661291999,0.7601618196694931,0.0031862464597067763,8
last_selected_position,0.7633480661291999,0.7621563573053997,0.0011917088238002638,4
WeaklyCorrelated,0.7633480661291999,0.763407038063329,-5.897193412907065e-05,5
AlmostEqualRatios,0.7633480661291999,0.7634667142497109,-0.00011864812051098905,7
StronglyCorrelated,0.7633480661291999,0.7634944672821741,-0.00014640115297415157,6
cap_mode,0.7633480661291999,0.763704593059484,-0.00035652693028409566,3
