predictor,importance_mean,importance_sd,n_valid_folds,predictor_type,metric
dp_sum_improvement_amount,1310.6248145637592,410.7185885242665,5,execution_metric,pseudo_r2
updates_per_cell,1308.254196267514,372.88347285728753,5,execution_metric,pseudo_r2
total_weight,1251.9833227149284,363.11435754247435,5,instance_characteristic,pseudo_r2
average_fillable_items,1188.4449154466797,347.7029624711346,5,instance_characteristic,pseudo_r2
log_n,1170.8099449313763,329.8505255467312,5,instance_characteristic,pseudo_r2
dp_mean_improvement_amount,1122.6000041537163,236.86904183009548,5,execution_metric,pseudo_r2
slack,658.5892142140713,142.20000344975915,5,instance_characteristic,pseudo_r2
capacity_ratio,17.7397955854481,6.756363750374723,5,instance_characteristic,pseudo_r2
zero_value_states,1.6124895529899965,0.11872407467296586,5,execution_metric,pseudo_r2
unique_ratio_count,0.5945792116902413,0.39944363417139034,5,instance_characteristic,pseudo_r2
cap_mode,0.25951883703641393,0.10151409870793957,5,execution_metric,pseudo_r2
total_evaluations,0.24452258838071955,0.05788492932002907,5,execution_metric,pseudo_r2
total_value,0.19486748519876063,0.1464558680293852,5,instance_characteristic,pseudo_r2
exclude_count,0.09937839001187251,0.06877688077192134,5,execution_metric,pseudo_r2
unique_pairs,0.02353870701835924,0.02550671931302713,5,instance_characteristic,pseudo_r2
unique_values,0.007844801088951437,0.011447565969901093,5,instance_characteristic,pseudo_r2
min_weight,0.005646519998050146,0.016123131618695462,5,instance_characteristic,pseudo_r2
include_ratio,0.005511247071860017,0.003238488745772325,5,execution_metric,pseudo_r2
mean_weight,0.0036889188447063403,0.0034822964831357725,5,instance_characteristic,pseudo_r2
unique_weights,0.0028606581508708985,0.005338972059701887,5,instance_characteristic,pseudo_r2
duplicate_items,0.001431702164934393,0.0023811753222619156,5,instance_characteristic,pseudo_r2
duplicate_pairs,0.0009983849464830607,0.0009793027446836436,5,instance_characteristic,pseudo_r2
weight_cv,0.0007103204836101794,0.001571141162371316,5,instance_characteristic,pseudo_r2
n,0.0006257142116550528,0.0013247041289140332,5,instance_characteristic,pseudo_r2
mean_ratio,0.00036380024834337,0.0006064958243013974,5,instance_characteristic,pseudo_r2
duplicate_ratio_fraction,0.000305817851380098,0.0008155583058226574,5,instance_characteristic,pseudo_r2
ratio_entropy,0.00026313304899545307,0.0005674992344465654,5,instance_characteristic,pseudo_r2
std_value,0.00011273595209256746,0.0004375860714904865,5,instance_characteristic,pseudo_r2
tie_count,9.891383732133054e-05,0.00020474399532981343,5,execution_metric,pseudo_r2
max_weight,8.389044041750338e-05,0.0001836481483103095,5,instance_characteristic,pseudo_r2
spearman_corr,8.099850714748948e-05,0.00011689388061383166,5,instance_characteristic,pseudo_r2
kendall_corr,6.938255908274238e-05,0.00016462580207974442,5,instance_characteristic,pseudo_r2
weight_kurtosis,6.233388595629384e-05,0.00014031185777768529,5,instance_characteristic,pseudo_r2
median_value,4.975735459585518e-05,8.10745829612806e-05,5,instance_characteristic,pseudo_r2
pearson_corr,2.39010711421439e-05,3.1053353417331644e-05,5,instance_characteristic,pseudo_r2
std_weight,2.3004355361477825e-05,0.0001263900810910419,5,instance_characteristic,pseudo_r2
median_weight,1.0211366776867735e-05,2.0924606918819416e-05,5,instance_characteristic,pseudo_r2
AlmostEqualRatios,0.0,0.0,5,execution_metric,pseudo_r2
InverseCorrelated,0.0,0.0,5,execution_metric,pseudo_r2
StronglyCorrelated,0.0,0.0,5,execution_metric,pseudo_r2
WeaklyCorrelated,0.0,0.0,5,execution_metric,pseudo_r2
weight_skewness,-1.2699708919818863e-05,3.60624635872251e-05,5,instance_characteristic,pseudo_r2
value_skewness,-1.9914699157981272e-05,7.861256369863238e-05,5,instance_characteristic,pseudo_r2
value_kurtosis,-3.495190456195618e-05,7.213566303792682e-05,5,instance_characteristic,pseudo_r2
max_value,-3.675501935930581e-05,8.798013886801974e-05,5,instance_characteristic,pseudo_r2
min_value,-4.68011386844791e-05,0.00011132405984269404,5,instance_characteristic,pseudo_r2
median_ratio,-5.744638515715715e-05,0.00012836360007759186,5,instance_characteristic,pseudo_r2
value_cv,-6.053544198416749e-05,0.00015934152317496528,5,instance_characteristic,pseudo_r2
mean_value,-0.000223026317360272,0.00043113099008417247,5,instance_characteristic,pseudo_r2
std_ratio,-0.0003687898921155475,0.0006557794470165592,5,instance_characteristic,pseudo_r2
mean_cell_value,-0.0007577211598111932,0.0017576108792653107,5,execution_metric,pseudo_r2
