predictor,importance_mean,importance_sd,n_valid_folds,predictor_type,metric
total_weight,819.0364066610059,712.7773966307541,5,instance_characteristic,pseudo_r2
slack,818.7540947640889,695.1962183423742,5,instance_characteristic,pseudo_r2
log_n,777.8440246483558,698.0281184366268,5,instance_characteristic,pseudo_r2
unique_ratio_count,777.7768729735351,699.4043717169998,5,instance_characteristic,pseudo_r2
unique_pairs,563.6849187905594,464.7885679133661,5,instance_characteristic,pseudo_r2
total_value,473.1491631691591,547.7653839968576,5,instance_characteristic,pseudo_r2
selected_count,428.3374763745234,359.18287847965183,5,execution_metric,pseudo_r2
first_skipped_position,404.93230877542925,346.34588975641753,5,execution_metric,pseudo_r2
capacity_ratio,352.8476310569848,402.55561178228743,5,instance_characteristic,pseudo_r2
duplicate_items,326.5761405756725,298.1829511816739,5,instance_characteristic,pseudo_r2
duplicate_pairs,324.3049754294385,294.0447784790687,5,instance_characteristic,pseudo_r2
cap_mode,270.38725292097945,335.3085648759418,5,execution_metric,pseudo_r2
duplicate_ratio_fraction,37.60279640709899,51.917701668177486,5,instance_characteristic,pseudo_r2
unique_values,18.133216259757052,26.914102381767268,5,instance_characteristic,pseudo_r2
unique_weights,14.603930639895273,27.777924735903365,5,instance_characteristic,pseudo_r2
mean_value,3.183311312120812,6.311311121562797,5,instance_characteristic,pseudo_r2
mean_weight,2.0029209104879735,2.7843128210665733,5,instance_characteristic,pseudo_r2
n,1.640568088447901,3.006840550092938,5,instance_characteristic,pseudo_r2
min_value,0.4568331675409823,0.8038312904695946,5,instance_characteristic,pseudo_r2
last_selected_position,0.3408139765393148,0.6432018571505296,5,execution_metric,pseudo_r2
max_weight,0.3335369725055113,0.5716279394829619,5,instance_characteristic,pseudo_r2
ratio_entropy,0.2828143008291045,0.6092953317895575,5,instance_characteristic,pseudo_r2
std_weight,0.09772743954620108,0.18960879825914828,5,instance_characteristic,pseudo_r2
std_value,0.09369294467205992,0.20598560360526097,5,instance_characteristic,pseudo_r2
spearman_corr,0.08556605102444995,0.1732917053185108,5,instance_characteristic,pseudo_r2
average_fillable_items,0.07817849773606252,0.5490328285162699,5,instance_characteristic,pseudo_r2
value_skewness,0.05378715391178239,0.06025877113147626,5,instance_characteristic,pseudo_r2
weight_kurtosis,0.04926283435095909,0.0977170373116177,5,instance_characteristic,pseudo_r2
median_weight,0.02691957821348247,0.06276962890690935,5,instance_characteristic,pseudo_r2
median_value,0.021905716921082598,0.0490320307058819,5,instance_characteristic,pseudo_r2
value_kurtosis,0.02006489339155989,0.04218486004873143,5,instance_characteristic,pseudo_r2
weight_skewness,0.00591767664585959,0.014404366061469014,5,instance_characteristic,pseudo_r2
std_ratio,0.001820047369362979,0.003797651945284119,5,instance_characteristic,pseudo_r2
WeaklyCorrelated,0.0,0.0,5,execution_metric,pseudo_r2
StronglyCorrelated,0.0,0.0,5,execution_metric,pseudo_r2
AlmostEqualRatios,0.0,0.0,5,execution_metric,pseudo_r2
InverseCorrelated,0.0,0.0,5,execution_metric,pseudo_r2
mean_ratio,-0.00016375287774672117,0.00032055396964016477,5,instance_characteristic,pseudo_r2
median_ratio,-0.00019064247630353414,0.00019952341357564862,5,instance_characteristic,pseudo_r2
value_cv,-0.0021791212052775675,0.20885232662180825,5,instance_characteristic,pseudo_r2
pearson_corr,-0.01969200574207738,0.04301878864038115,5,instance_characteristic,pseudo_r2
weight_cv,-0.08681586833870136,0.15992647415166908,5,instance_characteristic,pseudo_r2
max_value,-0.09281142002392528,0.20004307948421554,5,instance_characteristic,pseudo_r2
min_weight,-0.24904445077317988,0.629866583579608,5,instance_characteristic,pseudo_r2
residual_capacity,-0.38062690944909866,1.0161819980956805,5,execution_metric,pseudo_r2
capacity_utilization,-0.5581991703735436,1.4331027316099474,5,execution_metric,pseudo_r2
kendall_corr,-1.7852395218671269,4.002670111157993,5,instance_characteristic,pseudo_r2
