predictor,coefficient,se,t_stat,p_value,ci_lower,ci_upper,abs_coefficient
dp_sum_improvement_amount,4.870619640695094e+21,255607362069.4711,19055083551.82397,0.0,4.870619640194113e+21,4.870619641196076e+21,4.870619640695094e+21
average_fillable_items,-2.59604807064245e+21,136128143128.2934,-19070619865.840782,0.0,-2.5960480709092563e+21,-2.596048070375644e+21,2.59604807064245e+21
updates_per_cell,-1.843843109076119e+21,96760481659.6736,-19055745459.817905,0.0,-1.843843109265766e+21,-1.843843108886472e+21,1.843843109076119e+21
log_n,1.6950063827516575e+21,88949995631.64142,19055721933.601845,0.0,1.6950063825773186e+21,1.6950063829259964e+21,1.6950063827516575e+21
total_weight,-1.537991267319799e+21,91020584610.21306,-16897180719.131826,0.0,-1.5379912674981962e+21,-1.537991267141402e+21,1.537991267319799e+21
dp_mean_improvement_amount,-1.1945967534194232e+21,62693271989.63392,-19054624451.83823,0.0,-1.1945967535422998e+21,-1.1945967532965466e+21,1.1945967534194232e+21
slack,-1.7055267579578653e+20,6454747365.567238,-26422827437.925373,0.0,-1.705526758084376e+20,-1.7055267578313546e+20,1.7055267579578653e+20
capacity_ratio,-3.3019554871058952e+19,1209392198.953647,-27302602827.789955,0.0,-3.301955487342932e+19,-3.301955486868859e+19,3.3019554871058952e+19
cap_mode,-7.840168611201836e+18,353743377.19265634,-22163435746.6201,0.0,-7.84016861189516e+18,-7.840168610508512e+18,7.840168611201836e+18
total_evaluations,2.471087721853144e+18,110881006.81661516,22285942315.982468,0.0,2.471087721635821e+18,2.471087722070467e+18,2.471087721853144e+18
exclude_count,1.1712356881826342e+18,76469148.80076076,15316447306.537588,0.0,1.1712356880327575e+18,1.171235688332511e+18,1.1712356881826342e+18
include_ratio,4.293848751849647e+17,18084047.29518757,23743848275.558884,0.0,4.293848751495206e+17,4.293848752204088e+17,4.293848751849647e+17
total_value,-4.096498804519327e+17,519456335.7431458,-788612732.7061636,0.0,-4.096498814700484e+17,-4.0964987943381696e+17,4.096498804519327e+17
min_weight,-2.990693362086787e+17,2299762.502607791,-130043574442.81844,0.0,-2.990693362131862e+17,-2.9906933620417126e+17,2.990693362086787e+17
duplicate_items,-1.471417099738235e+17,188451214.65495476,-780794701.9244901,0.0,-1.471417103431811e+17,-1.471417096044659e+17,1.471417099738235e+17
duplicate_pairs,1.4589047126675165e+17,187881211.78445435,776503780.6660714,0.0,1.4589047089851123e+17,1.4589047163499206e+17,1.4589047126675165e+17
const,-1.3426668332440006e+17,866371.7088496623,-154975839992.13757,0.0,-1.3426668332609811e+17,-1.34266683322702e+17,1.3426668332440006e+17
pearson_corr,1.2636701002504269e+17,41145838.24380682,3071197851.803715,0.0,1.263670099443983e+17,1.2636701010568704e+17,1.2636701002504269e+17
unique_pairs,-9.87003739049142e+16,129831375.6423514,-760219734.3791976,0.0,-9.870037415937902e+16,-9.87003736504494e+16,9.87003739049142e+16
InverseCorrelated,7.323047370550454e+16,22231774.11986392,3293955458.105958,0.0,7.323047366193107e+16,7.323047374907802e+16,7.323047370550454e+16
