column,category
algorithm,identifier
instance_id,identifier
n,identifier
family,identifier
capacity_mode,identifier
capacity,identifier
seed,identifier
total_weight,instance_characteristic
total_value,instance_characteristic
mean_weight,instance_characteristic
mean_value,instance_characteristic
median_weight,instance_characteristic
median_value,instance_characteristic
std_weight,instance_characteristic
std_value,instance_characteristic
min_weight,instance_characteristic
max_weight,instance_characteristic
min_value,instance_characteristic
max_value,instance_characteristic
weight_cv,instance_characteristic
value_cv,instance_characteristic
weight_skewness,instance_characteristic
value_skewness,instance_characteristic
weight_kurtosis,instance_characteristic
value_kurtosis,instance_characteristic
capacity_ratio,instance_characteristic
slack,instance_characteristic
average_fillable_items,instance_characteristic
pearson_corr,instance_characteristic
spearman_corr,instance_characteristic
kendall_corr,instance_characteristic
mean_ratio,instance_characteristic
median_ratio,instance_characteristic
std_ratio,instance_characteristic
ratio_entropy,instance_characteristic
unique_ratio_count,instance_characteristic
duplicate_ratio_fraction,instance_characteristic
unique_weights,instance_characteristic
unique_values,instance_characteristic
unique_pairs,instance_characteristic
duplicate_items,instance_characteristic
duplicate_pairs,instance_characteristic
time_nanos,benchmark_outcome
time_millis,benchmark_outcome
memory_bytes,benchmark_outcome
memory_mb,benchmark_outcome
solution_value,benchmark_outcome
optimal_value,benchmark_outcome
optimality_gap,benchmark_outcome
nodes_explored,benchmark_outcome
nodes_pruned,benchmark_outcome
max_queue_size,benchmark_outcome
optimal,benchmark_outcome
nodes_generated,bb_metric
leaf_nodes,bb_metric
internal_nodes,bb_metric
max_depth,bb_metric
mean_depth,bb_metric
median_depth,bb_metric
min_depth,bb_metric
depth_histogram,bb_metric
mean_queue_size,bb_metric
final_queue_size,bb_metric
queue_histogram,bb_metric
mean_bound,bb_metric
bound_variance,bb_metric
min_bound,bb_metric
max_bound,bb_metric
mean_bound_gap,bb_metric
bound_gap_variance,bb_metric
pruned_by_bound,bb_metric
pruned_by_cap,bb_metric
left_branches,bb_metric
right_branches,bb_metric
explored_children,bb_metric
skipped_children,bb_metric
skipped_infeasible,bb_metric
skipped_by_bound,bb_metric
skipped_by_cap,bb_metric
improvement_count,bb_metric
sum_improvement_amount,bb_metric
mean_improvement_amount,bb_metric
first_improvement_node,bb_metric
last_improvement_node,bb_metric
improvement_depths,bb_metric
improvement_nodes,bb_metric
explored_generated_ratio,bb_metric
pruned_generated_ratio,bb_metric
avg_branching_factor,bb_metric
capacity_density,dp_metric
cells_allocated,dp_metric
total_evaluations,dp_metric
include_count,dp_metric
exclude_count,dp_metric
tie_count,dp_metric
include_ratio,dp_metric
nonzero_value_states,dp_metric
zero_value_states,dp_metric
fill_rate,dp_metric
mean_cell_value,dp_metric
cell_value_variance,dp_metric
dp_sum_improvement_amount,dp_metric
dp_mean_improvement_amount,dp_metric
updates_per_cell,dp_metric
selected_count,greedy_metric
solution_density,greedy_metric
residual_capacity,greedy_metric
capacity_utilization,greedy_metric
last_selected_position,greedy_metric
first_skipped_position,greedy_metric
