,average_fillable_items,avg_branching_factor,bound_gap_variance,bound_variance,capacity_density,capacity_ratio,capacity_utilization,cell_value_variance,cells_allocated,dp_mean_improvement_amount,dp_sum_improvement_amount,duplicate_items,duplicate_pairs,duplicate_ratio_fraction,exclude_count,explored_children,explored_generated_ratio,fill_rate,final_queue_size,first_improvement_node,first_skipped_position,improvement_count,include_count,include_ratio,internal_nodes,kendall_corr,last_improvement_node,last_selected_position,leaf_nodes,left_branches,max_bound,max_depth,max_queue_size,max_value,max_weight,mean_bound,mean_bound_gap,mean_cell_value,mean_depth,mean_improvement_amount,mean_queue_size,mean_ratio,mean_value,mean_weight,median_depth,median_ratio,median_value,median_weight,memory_bytes,memory_mb,min_bound,min_depth,min_value,min_weight,nodes_explored,nodes_generated,nodes_pruned,nonzero_value_states,pearson_corr,pruned_by_bound,pruned_by_cap,pruned_generated_ratio,ratio_entropy,residual_capacity,right_branches,selected_count,skipped_by_bound,skipped_by_cap,skipped_children,skipped_infeasible,slack,solution_density,solution_value,spearman_corr,std_ratio,std_value,std_weight,sum_improvement_amount,tie_count,time_millis,time_nanos,total_evaluations,total_value,total_weight,unique_pairs,unique_ratio_count,unique_values,unique_weights,updates_per_cell,value_cv,value_kurtosis,value_skewness,weight_cv,weight_kurtosis,weight_skewness,zero_value_states
average_fillable_items,1.000000,0.304357,0.594224,-0.014700,0.525952,0.528886,0.264774,0.930548,0.999680,0.141372,0.874904,0.271309,0.282776,0.318929,0.951126,0.459605,-0.316005,0.218466,0.267441,,0.985895,0.984110,0.959881,0.448439,0.458954,-0.000555,0.319384,0.802952,,0.292488,0.956442,0.627430,0.168027,0.216148,0.224916,0.956583,0.600693,0.891245,0.811295,0.161968,0.293792,-0.004975,0.002273,-0.000709,0.838056,-0.023113,0.008686,0.002583,0.163790,0.163790,0.956989,,-0.205290,-0.225733,0.264369,0.459605,0.073398,0.999680,-0.000863,0.125365,0.436170,0.246260,-0.165129,0.078996,0.458959,0.986770,0.086345,,0.448134,0.448198,0.220712,0.496509,0.956583,0.000061,0.056727,0.067771,0.073122,0.956585,0.558611,0.266593,0.266593,0.964134,0.598522,0.598529,0.587991,0.588599,0.594109,0.593945,0.992134,0.017356,-0.083964,-0.000644,0.024395,-0.096595,-0.000518,-0.225733
avg_branching_factor,0.304357,1.000000,0.014192,-0.141736,0.127358,0.128112,0.102715,0.303232,0.303801,0.036026,0.316845,0.253643,0.259742,0.285521,0.280603,0.596188,-0.846899,0.156551,0.861435,,0.323952,0.320712,0.300023,0.076949,0.516541,-0.046182,0.120326,0.263685,,0.832930,0.326864,0.261360,0.478941,0.091861,0.130711,0.326868,0.007168,0.332873,0.342357,-0.003819,0.832448,0.023980,0.009798,-0.005818,0.333092,-0.009581,0.019066,-0.000202,0.473540,0.473540,0.327378,,-0.141404,-0.156738,0.291384,0.596188,0.026137,0.303833,-0.046792,0.045362,0.526739,-0.159807,-0.079308,0.179676,0.517393,0.323660,0.023633,,0.408949,0.409702,0.146372,0.127104,0.326759,-0.046262,0.071264,0.023251,0.033139,0.326740,0.149642,0.341913,0.341913,0.294387,0.246869,0.247006,0.213062,0.212682,0.251881,0.252406,0.316941,-0.009408,-0.045254,-0.020725,0.010577,-0.053633,-0.011637,-0.156738
bound_gap_variance,0.594224,0.014192,1.000000,0.197129,0.239831,0.240892,0.127902,0.664440,0.594525,0.105370,0.609387,-0.028198,-0.029449,-0.043883,0.630076,-0.049533,0.031459,0.101500,-0.026129,,0.571632,0.558134,0.612642,0.204207,-0.050039,-0.014091,-0.029631,0.512018,,-0.028812,0.617775,0.361654,-0.015615,0.096379,0.117011,0.617755,0.949813,0.584753,0.332379,0.128809,-0.028920,0.007365,-0.004347,0.001643,0.376368,-0.017729,0.000245,0.004520,-0.014151,-0.014150,0.617400,,-0.112064,-0.117248,-0.025734,-0.049533,-0.006156,0.594519,-0.014090,-0.010422,-0.044448,0.357565,-0.141695,-0.106978,-0.049930,0.572820,-0.018971,,-0.049557,-0.049445,0.171915,0.214323,0.617888,-0.013665,0.057553,0.039179,0.038743,0.617893,0.078305,-0.021003,-0.021003,0.615918,0.387779,0.389337,0.425470,0.437837,0.373354,0.373357,0.593007,0.015767,-0.045800,-0.002687,0.011469,-0.050198,-0.003262,-0.117248
bound_variance,-0.014700,-0.141736,0.197129,1.000000,0.186502,0.191295,-0.140138,0.021435,-0.014978,0.567499,0.032383,-0.094507,-0.100295,-0.142836,-0.036037,-0.101572,0.065103,0.028325,-0.054128,,-0.000333,-0.011867,-0.015825,0.322423,-0.102470,-0.545757,-0.062101,-0.097227,,-0.059837,0.051541,-0.155067,-0.034149,-0.290135,-0.091483,0.051067,0.253165,0.081529,-0.153049,0.432647,-0.060063,0.440091,-0.011270,-0.034321,-0.133716,0.095218,-0.006693,-0.014059,-0.036299,-0.036299,0.048799,,0.097037,0.045441,-0.059230,-0.101572,-0.013270,-0.014993,-0.551098,-0.022490,-0.091576,0.456622,-0.223140,0.172199,-0.102255,-0.003201,-0.038103,,-0.101316,-0.101097,-0.164208,0.291088,0.051396,-0.551142,0.352612,0.036209,0.070428,0.051382,-0.110332,-0.057719,-0.057719,-0.026438,-0.141857,-0.141088,-0.131694,-0.124640,-0.154161,-0.154154,-0.007281,0.049643,-0.052492,-0.023998,0.083792,0.018773,0.018603,0.045441
capacity_density,0.525952,0.127358,0.239831,0.186502,1.000000,0.994010,0.277347,0.372058,0.527046,0.288256,0.351428,-0.015870,-0.017005,-0.026177,0.379726,0.178941,-0.126297,0.259794,0.104955,,0.490012,0.493032,0.385383,0.899993,0.178764,-0.000526,0.121212,0.276326,,0.115306,0.479653,0.033445,0.065940,-0.026690,-0.023967,0.479859,0.315159,0.445288,0.232347,0.250200,0.115362,-0.005822,0.028717,0.077639,0.266256,-0.033028,0.022619,0.069451,0.065243,0.065243,0.479739,,0.049135,0.060507,0.103304,0.178941,0.025934,0.526984,-0.000175,0.043987,0.171250,0.457951,0.021313,0.321884,0.178444,0.489951,0.061668,,0.174643,0.174315,-0.319340,0.957428,0.479935,-0.000481,-0.011338,-0.007463,-0.007630,0.479966,0.222614,0.106262,0.106262,0.386241,-0.042885,-0.042213,-0.043298,-0.043597,-0.047566,-0.047654,0.485073,-0.022341,0.016181,-0.020800,-0.063356,0.015622,-0.064654,0.060507
capacity_ratio,0.528886,0.128112,0.240892,0.191295,0.994010,1.000000,0.279766,0.373984,0.528708,0.287850,0.353042,-0.016263,-0.017435,-0.025578,0.381310,0.179487,-0.127131,0.266603,0.105801,,0.493028,0.495997,0.387149,0.907824,0.179221,0.000303,0.121262,0.277745,,0.116088,0.482179,0.033052,0.066404,-0.038871,-0.048545,0.482384,0.317141,0.447869,0.233460,0.247702,0.116132,0.001919,-0.005087,-0.009898,0.267667,0.008492,-0.006228,-0.008390,0.065660,0.065660,0.482262,,0.040128,0.041515,0.103607,0.179487,0.026068,0.528651,0.000342,0.044199,0.171869,0.464672,0.021073,0.317688,0.178914,0.492990,0.060518,,0.174981,0.174668,-0.322550,0.967040,0.482460,0.000174,-0.006525,-0.013805,-0.014502,0.482491,0.223773,0.106621,0.106621,0.387957,-0.044128,-0.044155,-0.044103,-0.044441,-0.048475,-0.048553,0.487932,0.000540,0.017732,0.003039,0.003937,0.020660,0.007880,0.041515
capacity_utilization,0.264774,0.102715,0.127902,-0.140138,0.277347,0.279766,1.000000,0.194600,0.264659,-0.248291,0.181714,0.061454,0.066882,0.104377,0.201500,0.089703,-0.061711,0.377506,0.051815,,0.261889,0.265395,0.201291,0.027567,0.089678,0.287438,0.063765,0.307309,,0.057171,0.244702,0.277431,0.032749,0.330926,0.244293,0.245300,0.163411,0.224980,0.292923,-0.164972,0.057289,-0.209431,-0.015043,-0.073933,0.294268,-0.033675,-0.005223,-0.062111,0.032390,0.032390,0.245708,,-0.277299,-0.260083,0.051965,0.089703,0.013902,0.264729,0.289992,0.023575,0.084835,0.208364,0.024406,-0.324639,0.089563,0.264732,0.026979,,0.087687,0.087573,0.247193,0.183005,0.245530,0.290825,-0.120437,0.130438,0.097337,0.245488,0.118229,0.053092,0.053092,0.202979,0.314001,0.313453,0.325609,0.326449,0.341859,0.342389,0.268478,0.062695,-0.127516,0.020093,0.091918,-0.170430,0.067444,-0.260083
cell_value_variance,0.930548,0.303232,0.664440,0.021435,0.372058,0.373984,0.194600,1.000000,0.930293,0.162192,0.981246,0.389755,0.394256,0.380361,0.931537,0.481957,-0.349817,0.158611,0.287465,,0.947700,0.937334,0.979474,0.332953,0.481430,-0.090972,0.233213,0.768766,,0.304208,0.963834,0.635585,0.174836,0.132463,0.183994,0.963883,0.607718,0.942096,0.790699,0.157021,0.305080,0.051458,0.002372,0.000684,0.814340,-0.017663,0.008392,0.002739,0.168050,0.168050,0.964130,,-0.169329,-0.184362,0.275142,0.481957,0.059423,0.930284,-0.091201,0.101953,0.466532,0.162726,-0.193195,0.108749,0.481711,0.947732,0.066707,,0.470270,0.470637,0.272515,0.368290,0.963866,-0.090560,0.124318,0.051261,0.059585,0.963868,0.413781,0.274796,0.274796,0.964699,0.612037,0.612102,0.577457,0.583426,0.588318,0.588364,0.949183,0.011285,-0.077138,-0.008778,0.018959,-0.079219,-0.001047,-0.184362
cells_allocated,0.999680,0.303801,0.594525,-0.014978,0.527046,0.528708,0.264659,0.930293,1.000000,0.141441,0.874910,0.271298,0.282767,0.318750,0.951331,0.459738,-0.315507,0.218197,0.266790,,0.985411,0.983654,0.959910,0.448030,0.459207,-0.000571,0.320083,0.802740,,0.291924,0.956178,0.627293,0.167700,0.216819,0.226016,0.956319,0.600910,0.890869,0.810809,0.162335,0.293270,-0.006075,0.005559,0.008086,0.837521,-0.027091,0.011652,0.010599,0.163489,0.163489,0.956725,,-0.204871,-0.224760,0.264501,0.459738,0.073394,1.000000,-0.000841,0.125384,0.436257,0.245881,-0.164913,0.079379,0.459204,0.986289,0.087100,,0.448527,0.448582,0.221004,0.495961,0.956319,0.000076,0.055654,0.068241,0.073608,0.956321,0.558449,0.266661,0.266661,0.964223,0.598541,0.598902,0.587812,0.588450,0.593970,0.593820,0.991729,0.015070,-0.084137,-0.003208,0.017552,-0.096938,-0.007825,-0.224760
dp_mean_improvement_amount,0.141372,0.036026,0.105370,0.567499,0.288256,0.287850,-0.248291,0.162192,0.141441,1.000000,0.191346,0.288204,0.288234,0.259158,0.082404,0.125209,-0.097049,0.062835,0.071365,,0.174101,0.157318,0.119922,0.420511,0.127137,-0.888069,-0.047946,-0.063368,,0.071208,0.256523,0.006461,0.039958,-0.348068,-0.023587,0.255551,0.135854,0.296670,0.004480,0.930346,0.070474,0.591126,0.034523,0.018291,0.009922,0.089081,0.045764,0.023073,0.046341,0.046341,0.253017,,0.053349,0.017603,0.071151,0.125209,-0.004877,0.141424,-0.887897,-0.008076,0.114668,0.155114,-0.355967,0.413071,0.126489,0.169448,0.080306,,0.126689,0.126003,-0.151810,0.382351,0.255566,-0.888212,0.574590,-0.024810,0.012846,0.255556,-0.071635,0.068418,0.068418,0.102732,-0.066754,-0.065613,-0.131901,-0.116749,-0.071412,-0.070948,0.161774,-0.033069,-0.057775,-0.078584,-0.001536,0.029594,-0.020532,0.017603
