column,category,n,q1,q3,iqr,lower_fence,upper_fence,outlier_count,outlier_pct
median_ratio,instance_characteristic,18000,0.990396,1.013266,0.022870,0.956090,1.047572,4878,27.10
dp_sum_improvement_amount,dp_metric,18000,913357.000000,1033876466.000000,1032963109.000000,-1548531306.500000,2583321129.500000,3549,19.72
nodes_explored,benchmark_outcome,18000,0.000000,182.000000,182.000000,-273.000000,455.000000,3516,19.53
nodes_pruned,benchmark_outcome,18000,0.000000,9.000000,9.000000,-13.500000,22.500000,3356,18.64
bound_gap_variance,bb_metric,18000,50772.592400,24666584.469900,24615811.877500,-36872945.223850,61590302.286150,3312,18.40
tie_count,dp_metric,18000,122.000000,29704.000000,29582.000000,-44251.000000,74077.000000,3300,18.33
duplicate_pairs,instance_characteristic,18000,0.000000,4.000000,4.000000,-6.000000,10.000000,3282,18.23
max_queue_size,benchmark_outcome,18000,0.000000,21.000000,21.000000,-31.500000,52.500000,3165,17.58
skipped_infeasible,bb_metric,18000,81.000000,1755.000000,1674.000000,-2430.000000,4266.000000,3123,17.35
right_branches,bb_metric,18000,120.000000,1981.000000,1861.000000,-2671.500000,4772.500000,3117,17.32
internal_nodes,bb_metric,18000,135.000000,2088.000000,1953.000000,-2794.500000,5017.500000,3108,17.27
skipped_children,bb_metric,18000,94.000000,1887.000000,1793.000000,-2595.500000,4576.500000,3105,17.25
explored_children,bb_metric,18000,162.000000,2385.000000,2223.000000,-3172.500000,5719.500000,3057,16.98
nodes_generated,bb_metric,18000,163.000000,2386.000000,2223.000000,-3171.500000,5720.500000,3057,16.98
duplicate_items,instance_characteristic,18000,0.000000,5.000000,5.000000,-7.500000,12.500000,3054,16.97
cell_value_variance,dp_metric,18000,206150.452900,172981009.283700,172774858.830800,-258956137.793300,432143297.529900,3042,16.90
pruned_by_bound,bb_metric,18000,9.000000,118.000000,109.000000,-154.500000,281.500000,3027,16.82
improvement_count,bb_metric,18000,12.000000,98.000000,86.000000,-117.000000,227.000000,3003,16.68
average_fillable_items,instance_characteristic,18000,1.998281,99.998844,98.000562,-145.002562,246.999687,3000,16.67
capacity,identifier,18000,1000.000000,43247.000000,42247.000000,-62370.500000,106617.500000,3000,16.67
