column,category,n,mean,std,min,p25,p50,p75,max,skew,kurtosis,n_nonzero,n_zero
average_fillable_items,instance_characteristic,18000,78.920848,144.631818,1.395868,1.998281,9.998188,99.998844,500.000000,2.105425,3.196295,18000,0
avg_branching_factor,bb_metric,18000,0.997212,0.034937,0.000000,0.993865,0.998264,0.999581,1.927723,7.419588,348.604672,17997,3
bound_gap_variance,bb_metric,18000,459827883.136374,1889253282.791060,0.000000,50772.592400,1604495.632200,24666584.469900,16970378250.871700,5.646107,34.703578,17997,3
bound_variance,bb_metric,18000,10346.205367,20348.228079,-59.866900,3.411000,217.548900,10153.823000,157405.355200,2.541820,7.003289,17997,3
capacity,identifier,18000,39499.203667,72419.091561,1000.000000,1000.000000,2759.000000,43247.000000,265810.000000,2.106317,3.204134,18000,0
capacity_density,dp_metric,18000,132.466054,119.108830,1.000000,10.000000,137.950000,250.215000,358.200000,0.005849,-1.920642,18000,0
capacity_ratio,instance_characteristic,18000,0.264817,0.236489,0.001881,0.017294,0.499909,0.499999,0.500000,-0.030507,-1.965109,18000,0
capacity_utilization,greedy_metric,18000,0.978588,0.040315,0.607000,0.977000,0.995000,0.999446,1.000000,-3.487679,15.534016,18000,0
cell_value_variance,dp_metric,18000,785318060.079060,2063309047.357954,88112.381800,206150.452900,11229478.707600,172981009.283700,10870990320.537100,3.088377,8.839641,18000,0
cells_allocated,dp_metric,18000,39500.203667,72419.091561,1001.000000,1001.000000,2760.000000,43248.000000,265811.000000,2.106317,3.204134,18000,0
dp_mean_improvement_amount,dp_metric,18000,278.861504,179.179545,12.639900,102.613100,252.958700,429.220400,784.729700,0.245745,-1.037499,18000,0
dp_sum_improvement_amount,dp_metric,18000,5559213003.678333,15647203394.547709,435122.000000,913357.000000,16605109.000000,1033876466.000000,88934158599.000000,3.656232,13.753922,18000,0
duplicate_items,instance_characteristic,18000,19.690667,68.189940,0.000000,0.000000,0.000000,5.000000,400.000000,4.560508,20.251774,8100,9900
duplicate_pairs,instance_characteristic,18000,15.481000,49.697701,0.000000,0.000000,0.000000,4.000000,281.000000,4.326524,18.446594,8100,9900
duplicate_ratio_fraction,instance_characteristic,18000,0.042899,0.077068,0.000000,0.000000,0.010000,0.052000,0.400000,2.886384,8.721678,10908,7092
exclude_count,dp_metric,18000,10076189.480667,25906379.487767,2258.000000,35973.000000,218862.000000,2407315.000000,115719604.000000,2.871675,7.023217,18000,0
explored_children,bb_metric,18000,2034965.056333,9977022.083598,0.000000,162.000000,575.000000,2385.000000,96386148.000000,5.174800,26.154418,17997,3
explored_generated_ratio,bb_metric,18000,0.997418,0.019956,0.518747,1.000000,1.000000,1.000000,1.000000,-13.514263,242.559729,18000,0
fill_rate,dp_metric,18000,0.991908,0.019321,0.652348,0.993007,0.998792,0.999864,0.999996,-5.724834,50.534780,18000,0
final_queue_size,bb_metric,18000,158247.741167,1472836.929496,0.000000,0.000000,0.000000,0.000000,46386149.000000,19.034864,451.836397,582,17418
first_improvement_node,bb_metric,18000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,18000,0
first_skipped_position,greedy_metric,18000,99.357333,171.055145,1.000000,9.000000,25.000000,89.000000,719.000000,2.234549,3.985344,18000,0
improvement_count,bb_metric,18000,104.361667,175.049635,1.000000,12.000000,28.000000,98.000000,733.000000,2.215224,3.892888,18000,0
include_count,dp_metric,18000,16644582.345333,42709668.868876,2139.000000,12573.000000,50666.000000,4774819.000000,181705979.000000,2.783032,6.307401,18000,0
include_ratio,dp_metric,18000,0.425949,0.224109,0.021036,0.201718,0.525500,0.627762,0.821652,-0.346653,-1.435017,18000,0
instance_id,identifier,18000,1499.500000,866.049413,0.000000,750.000000,1500.000000,2250.000000,2999.000000,0.000000,-1.200200,17994,6
internal_nodes,bb_metric,18000,1859013.546167,9024230.976373,1.000000,135.000000,507.000000,2088.000000,50000000.000000,5.010419,23.524328,18000,0
kendall_corr,instance_characteristic,18000,0.362245,0.773013,-1.000000,-0.032128,0.874442,0.943744,1.000000,-0.866238,-0.868047,17970,30
last_improvement_node,bb_metric,18000,590811.058667,4836433.752486,1.000000,35.000000,156.000000,775.000000,49973262.000000,8.942208,80.196127,18000,0
last_selected_position,greedy_metric,18000,157.758667,233.280972,0.000000,16.000000,45.000000,188.000000,999.000000,1.954375,3.062758,17970,30
leaf_nodes,bb_metric,18000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0,18000
left_branches,bb_metric,18000,184126.640667,1547849.956769,0.000000,26.000000,74.000000,373.000000,46386149.000000,17.564176,389.264306,17997,3
max_bound,bb_metric,18000,55189.882327,98529.931432,1018.173600,1686.605300,12468.054100,48971.382200,478936.194900,2.457730,5.643373,18000,0
max_depth,bb_metric,18000,239.816333,276.523786,0.000000,48.000000,99.000000,438.000000,999.000000,1.452092,1.078701,17997,3
max_queue_size,benchmark_outcome,18000,60820.302611,896471.637604,0.000000,0.000000,0.000000,21.000000,46386150.000000,30.527733,1175.626912,6000,12000
max_value,instance_characteristic,18000,1010.766333,47.013784,743.000000,993.000000,1000.000000,1046.000000,1100.000000,-0.550218,2.359625,18000,0
max_weight,instance_characteristic,18000,986.445667,25.970365,750.000000,986.000000,997.000000,999.000000,1000.000000,-3.758439,18.119983,18000,0
mean_bound,bb_metric,18000,55107.240619,98535.946150,1012.620000,1672.069500,12324.468000,48886.539200,478840.509700,2.457784,5.642179,18000,0
mean_bound_gap,bb_metric,18000,3801.075381,11083.878037,1.492400,45.088400,288.092300,1512.579200,95167.121000,4.542858,23.044273,18000,0
mean_cell_value,dp_metric,18000,34116.265721,65283.815475,434.687300,912.444600,6976.397600,27559.949200,362743.497800,2.976148,9.400935,18000,0
mean_depth,bb_metric,18000,131.166089,171.138513,0.000000,21.263200,54.208300,174.882000,823.708500,2.000800,3.687849,17997,3
mean_improvement_amount,bb_metric,18000,459.629288,262.686615,24.537000,211.400000,509.751900,642.685000,1099.000000,0.051336,-0.866392,18000,0
mean_queue_size,bb_metric,18000,95917.815858,803000.797720,0.000000,14.343900,39.646400,198.855800,23224341.996700,17.420211,379.973580,17988,12
mean_ratio,instance_characteristic,18000,2.719757,3.640351,0.797942,1.013199,1.069055,3.509729,62.428954,6.693389,76.482327,18000,0
mean_value,instance_characteristic,18000,501.500512,36.400919,278.950000,486.880000,501.957000,517.200000,722.300000,-0.072101,4.367341,18000,0
mean_weight,instance_characteristic,18000,500.538518,36.275974,275.950000,486.028000,500.435000,515.475000,716.400000,-0.081029,4.627876,18000,0
median_depth,bb_metric,18000,131.269333,175.525903,0.000000,20.000000,52.000000,157.000000,824.000000,1.985223,3.421572,17997,3
median_ratio,instance_characteristic,18000,1.009901,0.137391,0.268697,0.990396,1.005721,1.013266,2.929584,3.441110,35.148920,18000,0
median_value,instance_characteristic,18000,500.181667,59.859061,145.000000,474.500000,501.500000,526.000000,792.500000,-0.147989,3.485436,18000,0
median_weight,instance_characteristic,18000,500.117000,59.280417,130.000000,474.500000,500.000000,526.000000,789.000000,-0.067974,3.743747,18000,0
memory_bytes,benchmark_outcome,18000,2597042.215111,28123994.674944,0.000000,524288.000000,524288.000000,524288.000000,1206381352.000000,28.384936,1017.261048,17792,208
memory_mb,benchmark_outcome,18000,2.476724,26.821135,0.000000,0.500000,0.500000,0.500000,1150.495000,28.384936,1017.260961,17792,208
min_bound,bb_metric,18000,54821.295197,98491.200897,991.098000,1610.085500,12101.582000,48651.274400,478829.753100,2.458924,5.644702,18000,0
min_depth,bb_metric,18000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0,18000
min_value,instance_characteristic,18000,14.241000,26.721887,1.000000,1.000000,4.000000,14.000000,318.000000,4.182680,24.618071,18000,0
min_weight,instance_characteristic,18000,14.347667,25.461058,1.000000,2.000000,5.000000,15.000000,348.000000,4.279454,28.057367,18000,0
n,identifier,18000,311.666667,346.439831,20.000000,50.000000,200.000000,500.000000,1000.000000,1.119173,-0.225085,18000,0
nodes_explored,benchmark_outcome,18000,637617.573778,5355748.602990,0.000000,0.000000,0.000000,182.000000,50000000.000000,8.875891,77.974732,6000,12000
nodes_generated,bb_metric,18000,2034966.056333,9977022.083598,1.000000,163.000000,576.000000,2386.000000,96386149.000000,5.174800,26.154418,18000,0
nodes_pruned,benchmark_outcome,18000,6054.759944,230654.667815,0.000000,0.000000,0.000000,9.000000,18881337.000000,57.184181,3824.760204,5630,12370
nonzero_value_states,dp_metric,18000,39485.856000,72424.818430,653.000000,996.000000,2744.000000,43247.000000,265806.000000,2.106222,3.203730,18000,0
pearson_corr,instance_characteristic,18000,0.395866,0.797415,-1.000000,-0.051208,0.980770,0.994073,0.999977,-0.852546,-0.917221,18000,0
pruned_by_bound,bb_metric,18000,17704.769000,397883.950891,0.000000,9.000000,29.000000,118.000000,18881337.000000,33.243927,1288.854052,17034,966
pruned_by_cap,bb_metric,18000,0.032333,0.176889,0.000000,0.000000,0.000000,0.000000,1.000000,5.287399,25.958031,582,17418
pruned_generated_ratio,bb_metric,18000,0.132311,0.140477,0.000000,0.016570,0.074890,0.215415,0.499298,1.020105,-0.146343,17007,993
ratio_entropy,instance_characteristic,18000,1.182950,1.001367,0.014427,0.278987,0.858818,2.004446,2.988238,0.584392,-1.118493,18000,0
residual_capacity,greedy_metric,18000,73.116833,126.355462,0.000000,5.000000,23.000000,78.000000,756.000000,2.891047,8.728294,16767,1233
right_branches,bb_metric,18000,1850838.415667,9004625.890972,0.000000,120.000000,476.000000,1981.000000,49999999.000000,5.020058,23.619107,17997,3
seed,identifier,18000,42.000000,0.000000,42.000000,42.000000,42.000000,42.000000,42.000000,,,18000,0
selected_count,greedy_metric,18000,100.935500,171.302854,1.000000,11.000000,27.000000,93.000000,719.000000,2.229437,3.950311,18000,0
skipped_by_bound,bb_metric,18000,8175.519833,103654.178854,1.000000,5.000000,20.000000,82.000000,3883007.000000,23.683275,681.047470,18000,0
skipped_by_cap,bb_metric,18000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0,18000
skipped_children,bb_metric,18000,1683062.036000,8251830.362284,2.000000,94.000000,397.000000,1887.000000,49642951.000000,5.111262,24.681838,18000,0
skipped_infeasible,bb_metric,18000,1674886.516167,8230689.577920,0.000000,81.000000,348.000000,1755.000000,49584588.000000,5.121098,24.780115,17904,96
slack,instance_characteristic,18000,116498.126000,142455.388697,2760.000000,16091.000000,49596.000000,226066.000000,530621.000000,1.588710,1.617248,18000,0
solution_density,greedy_metric,18000,0.356146,0.258924,0.004000,0.085000,0.450000,0.620000,0.750000,-0.012813,-1.721847,18000,0
solution_value,benchmark_outcome,18000,55099.208056,98542.257389,637.000000,1659.000000,12299.000000,48940.000000,478745.000000,2.457455,5.640173,18000,0
spearman_corr,instance_characteristic,18000,0.394384,0.796647,-1.000000,-0.050139,0.979795,0.994148,1.000000,-0.851809,-0.917954,18000,0
std_ratio,instance_characteristic,18000,9.441299,19.317015,0.004488,0.062712,0.668843,10.511684,219.342986,4.260493,28.796578,18000,0
std_value,instance_characteristic,18000,287.168055,16.834586,186.465674,280.964770,288.557984,295.073642,384.879189,-0.760412,4.488214,18000,0
std_weight,instance_characteristic,18000,285.850411,16.634467,153.385006,279.725977,287.558327,293.557858,378.337610,-0.942771,5.763134,18000,0
sum_improvement_amount,bb_metric,18000,55110.167500,98539.627267,986.000000,1665.000000,12312.000000,48967.000000,478745.000000,2.457476,5.640304,18000,0
tie_count,dp_metric,18000,452368.274333,2003800.322155,0.000000,122.000000,1331.000000,29704.000000,16713389.000000,6.043257,38.307708,15834,2166
time_millis,benchmark_outcome,18000,128.773587,1092.948017,0.001000,0.024000,0.114000,0.520000,18194.606000,9.402141,91.571835,18000,0
time_nanos,benchmark_outcome,18000,128773589.922667,1092948014.620633,652.000000,24183.000000,114046.000000,519966.000000,18194606417.000000,9.402141,91.571835,18000,0
