algorithm,dataset_type,n,capacity,instance_id,seed,time_nanos,time_millis,memory_bytes,memory_mb,solution_value,optimal_value,optimality_gap,nodes_explored,nodes_pruned,max_queue_size,optimal,capacity_mode
Greedy,Uncorrelated,20,1000,0,42,5858,0.006,524288,0.500,2339,,,0,0,0,false,fixed
Greedy,Uncorrelated,20,1000,1,42,3357,0.003,524288,0.500,3417,,,0,0,0,false,fixed
Greedy,Uncorrelated,20,1000,2,42,4478,0.004,524288,0.500,2658,,,0,0,0,false,fixed
Greedy,Uncorrelated,20,1000,3,42,4166,0.004,524288,0.500,2443,,,0,0,0,false,fixed
Greedy,Uncorrelated,20,1000,4,42,3489,0.003,524288,0.500,3100,,,0,0,0,false,fixed
Greedy,Uncorrelated,20,1000,5,42,4285,0.004,524288,0.500,3213,,,0,0,0,false,fixed
Greedy,Uncorrelated,20,1000,6,42,3952,0.004,524288,0.500,3338,,,0,0,0,false,fixed
Greedy,Uncorrelated,20,1000,7,42,3749,0.004,524288,0.500,2114,,,0,0,0,false,fixed
Greedy,Uncorrelated,20,1000,8,42,2860,0.003,524288,0.500,2585,,,0,0,0,false,fixed
Greedy,Uncorrelated,20,1000,9,42,5016,0.005,524288,0.500,2237,,,0,0,0,false,fixed
Greedy,Uncorrelated,20,1000,10,42,3952,0.004,524288,0.500,3837,,,0,0,0,false,fixed
Greedy,Uncorrelated,20,1000,11,42,3134,0.003,524288,0.500,3065,,,0,0,0,false,fixed
Greedy,Uncorrelated,20,1000,12,42,3052,0.003,524288,0.500,3178,,,0,0,0,false,fixed
Greedy,Uncorrelated,20,1000,13,42,3526,0.004,524288,0.500,3053,,,0,0,0,false,fixed
Greedy,Uncorrelated,20,1000,14,42,3667,0.004,524288,0.500,4520,,,0,0,0,false,fixed
Greedy,Uncorrelated,20,1000,15,42,3422,0.003,524288,0.500,2146,,,0,0,0,false,fixed
Greedy,Uncorrelated,20,1000,16,42,3999,0.004,524288,0.500,3109,,,0,0,0,false,fixed
Greedy,Uncorrelated,20,1000,17,42,2822,0.003,524288,0.500,4228,,,0,0,0,false,fixed
Greedy,Uncorrelated,20,1000,18,42,3760,0.004,524288,0.500,4648,,,0,0,0,false,fixed
Greedy,Uncorrelated,20,1000,19,42,3425,0.003,524288,0.500,2198,,,0,0,0,false,fixed
Greedy,Uncorrelated,20,1000,20,42,3038,0.003,524288,0.500,3402,,,0,0,0,false,fixed
Greedy,Uncorrelated,20,1000,21,42,2714,0.003,524288,0.500,2530,,,0,0,0,false,fixed
Greedy,Uncorrelated,20,1000,22,42,3209,0.003,524288,0.500,4394,,,0,0,0,false,fixed
Greedy,Uncorrelated,20,1000,23,42,3221,0.003,524288,0.500,4186,,,0,0,0,false,fixed
Greedy,Uncorrelated,20,1000,24,42,2674,0.003,524288,0.500,2781,,,0,0,0,false,fixed
Greedy,Uncorrelated,20,1000,25,42,3285,0.003,524288,0.500,4627,,,0,0,0,false,fixed
Greedy,Uncorrelated,20,1000,26,42,3935,0.004,524288,0.500,2617,,,0,0,0,false,fixed
Greedy,Uncorrelated,20,1000,27,42,3091,0.003,524288,0.500,2744,,,0,0,0,false,fixed
Greedy,Uncorrelated,20,1000,28,42,2609,0.003,524288,0.500,3538,,,0,0,0,false,fixed
Greedy,Uncorrelated,20,1000,29,42,3420,0.003,524288,0.500,3694,,,0,0,0,false,fixed
Greedy,Uncorrelated,20,1000,30,42,3246,0.003,524288,0.500,3503,,,0,0,0,false,fixed
Greedy,Uncorrelated,20,1000,31,42,3229,0.003,524288,0.500,2047,,,0,0,0,false,fixed
Greedy,Uncorrelated,20,1000,32,42,2779,0.003,524288,0.500,3364,,,0,0,0,false,fixed
Greedy,Uncorrelated,20,1000,33,42,3197,0.003,524288,0.500,4849,,,0,0,0,false,fixed
Greedy,Uncorrelated,20,1000,34,42,3822,0.004,524288,0.500,2785,,,0,0,0,false,fixed
Greedy,Uncorrelated,20,1000,35,42,3216,0.003,524288,0.500,5533,,,0,0,0,false,fixed
Greedy,Uncorrelated,20,1000,36,42,3007,0.003,524288,0.500,3449,,,0,0,0,false,fixed
Greedy,Uncorrelated,20,1000,37,42,3156,0.003,524288,0.500,2580,,,0,0,0,false,fixed
