predictor,coefficient,se,t_stat,p_value,ci_lower,ci_upper
const,-105.2697414733213,65.59020055052898,-1.60496142090958,0.108607584620526,-233.87607609051435,23.336593143871752
total_weight,-228.23396139381725,894.4307245545341,-0.25517231813284125,0.7986075078826018,-1981.9937622247837,1525.5258394371492
total_value,12.78891304921677,8.451247372309526,1.5132574501510376,0.13031964746834684,-3.781915189959072,29.359741288392613
mean_weight,-0.003694871690497911,0.005233117473309045,-0.7060555604461792,0.480208429689069,-0.0139557346123149,0.006565991231319077
mean_value,-0.01811646556195623,0.011821207803979484,-1.532539302443995,0.12549488270108042,-0.04129496164304038,0.005062030519127923
median_weight,0.0004799020992103025,0.0006937860137421827,0.6917148655415798,0.48916995444831146,-0.000880442517624934,0.0018402467160455389
median_value,0.0004659524345409393,0.000466466318082768,0.9988983480223378,0.3179245247364076,-0.0004486738798699664,0.001380578748951845
std_weight,-0.018071364688515473,0.009200273908573165,-1.964220290406342,0.04959677252433078,-0.03611085069289618,-3.187868413476874e-05
std_value,-0.010254545965328458,0.009006247276474087,-1.1386036437301859,0.25495945215249005,-0.027913593218753405,0.007404501288096487
min_weight,-0.0021124163746781663,0.0007988391316399163,-2.644357657269044,0.008227267338340194,-0.003678744451230487,-0.0005460882981258458
max_weight,0.0007126945054454466,0.0009691948712293569,0.7353469633423078,0.4621857144980854,-0.0011876594936640252,0.0026130485045549184
min_value,0.00017985604745320211,0.0007685068278469553,0.23403311582420921,0.8149752442320697,-0.0013269978030933187,0.001686709897999723
max_value,-0.0007617178667069118,0.0009153810426243548,-0.8321320097727851,0.40540069032432824,-0.0025565561151323227,0.001033120381718499
weight_cv,6.84276867721242,4.020448535678516,1.7019913615328972,0.08886062933240967,-1.0403471747104494,14.72588452913529
value_cv,6.892372494021559,4.8465813159909965,1.422110152424473,0.15509826717507832,-2.6105876012688833,16.395332589312
weight_skewness,0.2344170816885093,0.20883885603826913,1.1224782884539122,0.26174898988042117,-0.17506481614527988,0.6438989795222985
value_skewness,0.1330594249993703,0.17557209841803023,0.7578620190695736,0.4485931350518468,-0.21119450087782154,0.4773133508765621
weight_kurtosis,-0.3857770022959953,0.19061133445404888,-2.0238932978510547,0.043069631771785986,-0.759519190227595,-0.012034814364395685
value_kurtosis,0.410953559911146,0.21436650568799753,1.917060496891588,0.05532516090341313,-0.009366706376051526,0.8312738261983436
capacity_ratio,-107.40463226512037,87.74614136133457,-1.224038238021579,0.22103395405070497,-279.4533456790986,64.64408114885788
slack,-95.2847958513504,79.4483126012541,-1.1993306431765085,0.23049415109159485,-251.06349738614603,60.493905683445234
average_fillable_items,-329.2363911428281,885.138367190486,-0.3719603661378457,0.7099486380493316,-2064.7761528442807,1406.3033705586245
pearson_corr,0.16088522966725188,0.1689437109134481,0.9523007917688947,0.341021199545207,-0.17037205015257645,0.4921425094870802
spearman_corr,-0.07007606562335458,0.12612559675597393,-0.5556054236868095,0.5785220660849542,-0.3173775003505751,0.1772253691038659
kendall_corr,0.008456312733002114,0.04742722720003508,0.17830080382594787,0.8584987903494322,-0.08453687527462567,0.10144950074062989
mean_ratio,0.02578527244619177,0.016935781964627493,1.5225321452559764,0.1279812269810787,-0.007421652125853023,0.05899219701823656
median_ratio,-0.11437530596778914,0.1615340931499086,-0.7080567559298169,0.47896503756207937,-0.43110413834447925,0.20235352640890095
std_ratio,-0.005345592373862108,0.0036597382951784477,-1.4606488067479313,0.14421659729047626,-0.01252144370303264,0.0018302589553084248
