predictor,se_standard,se_robust,ratio_std_robust
const,242.3478993577774,242.3478993577774,1.0
total_weight,35808.78008690476,35808.78008690476,1.0
total_value,44.79154126019661,44.79154126019661,1.0
mean_weight,0.0773460828632039,0.0773460828632039,1.0
mean_value,0.07092434820919546,0.07092434820919546,1.0
median_weight,0.006441363418157213,0.006441363418157213,1.0
median_value,0.006124785813765151,0.006124785813765151,1.0
std_weight,0.061131553733205744,0.061131553733205744,1.0
std_value,0.06372375021528316,0.06372375021528316,1.0
min_weight,0.01009766847918438,0.01009766847918438,1.0
max_weight,0.008587433797796099,0.008587433797796099,1.0
min_value,0.00891895364058341,0.00891895364058341,1.0
max_value,0.007010602823842225,0.007010602823842225,1.0
weight_cv,29.166402956491627,29.166402956491627,1.0
value_cv,29.53133970167875,29.53133970167875,1.0
weight_skewness,1.8670253779743078,1.8670253779743078,1.0
value_skewness,1.8419532846175177,1.8419532846175177,1.0
weight_kurtosis,1.421865138263556,1.421865138263556,1.0
value_kurtosis,1.5158191952212239,1.5158191952212239,1.0
capacity_ratio,929.1945249905217,929.1945249905217,1.0
slack,835.6154188757108,835.6154188757108,1.0
average_fillable_items,35814.40623193883,35814.40623193883,1.0
pearson_corr,1.4052957076114945,1.4052957076114945,1.0
spearman_corr,0.9174604410100664,0.9174604410100664,1.0
kendall_corr,0.5687023902768195,0.5687023902768195,1.0
mean_ratio,0.35136321734380005,0.35136321734380005,1.0
median_ratio,2.0352716846948256,2.0352716846948256,1.0
std_ratio,0.07277794342759718,0.07277794342759718,1.0
ratio_entropy,0.5098369815116782,0.5098369815116782,1.0
unique_ratio_count,95.15898640102591,95.15898640102591,1.0
duplicate_ratio_fraction,94.84710179280452,94.84710179280452,1.0
unique_weights,7.144467680654938,7.144467680654938,1.0
unique_values,7.526382903360353,7.526382903360353,1.0
unique_pairs,25.04451532148781,25.04451532148781,1.0
duplicate_items,3.931717527361038,3.931717527361038,1.0
duplicate_pairs,3.9294772873559873,3.9294772873559873,1.0
n,0.006758865200622856,0.006758865200622856,1.0
log_n,35812.99513057167,35812.99513057167,1.0
cap_mode,122.84758501441394,122.84758501441394,1.0
WeaklyCorrelated,2.9258143610989356,2.9258143610989356,1.0
StronglyCorrelated,6.263127898984451,6.263127898984451,1.0
InverseCorrelated,6.448410219255982,6.448410219255982,1.0
AlmostEqualRatios,3.6073144668024715,3.6073144668024715,1.0
total_evaluations,7.625476762335457,7.625476762335457,1.0
exclude_count,6.206155690385775,6.206155690385775,1.0
tie_count,0.021443680751848306,0.021443680751848306,1.0
include_ratio,16.258101384674806,16.258101384674806,1.0
zero_value_states,0.39298466022276574,0.39298466022276574,1.0
mean_cell_value,8.267724966728388e-05,8.267724966728388e-05,1.0
dp_sum_improvement_amount,35815.920368991705,35815.920368991705,1.0
dp_mean_improvement_amount,35815.858427703264,35815.858427703264,1.0
updates_per_cell,35815.744423677796,35815.744423677796,1.0
