predictor,coefficient,se,t_stat,p_value,ci_lower,ci_upper
const,-1.0919251614005532e-12,0.012860230627496142,-8.490712126623413e-11,0.9999999999322567,-0.02521071900149182,0.02521071899930797
total_weight,-209.12093961297194,1352.1906584647402,-0.15465344203043463,0.8770997833853245,-2859.905339438114,2441.66346021217
total_value,11.727787392432896,7.7090657086760235,1.521298148909806,0.12823819074485107,-3.3847790122093837,26.840353797075174
mean_weight,-0.09226999003977385,0.33486609746877705,-0.27554294309646293,0.7829087099024908,-0.7487290637981999,0.5641890837186522
mean_value,-0.45397072050079396,0.33969734948673685,-1.336397593877955,0.18147047164365931,-1.1199008014730785,0.2119593604714906
median_weight,0.01958420405814608,0.04388872685476536,0.44622401836702313,0.6554516782942709,-0.0664536277716413,0.10562203588793345
median_value,0.01920054302543326,0.04150952220302775,0.4625575532168557,0.6436984601796452,-0.06217318427490997,0.10057427032577648
std_weight,-0.20693877580010367,0.1344964664933408,-1.5386186804420594,0.12395060806322847,-0.4706006588195753,0.05672310721936796
std_value,-0.11883952352476781,0.13642777397495054,-0.8710801331889202,0.38374555649114855,-0.3862874700786003,0.14860842302906466
min_weight,-0.037025249707916506,0.039777782137420656,-0.9308022649429033,0.35199363401059386,-0.11500413803216786,0.04095363861633484
max_weight,0.012741586195807116,0.028942066220738038,0.4402445249979184,0.6597760119519136,-0.04399536665649595,0.06947853904811017
min_value,0.003308523338141554,0.031188179964775867,0.10608260379022508,0.9155203907618973,-0.05783162756589806,0.06444867424218118
max_value,-0.024652523091610472,0.03601192537935899,-0.6845655385518653,0.4936447917743761,-0.09524896554274809,0.04594391935952715
weight_cv,0.24159459558212745,0.19692160328737465,1.226856736635238,0.21992500146710214,-0.14444320960090526,0.6276324007651601
value_cv,0.2510741773366928,0.19680980512173082,1.2757198615251835,0.2021043825787851,-0.1347444628701862,0.6368928175435717
weight_skewness,0.029731828448030736,0.04058954518686976,0.7324996698324334,0.4638925069983121,-0.04983841004149782,0.1093020669375593
value_skewness,0.016802327515402435,0.03858918913805218,0.4354154075456831,0.6632767277126629,-0.05884648719035149,0.09245114222115636
weight_kurtosis,-0.05016149983109511,0.03710887050745507,-1.3517387930472795,0.1765102910833634,-0.12290835281407499,0.02258535315188477
value_kurtosis,0.05329452610572233,0.03626717144701018,1.46949772974688,0.14175072516621826,-0.017802291266666923,0.12439134347811158
capacity_ratio,-17.485408066186807,18.15711467893763,-0.9630058726494685,0.3355837241543882,-53.07994204367399,18.109125911300374
slack,-91.00100001804492,96.837456131222,-0.9397293532239401,0.34739456429650617,-280.83755629395,98.83555625786016
average_fillable_items,-460.3102030617347,2024.661340495065,-0.22735170265521087,0.8201580863908506,-4429.381178900994,3508.7607727775253
pearson_corr,0.37500936377431965,0.6102866131396923,0.6144807303654248,0.5389212062569283,-0.8213738706503118,1.5713925981989512
spearman_corr,-0.1597026141752681,0.31289962045913283,-0.5103956787832746,0.609793223693285,-0.7730994213725613,0.45369419302202507
kendall_corr,0.016443804970478856,0.16902163128551717,0.09728816865281234,0.9225008293778807,-0.31489993020466633,0.3477875401456241
mean_ratio,0.06461851386111395,0.04647251198186348,1.390467420533071,0.16443900826333782,-0.026484474471964364,0.15572150219419226
median_ratio,-0.01081767225731206,0.031805292024000675,-0.3401217712181013,0.7337768373549904,-0.0731675867470537,0.05153224223242959
std_ratio,-0.07108498682739686,0.04653879673600096,-1.5274349964533511,0.12670605182846148,-0.16231791733328488,0.02014794367849114
ratio_entropy,0.026276416558675554,0.03616734509794654,0.7265232349102516,0.46754665818591323,-0.04462470494262268,0.09717753805997378
unique_ratio_count,-0.07999346464398593,5.744163399730227,-0.013926042676248173,0.9888894517487865,-11.340638281802722,11.18065135251475
duplicate_ratio_fraction,0.005369888425670377,0.3369212318853898,0.015938112287019798,0.9872842992049189,-0.655117994596448,0.6658577714477887
unique_weights,-0.18282836511562028,0.7743179624222952,-0.2361153608572881,0.8133512844288777,-1.7007725710191348,1.3351158407878945
unique_values,-0.941909082532262,0.769278422945145,-1.224405955552749,0.22084761577025808,-2.4499739622145027,0.5661557971499784
unique_pairs,0.41703984492040846,1.8878651865988618,0.22090552221673132,0.8251735798489279,-3.2838610260344963,4.117940715875314
duplicate_items,1.7887160047489359,2.796217360693405,0.6396913308289348,0.5223979293325692,-3.692884767927597,7.270316777425469
duplicate_pairs,-1.7714923780931902,2.7877653390216346,-0.635452472737499,0.5251578002158328,-7.236524121059112,3.6935393648727324
n,-0.040613374601269514,0.1452607855968084,-0.2795893911382085,0.779802268769162,-0.32537722942892444,0.2441504802263854
log_n,284.38579707525435,1322.9707774215346,0.2149599990632607,0.8298058751782503,-2309.1170320267047,2877.888626177213
cap_mode,-4.472767415422846,5.290392466772666,-0.8454509648414418,0.3978931072366452,-14.843856530766793,5.898321699921102
WeaklyCorrelated,-0.06848117973853687,0.15297766032126958,-0.4476547725643013,0.6544186694642127,-0.3683729094756605,0.2314105499985867
StronglyCorrelated,-0.08648965868618042,0.3240896820266959,-0.2668695224893216,0.7895788748734036,-0.7218230474229862,0.5488437300506254
InverseCorrelated,0.11758627368403435,0.3296631579752654,0.3566861229086959,0.7213394477183764,-0.5286731505232745,0.7638456978913433
AlmostEqualRatios,-0.08442775914762371,0.1897637442115776,-0.4449098509222644,0.6564010925318776,-0.4564335629590359,0.28757804466378856
total_evaluations,-1.3760093341104098,1.6693376834649005,-0.8242845936685175,0.40981092232596644,-4.648516995413993,1.8964983271931732
exclude_count,1.8986203404144737,1.1476932784046856,1.6542924630991918,0.09812086767679831,-0.3512749825080257,4.148515663336973
tie_count,-0.04145428920107157,0.02474143929771247,-1.675500309511271,0.09388867198963537,-0.08995648887908178,0.007047910476938639
include_ratio,0.40125402676313837,0.2743055908604826,1.4627993017000673,0.14357514020880355,-0.1364844766690283,0.938992530195305
fill_rate,-0.012314996684663324,0.03149060599306591,-0.3910689012264493,0.6957603141288781,-0.07404801235438808,0.04941801898506143
mean_cell_value,0.04109102680066888,0.05230651743623836,0.7855813924289423,0.43214406046701204,-0.0614487293803031,0.14363078298164086
dp_sum_improvement_amount,864.1411829328847,3801.6398683051616,0.2273074812102426,0.8201924683802884,-6588.4525719287985,8316.734937794568
dp_mean_improvement_amount,-211.93020649589585,932.4345219792539,-0.22728695849445518,0.8202084248238456,-2039.8402495421453,1615.9798365503536
updates_per_cell,-327.3074563018396,1439.1159198600733,-0.2274364780383112,0.8200921748500113,-3148.496913590614,2493.882000986935
