predictor,r2_full,r2_without,delta_r2,rank_by_perm_importance
bound_gap_variance,0.9795223141222497,0.9778413650775828,0.0016809490446668685,2
sum_improvement_amount,0.9795223141222497,0.9784762734032564,0.0010460407189932797,3
left_branches,0.9795223141222497,0.9793792834890923,0.00014303063315734832,9
max_depth,0.9795223141222497,0.9794270837669954,9.523035525427215e-05,10
skipped_children,0.9795223141222497,0.9794616758524041,6.063826984559206e-05,8
final_queue_size,0.9795223141222497,0.979481975137492,4.033898475763742e-05,5
pruned_by_cap,0.9795223141222497,0.9794840674446984,3.824667755125688e-05,4
right_branches,0.9795223141222497,0.9794908946029183,3.14195193313882e-05,7
cap_mode,0.9795223141222497,0.9795164700148979,5.844107351715699e-06,1
explored_children,0.9795223141222497,0.9795216055478899,7.085743597423644e-07,6
