predictor,r2_full,r2_without,delta_r2,rank_by_perm_importance
zero_value_states,0.9997184430300209,0.8952574361307183,0.1044610068993026,4
total_evaluations,0.9997184430300209,0.9997034112817137,1.5031748307192672e-05,6
exclude_count,0.9997184430300209,0.9997119806889883,6.462341032631436e-06,7
include_ratio,0.9997184430300209,0.999712368393459,6.074636561881341e-06,8
updates_per_cell,0.9997184430300209,0.999716968662462,1.4743675589290461e-06,2
dp_sum_improvement_amount,0.9997184430300209,0.9997169687258224,1.4743041985010308e-06,1
dp_mean_improvement_amount,0.9997184430300209,0.9997169687986154,1.474231405507176e-06,3
AlmostEqualRatios,0.9997184430300209,0.9997173576796714,1.0853503494834271e-06,10
tie_count,0.9997184430300209,0.9997182121265759,2.3090344503096105e-07,9
cap_mode,0.9997184430300209,0.9997192681342228,-8.251042019624677e-07,5
