predictor,coefficient,abs_coefficient
max_value,-1.1333502572661393e-05,1.1333502572661393e-05
max_weight,-1.104777738652765e-05,1.104777738652765e-05
mean_value,-5.613917749541599e-06,5.613917749541599e-06
mean_weight,-5.603380232542873e-06,5.603380232542873e-06
median_value,-5.598970339960725e-06,5.598970339960725e-06
median_weight,-5.59797472155382e-06,5.59797472155382e-06
mean_improvement_amount,-5.060311128293023e-06,5.060311128293023e-06
std_value,-3.208191065581633e-06,3.208191065581633e-06
std_weight,-3.1925577940680457e-06,3.1925577940680457e-06
n,-3.109574165024845e-06,3.109574165024845e-06
max_depth,-2.33581062586317e-06,2.33581062586317e-06
median_depth,-1.1466446026071288e-06,1.1466446026071288e-06
mean_depth,-1.1422694213965143e-06,1.1422694213965143e-06
improvement_count,-8.362525043539397e-07,8.362525043539397e-07
final_queue_size,2.2966737888668254e-07,2.2966737888668254e-07
min_weight,-1.5576474674813933e-07,1.5576474674813933e-07
min_value,-1.5383170699927806e-07,1.5383170699927806e-07
bound_gap_variance,-1.4680376499773418e-07,1.4680376499773418e-07
duplicate_pairs,1.1421167094636213e-07,1.1421167094636213e-07
duplicate_items,1.1400093258811993e-07,1.1400093258811993e-07
total_value,-1.1080932604211685e-07,1.1080932604211685e-07
total_weight,-1.1078833158855017e-07,1.1078833158855017e-07
slack,-1.0693610566036717e-07,1.0693610566036717e-07
sum_improvement_amount,-8.95739496611814e-08,8.95739496611814e-08
std_ratio,-8.031130452937148e-08,8.031130452937148e-08
nodes_generated,-5.822575470691964e-08,5.822575470691964e-08
explored_children,-5.811465563877981e-08,5.811465563877981e-08
internal_nodes,-5.63908278514176e-08,5.63908278514176e-08
right_branches,-5.531637868800939e-08,5.531637868800939e-08
skipped_children,-5.2979943849487226e-08,5.2979943849487226e-08
mean_bound_gap,-5.1252765694660174e-08,5.1252765694660174e-08
skipped_infeasible,-5.015501543552412e-08,5.015501543552412e-08
bound_variance,-4.3661994932001385e-08,4.3661994932001385e-08
log_n,-4.1065705723175694e-08,4.1065705723175694e-08
unique_pairs,-4.085959958347262e-08,4.085959958347262e-08
unique_ratio_count,-4.070786165598196e-08,4.070786165598196e-08
last_improvement_node,3.9742101004198135e-08,3.9742101004198135e-08
unique_weights,-3.9590088398752546e-08,3.9590088398752546e-08
unique_values,-3.957623826397382e-08,3.957623826397382e-08
left_branches,-3.577003666194532e-08,3.577003666194532e-08
pruned_by_bound,-2.964512106405813e-08,2.964512106405813e-08
mean_queue_size,-2.8614112900799945e-08,2.8614112900799945e-08
skipped_by_bound,-2.3609059481903373e-08,2.3609059481903373e-08
mean_ratio,-1.5238356987704478e-08,1.5238356987704478e-08
average_fillable_items,-1.1979214108166481e-08,1.1979214108166481e-08
ratio_entropy,-1.2677067361734458e-10,1.2677067361734458e-10
pearson_corr,-1.2268872011771334e-10,1.2268872011771334e-10
