predictor,coefficient,se,t_stat,p_value,ci_lower,ci_upper
const,6.994405055138486e-15,0.002552557149734677,2.74015610418968e-12,0.9999999999978137,-0.005003940909932313,0.005003940909946302
total_weight,-42.21208333034566,18.534729203510945,-2.2774588647537204,0.022794264162807127,-78.54689750903532,-5.877269151656002
total_value,-4.244258775001364,1.52869629134579,-2.7763910981068216,0.005513842930388299,-7.241059811143813,-1.2474577388589148
mean_weight,-0.07590211494170233,0.06596460598856482,-1.1506491065050886,0.2499229946123899,-0.20521674773984244,0.05341251785643779
mean_value,0.15336355814282726,0.06742911804797083,2.2744411106448172,0.022975021544187055,0.021177948760314508,0.28554916752534
median_weight,0.015233759369464684,0.008694711803425726,1.7520718010989813,0.07981312054387016,-0.0018110398421089108,0.03227855858103828
median_value,-0.021236633611141434,0.00821262632549387,-2.585851683671284,0.009737486493804931,-0.03733636985111355,-0.005136897371169319
std_weight,0.014458396740226524,0.026704003869980352,0.541431794671065,0.5882303268771633,-0.037891168650723416,0.06680796213117646
std_value,0.045702596121893896,0.02708882238733035,1.6871385351645758,0.09162928408594925,-0.007401353601673238,0.09880654584546103
min_weight,0.015832352524443174,0.006287495189083498,2.5180699226508656,0.011826095015086196,0.0035065738828281134,0.028158131166058233
max_weight,-0.005755269940477193,0.005627835691605304,-1.0226435624376837,0.30651809957740495,-0.016787875911539414,0.005277336030585026
min_value,0.0005358911690350032,0.006162356980047367,0.08696204565398027,0.930704615603292,-0.011544571044049741,0.012616353382119748
max_value,0.013826098026578132,0.007127598271290431,1.9397976008649205,0.052451625548019555,-0.00014658837655691544,0.02779878442971318
weight_cv,0.016712054086570186,0.039089520203356064,0.42753285278583075,0.6690067776291245,-0.05991763050866174,0.09334173868180211
value_cv,-0.09490398323121393,0.03904545533198945,-2.4306025483447313,0.015103180102296106,-0.17144728464299958,-0.01836068181942828
weight_skewness,-0.001278227455420446,0.007989758666782573,-0.15998323713264048,0.8728997251012869,-0.016941061980951508,0.014384607070110614
value_skewness,-0.01589083279089363,0.007591838555374833,-2.0931468280029892,0.03637841026923336,-0.030773599091676904,-0.0010080664901103535
weight_kurtosis,0.01667447342117196,0.007349873120720349,2.2686750025880342,0.02332386507480859,0.0022660474255155154,0.031082899416828406
value_kurtosis,-0.01288491724110385,0.007207250257177917,-1.7877715885155192,0.07386388658586501,-0.027013750522588607,0.0012439160403809064
capacity_ratio,9.616435046187993,3.5861168138171204,2.6815732853811043,0.007347968645995654,2.5863410738176045,16.646529018558383
slack,45.49518980511694,19.0892378096028,2.383290011832252,0.017189952019488537,8.07333696826251,82.91704264197136
average_fillable_items,-0.3568854707924792,0.05994819126246416,-5.953231670159475,2.7794675874894203e-09,-0.47440574130485197,-0.23936520028010638
pearson_corr,-0.0038503304978159125,0.12113263285881634,-0.03178607124228519,0.9746437237473665,-0.2413143720586069,0.23361371106297507
spearman_corr,0.40350244452538364,0.06132057303762454,6.580213206386805,5.100300805296277e-11,0.2832918063127249,0.5237130827380424
kendall_corr,-0.33132171048043507,0.032501664704493706,-10.193992015265183,3.335908385466525e-24,-0.39503680092330784,-0.2676066200375623
mean_ratio,-0.0151115696932201,0.0091939249970365,-1.6436472668736202,0.10030206958259733,-0.03313500843204191,0.0029118690456017126
median_ratio,0.0039000243714458985,0.006323916956972583,0.6167102442965882,0.5374495259503956,-0.0084971541894115,0.016297202932303297
std_ratio,0.014699529570993821,0.009203228748482629,1.5972144094992085,0.11027117653250992,-0.0033421479063737783,0.03274120704836142
ratio_entropy,-0.008735926686318743,0.00724096467696604,-1.2064589562366281,0.2276886792998838,-0.0229308524995418,0.005458999126904311
unique_ratio_count,2.2190109000005362,1.1551769427733296,1.9209272777494777,0.05478874403037566,-0.04555628618878149,4.483578086189854
duplicate_ratio_fraction,0.08946760277667226,0.0680400887435044,1.3149248395889768,0.18858598454383943,-0.04391573150632794,0.22285093705967246
unique_weights,0.12515609965213798,0.15409724183100657,0.8121890967353758,0.4167157202919006,-0.1769305715854228,0.42724277088969875
unique_values,0.019666877033313934,0.1523826507811481,0.12906244203324363,0.8973126150696685,-0.2790585717927939,0.3183923258594218
unique_pairs,-1.4473558795124424,0.37575600677761395,-3.851850278920598,0.00011846394678930168,-2.1839743934859204,-0.7107373655389645
duplicate_items,-0.636275027875653,0.555801796245884,-1.1447876422374283,0.25234331466436416,-1.7258488093448041,0.453298753593498
duplicate_pairs,0.6463263135499551,0.554152988470785,1.1663319101346494,0.24352715647378348,-0.4400152046653443,1.7326678317652544
n,-0.03805715442213492,0.03080200191925441,-1.2355415898583297,0.21667792770311292,-0.09844028728472616,0.02232597844045632
log_n,2.284869588975072,1.7363377324667644,1.315913111977947,0.18825404870603005,-1.118984234186073,5.688723412136216
cap_mode,1.6282151303761108,1.0298760665079676,1.5809816183970076,0.1139355457120973,-0.39071674031766124,3.6471470010698828
WeaklyCorrelated,-0.033296185420135016,0.030420773628597724,-1.0945213237060545,0.2737708324732651,-0.09293197210094087,0.02633960126067083
StronglyCorrelated,-0.04406139548228594,0.06434167748637201,-0.6848033374886507,0.4934947796711975,-0.17019449781914991,0.08207170685457804
InverseCorrelated,-0.07751178138274811,0.06534625581558169,-1.186170200806908,0.2356025906038953,-0.20561422281914735,0.05059066005365112
AlmostEqualRatios,-0.0798950189840981,0.03782839094400583,-2.1120385242491535,0.03472483043923492,-0.15405243129573393,-0.0057376066724622865
