predictor,coefficient,se,t_stat,p_value,ci_lower,ci_upper
const,-2.4362734052374435e-12,0.0018721661719069387,-1.3013125874162762e-09,0.9999999989617464,-0.0036701252330382807,0.003670125228165734
total_weight,-874.4878387225226,197.6271860898625,-4.42493695338498,9.819269852475872e-06,-1261.9088555131925,-487.06682193185264
total_value,-2.626646515608798,1.1225169726840325,-2.3399615146381842,0.01931862778369323,-4.827187218163185,-0.4261058130544111
mean_weight,-0.03126247389767123,0.04875024573692735,-0.6412782833213602,0.5213666086183991,-0.1268306502497214,0.06430570245437896
mean_value,0.09518681200485432,0.049475444425327586,1.9239203024950708,0.054412245763522674,-0.001803016999313914,0.19217664100902254
median_weight,0.009954766277327703,0.0064131760598740185,1.552236549314889,0.12065884552453063,-0.0026173865683046266,0.02252691912296003
median_value,-0.021343816978758867,0.006047317753728586,-3.5294684102880063,0.0004195450424155257,-0.03319875475002524,-0.009488879207492496
std_weight,0.014134317709267553,0.01966820454421156,0.7186379253630116,0.47239227262804057,-0.02442250209739865,0.05269113751593376
std_value,0.01755747428376951,0.01986088115626626,0.8840229265573141,0.3767195734223951,-0.021377061617685753,0.056492010185224775
min_weight,0.0029948916817220377,0.006121584572149657,0.48923471470889945,0.6246935781072239,-0.009005636010019224,0.0149954193734633
max_weight,-0.004679788045973171,0.004216785781893879,-1.1097998067787413,0.2671301754841882,-0.01294621873060036,0.0035866426386540187
min_value,-0.001641921356820568,0.004541460120357927,-0.36154041064025966,0.7177083455190887,-0.01054483159075624,0.007260988877115105
max_value,0.01420303656280913,0.005245489387585079,2.707666628098533,0.006795176610546824,0.0039199734260460615,0.024486099699572196
weight_cv,0.0002549415837933243,0.028810859144784914,0.008848801853223164,0.9929400665645851,-0.05622479971763841,0.05673468288522507
value_cv,-0.05141531692587671,0.02865153986948613,-1.7945044894649447,0.07278345219789738,-0.10758273462015785,0.0047521007684044325
weight_skewness,0.0012470573409943892,0.005920362703170122,0.21063867258109692,0.8331764494791023,-0.010359002450742859,0.012853117132731639
value_skewness,-0.012188539272570466,0.005622851322010125,-2.167679452035228,0.030222629127849527,-0.023211368770559605,-0.0011657097745813253
weight_kurtosis,0.009525042318351457,0.005402246794414695,1.7631631209813037,0.07792433071622752,-0.00106532223349012,0.020115406870193035
value_kurtosis,-0.011638497223264484,0.005279836488246732,-2.2043291017008873,0.027539369884063154,-0.021988893144172433,-0.0012881013023565355
capacity_ratio,1.7295725778576116,2.6435325847553734,0.6542656549163219,0.5129659688790568,-3.4527108021197854,6.911855957835009
slack,10.625157553476654,14.098591810334842,0.753632539789398,0.4510997350108646,-17.013199711767637,38.26351481872095
