predictor,VIF
total_weight,52725601.31109339
total_value,358667.04537934926
mean_weight,667.8377998970416
mean_value,697.8209597825759
median_weight,11.60270990463728
median_value,10.351735745732732
std_weight,109.44648437806737
std_value,112.62357334065541
min_weight,6.067424526156125
max_weight,4.861069945117168
min_value,5.828311530208333
max_value,7.797142634222081
weight_cv,234.51451652329604
value_cv,233.9860870428154
weight_skewness,9.797524863189286
value_skewness,8.845919426475403
weight_kurtosis,8.291034747747892
value_kurtosis,7.9723848628496246
capacity_ratio,1973776.2345267166
slack,55927605.85065563
average_fillable_items,551.57074025173
pearson_corr,2252.015446331236
spearman_corr,577.1138016520176
kendall_corr,162.12883523101624
mean_ratio,12.973315032995185
median_ratio,6.137922038537334
std_ratio,12.999584894823375
ratio_entropy,8.047146522694783
unique_ratio_count,204807.60306908016
duplicate_ratio_fraction,710.5240686328812
unique_weights,3644.5069440400403
unique_values,3563.85560348938
unique_pairs,21670.09997803177
duplicate_items,47412.07287309745
duplicate_pairs,47131.19057750811
n,145.6152762249691
log_n,462719.1327477631
cap_mode,162786.72368248456
WeaklyCorrelated,142.03309802711135
StronglyCorrelated,635.380394721838
InverseCorrelated,655.3759019764774
AlmostEqualRatios,219.6265242506036
nodes_generated,161594.82231907634
internal_nodes,183126.80315062916
max_depth,24.63558513836389
mean_depth,297.6046421084466
median_depth,229.4678591934978
mean_queue_size,41.80646948997016
final_queue_size,7953.299065899653
bound_variance,6.384153928134178
mean_bound_gap,54.855366961062124
bound_gap_variance,582.637061657415
pruned_by_bound,3.975519548064263
pruned_by_cap,7723.297423258585
left_branches,161.84034404096676
right_branches,4695.009906164078
explored_children,6102.357861143748
skipped_children,461.43419126285113
skipped_infeasible,8.454752169281273
skipped_by_bound,6.296601020735427
improvement_count,52.11421947904066
sum_improvement_amount,644.5914693583642
mean_improvement_amount,19.092790383869467
last_improvement_node,3.9171785145186044
pruned_generated_ratio,501.3235981964633
avg_branching_factor,9.239927149673754
