predictor,importance_mean,importance_sd,n_valid_folds,predictor_type,metric
dp_sum_improvement_amount,1520553.6815098573,1205403.6740149586,5,execution_metric,r2
average_fillable_items,480840.36339842854,431609.1239356012,5,instance_characteristic,r2
updates_per_cell,240546.55829042452,210401.60200397827,5,execution_metric,r2
log_n,176011.96247604745,154322.16152798184,5,instance_characteristic,r2
total_weight,119889.18203977279,143143.34995486887,5,instance_characteristic,r2
dp_mean_improvement_amount,29426.67950368654,34681.607229553694,5,execution_metric,r2
slack,22690.74495272185,22497.524142323862,5,instance_characteristic,r2
capacity_ratio,834.1223870268811,803.0484091232714,5,instance_characteristic,r2
unique_ratio_count,472.0891117436081,1036.0943300012402,5,instance_characteristic,r2
total_value,320.1331612165483,224.40934685100987,5,instance_characteristic,r2
cap_mode,56.297930782415754,60.79523779922953,5,execution_metric,r2
exclude_count,7.924684359259783,3.5959035785224307,5,execution_metric,r2
duplicate_items,7.6765872932692245,11.563084396488955,5,instance_characteristic,r2
duplicate_pairs,7.6310907277867654,11.549665566729718,5,instance_characteristic,r2
unique_pairs,6.443187551078099,8.730884226384019,5,instance_characteristic,r2
duplicate_ratio_fraction,6.38724628972227,14.279494837611983,5,instance_characteristic,r2
total_evaluations,3.5299710172523175,2.162530285158076,5,execution_metric,r2
unique_values,1.8453313665191864,0.6952784547329984,5,instance_characteristic,r2
mean_value,0.470031793524338,0.3177607535848983,5,instance_characteristic,r2
include_ratio,0.3805045773284589,0.17089248312699587,5,execution_metric,r2
unique_weights,0.24225362276312268,0.21204036871238757,5,instance_characteristic,r2
weight_cv,0.14454035709729712,0.12029158216126976,5,instance_characteristic,r2
value_cv,0.1384107264539688,0.08896307005425165,5,instance_characteristic,r2
std_weight,0.13323213756370691,0.137242096885369,5,instance_characteristic,r2
mean_weight,0.061808648286150604,0.09708153485448458,5,instance_characteristic,r2
std_value,0.027788433310207063,0.024134354007043727,5,instance_characteristic,r2
weight_kurtosis,0.01156657435340602,0.014120751127283235,5,instance_characteristic,r2
value_kurtosis,0.010720740740698963,0.013832260896033404,5,instance_characteristic,r2
n,0.008670931965862246,0.02201220569505678,5,instance_characteristic,r2
mean_cell_value,0.00829566730106283,0.014771097558012012,5,execution_metric,r2
mean_ratio,0.006041987042264123,0.008679005507806396,5,instance_characteristic,r2
std_ratio,0.005216084190282494,0.007556665078900667,5,instance_characteristic,r2
tie_count,0.004018318260217085,0.007515018421746918,5,execution_metric,r2
min_weight,0.003797324488407855,0.0032178301036297164,5,instance_characteristic,r2
max_value,0.0021934060137076806,0.003583746638895645,5,instance_characteristic,r2
weight_skewness,0.0021212670330309257,0.002067834667868772,5,instance_characteristic,r2
median_weight,0.0018921133845883052,0.0017990923250921478,5,instance_characteristic,r2
median_ratio,0.0015696003302488669,0.002132067824329224,5,instance_characteristic,r2
median_value,0.0008799207534545073,0.001589607209928737,5,instance_characteristic,r2
max_weight,0.0005278994322502195,0.0012690760891304134,5,instance_characteristic,r2
fill_rate,0.00040840389854317265,0.0008561058286915543,5,execution_metric,r2
min_value,0.00033124045683738835,0.0006272735638556201,5,instance_characteristic,r2
value_skewness,0.0002641955389387729,0.00046919263125725665,5,instance_characteristic,r2
pearson_corr,9.949913422258039e-05,0.0003170389152802811,5,instance_characteristic,r2
AlmostEqualRatios,0.0,0.0,5,execution_metric,r2
StronglyCorrelated,0.0,0.0,5,execution_metric,r2
InverseCorrelated,0.0,0.0,5,execution_metric,r2
WeaklyCorrelated,0.0,0.0,5,execution_metric,r2
ratio_entropy,-8.171544113853012e-05,0.000877582302023114,5,instance_characteristic,r2
kendall_corr,-0.0014503601121568343,0.0032777234623389655,5,instance_characteristic,r2
spearman_corr,-0.0014939237178660716,0.003611125127636463,5,instance_characteristic,r2
