predictor,importance_mean,importance_sd,n_valid_folds,predictor_type,metric
slack,50192.55848483378,48245.46265524038,5,instance_characteristic,r2
total_weight,44314.05531937706,44386.35711755133,5,instance_characteristic,r2
capacity_ratio,2107.8594423414747,1906.6040661503262,5,instance_characteristic,r2
unique_ratio_count,720.8144379742428,1066.0100104567325,5,instance_characteristic,r2
log_n,678.720763286706,1139.155614982451,5,instance_characteristic,r2
cap_mode,82.91825841202287,103.36760290551464,5,execution_metric,r2
total_value,38.846826028707724,25.611051491672153,5,instance_characteristic,r2
duplicate_ratio_fraction,8.208099386606516,18.066665309273848,5,instance_characteristic,r2
first_skipped_position,4.575093131464549,5.197802859028128,5,execution_metric,r2
unique_pairs,4.1479943086876,2.7179841623483463,5,instance_characteristic,r2
selected_count,3.5213064514242745,4.007198548906466,5,execution_metric,r2
average_fillable_items,1.9846512477909937,1.0392970643064803,5,instance_characteristic,r2
duplicate_items,0.7605349843095917,0.7135254578627873,5,instance_characteristic,r2
duplicate_pairs,0.7603054696675023,0.671891418938522,5,instance_characteristic,r2
n,0.20115429461176673,0.1344397308994115,5,instance_characteristic,r2
mean_weight,0.07293747329398258,0.04911612818799192,5,instance_characteristic,r2
unique_values,0.06993134635672996,0.0967141510372285,5,instance_characteristic,r2
mean_value,0.06406730462711716,0.02438911934252434,5,instance_characteristic,r2
unique_weights,0.04042385343772739,0.05369151477233235,5,instance_characteristic,r2
weight_cv,0.02201405817415516,0.032683232030302094,5,instance_characteristic,r2
std_weight,0.01872752937345085,0.029020982494008446,5,instance_characteristic,r2
value_cv,0.018316544871390474,0.015129372351040041,5,instance_characteristic,r2
std_value,0.012230599784602803,0.011301232467148382,5,instance_characteristic,r2
mean_ratio,0.009015946933872188,0.017662871612086076,5,instance_characteristic,r2
last_selected_position,0.008059238781547916,0.01431682994558049,5,execution_metric,r2
std_ratio,0.006840582515681275,0.012252794955889736,5,instance_characteristic,r2
median_ratio,0.002677453529486341,0.005926367748324944,5,instance_characteristic,r2
max_weight,0.0019825535748668687,0.00290183746549312,5,instance_characteristic,r2
median_value,0.0016430927194447345,0.003345687562661679,5,instance_characteristic,r2
weight_kurtosis,0.0012824261656672231,0.0018776888803319657,5,instance_characteristic,r2
ratio_entropy,0.001010597743115865,0.0022922656516601177,5,instance_characteristic,r2
kendall_corr,0.000781346339413741,0.001577486045593428,5,instance_characteristic,r2
value_skewness,0.0006267875658589773,0.0005377221419206163,5,instance_characteristic,r2
residual_capacity,0.0006069956961113154,0.0013109124716493312,5,execution_metric,r2
median_weight,0.0005953389855015222,0.0006906027732254077,5,instance_characteristic,r2
weight_skewness,0.0004901309962040489,0.00040461297656975843,5,instance_characteristic,r2
min_weight,0.00046451082587910643,0.0007241889739054892,5,instance_characteristic,r2
spearman_corr,0.00036538359827909423,0.0010485260752297076,5,instance_characteristic,r2
max_value,0.00027488600665108497,0.0005018233386231091,5,instance_characteristic,r2
value_kurtosis,0.00026124550575288506,0.0003826561846429786,5,instance_characteristic,r2
pearson_corr,0.0002350439087650946,0.0002443457508782709,5,instance_characteristic,r2
min_value,5.075682083886977e-05,0.0003182996064069448,5,instance_characteristic,r2
WeaklyCorrelated,0.0,0.0,5,execution_metric,r2
AlmostEqualRatios,0.0,0.0,5,execution_metric,r2
InverseCorrelated,0.0,0.0,5,execution_metric,r2
StronglyCorrelated,0.0,0.0,5,execution_metric,r2
capacity_utilization,-0.0007695619231956452,0.0024505104474282866,5,execution_metric,r2
