predictor,coefficient,se,t_stat,p_value,ci_lower,ci_upper,abs_coefficient
slack,45.49518980511694,19.0892378096028,2.383290011832252,0.0171899520194885,8.07333696826251,82.91704264197136,45.49518980511694
total_weight,-42.21208333034566,18.534729203510945,-2.2774588647537204,0.0227942641628071,-78.54689750903532,-5.877269151656002,42.21208333034566
capacity_ratio,9.616435046187991,3.5861168138171204,2.6815732853811043,0.0073479686459956,2.5863410738176045,16.646529018558383,9.616435046187991
internal_nodes,-7.703720636309427,1.092323888100285,-7.052597421180042,1.955980953425804e-12,-9.84507296259804,-5.562368310020814,7.703720636309427
nodes_generated,7.228008845009139,1.0260988362719243,7.044164352890523,2.077115878278719e-12,5.21648172014304,9.239535969875238,7.228008845009139
total_value,-4.244258775001364,1.52869629134579,-2.7763910981068216,0.0055138429303882,-7.241059811143813,-1.2474577388589148,4.244258775001364
log_n,2.284869588975072,1.7363377324667644,1.315913111977947,0.18825404870603,-1.118984234186073,5.688723412136216,2.284869588975072
unique_ratio_count,2.219010900000536,1.1551769427733296,1.9209272777494777,0.0547887440303756,-0.0455562861887814,4.483578086189854,2.219010900000536
cap_mode,1.6282151303761108,1.0298760665079676,1.5809816183970076,0.1139355457120973,-0.3907167403176612,3.6471470010698823,1.6282151303761108
unique_pairs,-1.4473558795124424,0.3757560067776139,-3.851850278920598,0.0001184639467893,-2.1839743934859204,-0.7107373655389645,1.4473558795124424
right_branches,1.086963413220666,0.174901579228375,6.214714687060547,5.491478809817387e-10,0.7440926698154388,1.4298341566258932,1.086963413220666
explored_children,-0.7920598190896296,0.1993996127722179,-3.972223456594326,7.204808153783251e-05,-1.1829556232759026,-0.4011640149033565,0.7920598190896296
duplicate_pairs,0.6463263135499551,0.554152988470785,1.1663319101346494,0.2435271564737834,-0.4400152046653443,1.7326678317652544,0.6463263135499551
duplicate_items,-0.636275027875653,0.555801796245884,-1.1447876422374283,0.2523433146643641,-1.725848809344804,0.453298753593498,0.636275027875653
bound_gap_variance,-0.425419907810645,0.0616133081676294,-6.9046756368480935,5.556735401060093e-12,-0.5462044134068256,-0.3046354022144644,0.425419907810645
spearman_corr,0.4035024445253836,0.0613205730376245,6.580213206386805,5.100300805296277e-11,0.2832918063127249,0.5237130827380424,0.4035024445253836
left_branches,0.3768613702194689,0.0324727351845584,11.605470499407618,8.300431153099362e-31,0.3132029921633585,0.4405197482755792,0.3768613702194689
average_fillable_items,-0.3568854707924792,0.0599481912624641,-5.953231670159475,2.7794675874894203e-09,-0.4744057413048519,-0.2393652002801063,0.3568854707924792
skipped_children,0.3512553407537991,0.0548315294629167,6.406083218804935,1.6078111507740207e-10,0.2437655893636879,0.4587450921439104,0.3512553407537991
kendall_corr,-0.331321710480435,0.0325016647044937,-10.193992015265184,3.335908385466525e-24,-0.3950368009233078,-0.2676066200375623,0.331321710480435
