predictor,coefficient,se,t_stat,p_value,ci_lower,ci_upper
const,4.631753775672135,17.515379107580934,0.26443925348252606,0.7914596388267864,-29.711618977414826,38.9751265287591
total_weight,139.66771601945203,35.465687025557784,3.938108288126569,8.399581191782697e-05,70.12818153481868,209.20725050408538
total_value,3.804055585241523,3.242097213460643,1.173331746330037,0.24075597416712413,-2.552903771432162,10.161014941915209
mean_weight,0.00861534766282276,0.006150341890166276,1.400791666004415,0.16137984074109785,-0.0034439679132520357,0.020674663238897557
mean_value,-0.004871158327122907,0.005391258268346666,-0.9035290250742787,0.3663177586141443,-0.015442096653993268,0.0056997799997474535
median_weight,-0.00040834923638071883,0.000535943892103653,-0.7619253477782764,0.44616447463429637,-0.0014592040736185557,0.0006425056008571181
median_value,-0.0002436390633075978,0.00046629271131183684,-0.5225024054572072,0.6013591658498159,-0.0011579249773189502,0.0006706468507037546
std_weight,0.006715478939964713,0.005274151342223036,1.2732814256206313,0.20301687977332378,-0.003625841358592956,0.017056799238522383
std_value,-0.005863345918902298,0.005387288523168214,-1.0883667903968357,0.27652067013982257,-0.016426500546798117,0.0046998087089935225
min_weight,-3.112663649363148e-05,0.0008113779672491875,-0.038362683915561614,0.9694010663576326,-0.0016220403016634717,0.0015597870286762087
max_weight,-0.0016119108387771027,0.0006831041576716889,-2.3596852993417348,0.018354174000006752,-0.0029513109495031328,-0.00027251072805107267
min_value,-0.0003202584231866222,0.0007403933513054858,-0.43255172756742355,0.6653715665219014,-0.0017719886250631028,0.0011314717786898585
max_value,0.0007637071351460515,0.00045630965367611775,1.6736598250628294,0.09430175719250597,-0.0001310044455041314,0.0016584187157962344
weight_cv,-2.2512989369937784,2.5029374483551585,-0.8994627246770598,0.36847845574633403,-7.158946852494333,2.656348978506777
value_cv,2.211531682043942,2.4277972499936453,0.9109210754933225,0.36241016925700253,-2.548784689833133,6.9718480539210175
weight_skewness,0.12278139069926325,0.17931043677974695,0.6847420200647872,0.49355964243420264,-0.22880250200565394,0.47436528340418044
value_skewness,-0.12224910153212282,0.1696546076414208,-0.7205763712029946,0.4712263563419033,-0.4549002758927293,0.21040207282848367
weight_kurtosis,0.15137830477660583,0.13195054602476233,1.147235152389575,0.2513759605482794,-0.10734443021349263,0.4101010397667043
value_kurtosis,-0.06931704403522872,0.12333598238168317,-0.5620180153162108,0.5741457451280736,-0.311148727539527,0.17251463946906953
capacity_ratio,-176.85332309419488,38.0038765770128,-4.6535600844774665,3.4039777646945875e-06,-251.369626242995,-102.33701994539476
slack,-144.98426716368363,34.52123718216402,-4.199857218286261,2.7486245354683328e-05,-212.67196659416004,-77.29656773320723
average_fillable_items,0.6655431392697146,0.0632051505259293,10.529887734333961,1.7417090935677764e-25,0.5416133041748261,0.7894729743646032
pearson_corr,-0.14716212699143247,0.11247292780574712,-1.3084226565667192,0.19083025705573406,-0.36769401845314653,0.07336976447028157
spearman_corr,0.07415300951394277,0.05439925197379578,1.363125536168446,0.17294527900723722,-0.03251061315446753,0.18081663218235305
kendall_corr,-0.028919674369797144,0.028279018157291023,-1.0226548251761332,0.30655356106126763,-0.0843679096436092,0.02652856090401491
mean_ratio,0.02643713151609528,0.008240808475096733,3.2080749839031966,0.0013503401543961359,0.010278922463997121,0.04259534056819344
median_ratio,-0.26374591801808717,0.16767614217904234,-1.5729483908119906,0.11583625320194431,-0.5925178056994711,0.06502596966329677
std_ratio,-0.004666760044599639,0.0014482217019349923,-3.2224072035133196,0.0012847942797428384,-0.0075063684500572495,-0.0018271516391420287
ratio_entropy,-0.04265420217953278,0.021726946322116816,-1.9631936097763167,0.0497159644626117,-0.08525542775071168,-5.297660835387741e-05
unique_ratio_count,11.171065649372949,2.3207804066212727,4.813495330062889,1.5565373731709562e-06,6.620583122382815,15.721548176363083
