predictor,coefficient,se,t_stat,p_value,ci_lower,ci_upper
x0,12.683424263842639,24.572179891992704,0.5161700882702623,0.6057356195668964,-35.47716334610237,60.84401187378765
x1,132.84039257775203,60.630251242897494,2.1909919529372486,0.02845237478236744,14.007283768058088,251.67350138744598
x2,-6.714083845041908,6.69647155021515,-1.0026300858138033,0.31603937411768546,-19.838926906960705,6.410759216876889
x3,-0.01377512260157146,0.011855096649123563,-1.161957848955187,0.24525258704260344,-0.03701068506709512,0.009460439863952202
x4,0.015611673068967706,0.010111667996742494,1.5439265879770832,0.12260611814825503,-0.00420683202827386,0.035430178166209275
x5,-0.00035744578499295157,0.0013685644011717983,-0.26118302119132847,0.7939513709396371,-0.0030397827218133023,0.0023248911518273995
x6,0.0009608092706351295,0.0012637426345531867,0.7602887204757768,0.44708202264435926,-0.0015160807788168796,0.003437699320087139
x7,-0.013571320739494675,0.017293083177933273,-0.7847831760164243,0.43258070583515307,-0.047465140949899357,0.020322499470910003
x8,0.009124070981017567,0.017188371677873338,0.530828117521046,0.5955378936096622,-0.024564518460502473,0.042812660422537605
x9,0.0039502753190909685,0.0021934418512185513,1.8009482753766282,0.07171103298268171,-0.000348791711480256,0.008249342349662193
x10,0.003943693156779269,0.001702854920250123,2.3159302121874257,0.020562079421521565,0.0006061588421922021,0.007281227471366336
x11,-0.004690203552976983,0.0020871232748718225,-2.2472096447034375,0.024626632092847732,-0.008780890003021048,-0.0005995171029329191
x12,-0.003109461090080751,0.0014439962957420555,-2.153371929865533,0.031289459832885703,-0.005939641823544429,-0.00027928035661707335
x13,2.3093216155769802,7.673949359803404,0.3009300045258758,0.7634678698858048,-12.731342748821897,17.349985979975855
x14,-2.3373723623872262,7.572649996561264,-0.30865976421049773,0.7575803537397426,-17.179493623174668,12.504748898400216
x15,-0.3489585799183127,0.4633476234367967,-0.75312478637524,0.45137493109403815,-1.2571032341766613,0.5591860743400359
x16,0.7684998490888107,0.4493810453692111,1.7101296483420032,0.08724190135877902,-0.11227081516980297,1.6492705133474246
x17,-0.34104921613453365,0.487568213372771,-0.6994902595788868,0.4842456981363048,-1.2966653543517053,0.6145669220826379
x18,0.14340078618108282,0.44940936134127774,0.31908722540424667,0.7496603703911462,-0.7374253763629688,1.0242269487251345
x19,-145.5696020422993,67.46899254223948,-2.1575778228964118,0.03096067047806196,-277.80639749829015,-13.332806586308408
x20,-127.35705594291571,60.61398460143307,-2.101116710613093,0.035630722342938397,-246.15828272118995,-8.555829164641466
x21,-0.5326265387121205,0.16770114806435096,-3.1760458700481817,0.001492973421717109,-0.8613147490842674,-0.2039383283399736
x22,0.4853655585801769,0.23559370388612616,2.060180516601486,0.039381286793503084,0.023610383978975413,0.9471207331813783
x23,0.17846840274533302,0.11429033695335329,1.561535362505524,0.11839748694122626,-0.045536541464186675,0.4024733469548527
x24,-0.1792869868395541,0.06957555889908579,-2.5768673608442967,0.009970020020881898,-0.31565257648600753,-0.0429213971931007
x25,-0.09456160393629748,0.04054152523270561,-2.332462910399159,0.01967635190572046,-0.17402153327072228,-0.015101674601872658
x26,0.0339082314222639,0.6067394224975016,0.05588598690800173,0.9554326342103237,-1.1552791846734707,1.2230956475179984
x27,0.02322807800034765,0.0060161349035934945,3.8609636207581217,0.00011294072015862407,0.011436670263170053,0.03501948573752525
x28,-0.1892223067822117,0.04417947800161141,-4.283036272527031,1.843601027742515e-05,-0.27581249252114964,-0.10263212104327374
x29,-19.726480889668466,41.53723922557694,-0.47491073690621455,0.6348505982182693,-101.13797378902368,61.685012009686744
x30,-27.7091251657814,43.4982077426854,-0.6370176290870496,0.5241133605857771,-112.96404573348612,57.545795401923314
x31,0.47858982354308155,1.0694894165429918,0.44749374434210965,0.6545186036074919,-1.617570914727938,2.5747505618141013
x32,0.2905598642404804,0.9410858899494776,0.3087495704096458,0.7575120330006859,-1.5539345864193206,2.135054314900281
x33,-17.194231293335577,3.7058725246282465,-4.639725511082012,3.4887224975431674e-06,-24.457607972903464,-9.93085461376769
x34,-1.9996309140498834,0.49480724560893596,-4.041232079350479,5.3171104863654865e-05,-2.969435294732863,-1.029826533366904
x35,1.9892986159224142,0.49489825945762167,4.019611259297141,5.829424801688099e-05,1.0193158513739164,2.959281380470912
x36,-0.0001382607439205356,0.0006774784373466346,-0.20408139403231504,0.8382898937691513,-0.001466094081422415,0.0011895725935813437
x37,36.728225020032646,40.951415417730466,0.8968731518894135,0.3697866079027754,-43.53507431465736,116.99152435472266
x38,-16.572964518914475,8.8450191392917,-1.8737058968355855,0.06097097272356829,-33.90888347449368,0.7629544366647245
x39,-0.20336023355809393,0.5598009823833073,-0.36327237707283794,0.7164014258185137,-1.3005499975395176,0.8938295304233297
x40,-1.1053689297539662,1.139160465737834,-0.9703364565395262,0.33187881094714755,-3.338082415211995,1.1273445557040627
x41,-22.453025737268085,2.5445669118390066,-8.823908553082953,1.1053249751321974e-18,-27.440285240724844,-17.465766233811326
x42,-0.6166682555845048,0.696309679589586,-0.8856235575354591,0.3758204128734729,-1.981410149666718,0.7480736384977086
x43,0.20082991340017964,0.015645651237745924,12.836149186022205,1.0286518246760675e-37,0.1701650004595231,0.23149482634083618
x44,0.004914817905104779,0.0006417044191217745,7.659005857916816,1.873778526863869e-14,0.0036571003549059045,0.006172535455303652
x45,-7.8142321555172805,0.943243346210774,-8.284428601493827,1.1867748622040692e-16,-9.662955142747442,-5.965509168287118
x46,0.0005392814458554389,0.00021606480387639213,2.4959245382878503,0.0125629324021631,0.00011580221193100007,0.0009627606797798778
x47,-0.199986014896806,0.015556854992052994,-12.855169955557606,8.044885193194852e-38,-0.23047689039394204,-0.16949513939966998
