predictor,r2_full,r2_without,delta_r2,rank_by_perm_importance
final_queue_size,0.3717051656284908,0.37144624126676995,0.0002589243617208692,3
pruned_by_bound,0.3717051656284908,0.3716841717613242,2.0993867166640978e-05,6
bound_gap_variance,0.3717051656284908,0.3716894202281158,1.5745400375022367e-05,4
bound_variance,0.3717051656284908,0.3716955434393727,9.62218911809698e-06,5
mean_bound_gap,0.3717051656284908,0.37169816767276853,6.997955722287674e-06,7
avg_branching_factor,0.3717051656284908,0.3717051656284908,0.0,8
pruned_by_cap,0.3717051656284908,0.3717051656284908,0.0,9
skipped_by_bound,0.3717051656284908,0.3717069151174213,-1.7494889305025296e-06,10
mean_improvement_amount,0.3717051656284908,0.3812162621994051,-0.009511096570914257,2
last_improvement_node,0.3717051656284908,0.9675119905597578,-0.5958068249312669,1
