predictor,coefficient,se,t_stat,p_value,ci_lower,ci_upper,abs_coefficient
dp_sum_improvement_amount,864.1411829328847,3801.6398683051616,0.2273074812102426,0.8201924683802884,-6588.452571928799,8316.734937794568,864.1411829328847
average_fillable_items,-460.3102030617347,2024.661340495065,-0.2273517026552108,0.8201580863908506,-4429.381178900994,3508.7607727775253,460.3102030617347
updates_per_cell,-327.3074563018396,1439.1159198600733,-0.2274364780383112,0.8200921748500113,-3148.496913590614,2493.882000986935,327.3074563018396
log_n,284.38579707525435,1322.9707774215346,0.2149599990632607,0.8298058751782503,-2309.1170320267047,2877.888626177213,284.38579707525435
dp_mean_improvement_amount,-211.93020649589585,932.434521979254,-0.2272869584944551,0.8202084248238456,-2039.840249542145,1615.9798365503536,211.93020649589585
total_weight,-209.12093961297197,1352.1906584647402,-0.1546534420304346,0.8770997833853245,-2859.905339438114,2441.66346021217,209.12093961297197
slack,-91.00100001804492,96.837456131222,-0.93972935322394,0.3473945642965061,-280.83755629395,98.83555625786016,91.00100001804492
capacity_ratio,-17.485408066186807,18.15711467893763,-0.9630058726494684,0.3355837241543882,-53.07994204367399,18.10912591130037,17.485408066186807
total_value,11.727787392432896,7.709065708676023,1.521298148909806,0.128238190744851,-3.384779012209384,26.84035379707517,11.727787392432896
cap_mode,-4.472767415422846,5.290392466772666,-0.8454509648414418,0.3978931072366452,-14.843856530766791,5.898321699921102,4.472767415422846
exclude_count,1.8986203404144737,1.1476932784046856,1.6542924630991918,0.0981208676767983,-0.3512749825080257,4.148515663336973,1.8986203404144737
duplicate_items,1.788716004748936,2.796217360693405,0.6396913308289348,0.5223979293325692,-3.692884767927597,7.270316777425469,1.788716004748936
duplicate_pairs,-1.7714923780931902,2.7877653390216346,-0.635452472737499,0.5251578002158328,-7.236524121059112,3.693539364872733,1.7714923780931902
total_evaluations,-1.3760093341104098,1.6693376834649003,-0.8242845936685175,0.4098109223259664,-4.648516995413993,1.8964983271931728,1.3760093341104098
unique_values,-0.941909082532262,0.769278422945145,-1.224405955552749,0.220847615770258,-2.4499739622145027,0.5661557971499784,0.941909082532262
mean_value,-0.4539707205007939,0.3396973494867368,-1.336397593877955,0.1814704716436593,-1.1199008014730785,0.2119593604714906,0.4539707205007939
unique_pairs,0.4170398449204084,1.8878651865988616,0.2209055222167313,0.8251735798489279,-3.2838610260344963,4.117940715875314,0.4170398449204084
include_ratio,0.4012540267631383,0.2743055908604826,1.4627993017000671,0.1435751402088035,-0.1364844766690283,0.938992530195305,0.4012540267631383
pearson_corr,0.3750093637743196,0.6102866131396923,0.6144807303654248,0.5389212062569283,-0.8213738706503118,1.5713925981989512,0.3750093637743196
value_cv,0.2510741773366928,0.1968098051217308,1.2757198615251837,0.2021043825787851,-0.1347444628701862,0.6368928175435717,0.2510741773366928
