cv_scheme,algorithm,response,model,pseudo_r_squared_mean,pseudo_r_squared_sd,pseudo_r_squared_ci_lower,pseudo_r_squared_ci_upper,rmse_mean,rmse_sd,rmse_ci_lower,rmse_ci_upper,mae_mean,mae_sd,mae_ci_lower,mae_ci_upper,n,p,pseudo_r_squared,log_likelihood,aic,bic,rmse,mae
LOFO,Greedy,optimality_gap,M1,0.21360591272866386,0.02520269121749597,0.18231263838605294,0.24489918707127478,0.28372590640741135,0.41070866998361716,-0.22623626286139709,0.7936880756762198,0.25155162097122247,0.41263943240921996,-0.26080790649054136,0.7639111484329864,6000,42,,,,,,
LOFO,Greedy,optimality_gap,M2,0.27192175366371474,0.023325403092516864,0.2429594404001458,0.30088406692728364,0.07989460659884515,0.1363077384271123,-0.08935380488267597,0.24914301808036626,0.036818166472333595,0.06194986300967567,-0.04010274812043577,0.11373908106510297,6000,47,,,,,,
5-fold,Greedy,optimality_gap,M1,0.21639638145473486,0.003325727338165482,0.21226694555109274,0.22052581735837698,0.01858146272677424,0.0008850860327028621,0.017482483264654097,0.019680442188894386,0.007342978309212741,0.00015426577417432895,0.007151432051265445,0.007534524567160038,6000,42,,,,,,
5-fold,Greedy,optimality_gap,M2,0.2735525281365606,0.0031066796773846356,0.2696950758272008,0.2774099804459204,0.012838976844915615,0.0035241023225649017,0.008463225865000508,0.017214727824830724,0.004845451045425952,0.000262085859798869,0.0045200284688754165,0.005170873621976487,6000,47,,,,,,
full_sample,Greedy,optimality_gap,M1,,,,,,,,,,,,,6000,42,0.21554798893053007,-197.72012756914964,481.4402551382993,-51763.51093381738,0.017875676742259042,0.007130779883374354
full_sample,Greedy,optimality_gap,M2,,,,,,,,,,,,,6000,47,0.27306489446059423,-183.22306498493515,462.4461299698703,-51749.00748524476,0.011544840396690459,0.004640752604753533
LOFO,DP,fill_rate,M1,0.25321169196650645,0.0011139803406135828,0.2518285026828598,0.2545948812501531,0.057798096881729745,0.09652550498932824,-0.06205414757195694,0.17765034133541643,0.020873148922094124,0.032226573997417796,-0.019141427795949115,0.06088772564013736,6000,42,,,,,,
LOFO,DP,fill_rate,M2,0.269792626252013,0.002714051044021535,0.2664226867813641,0.2731625657226619,0.0011844827505355963,0.0014816999455908053,-0.0006552907280449828,0.003024256229116175,0.0004464021589337189,0.0006453666109087368,-0.0003549263274744362,0.001247730645341874,6000,51,,,,,,
5-fold,DP,fill_rate,M1,0.2527661931372678,0.002409614990939216,0.24977426095348645,0.2557581253210491,0.007633175953417649,0.0024456829005438502,0.004596459544789794,0.010669892362045505,0.0024988701845846785,9.990505467495699e-05,0.002374821674956206,0.002622918694213151,6000,42,,,,,,
5-fold,DP,fill_rate,M2,0.26983580974467686,0.0023884744865365916,0.26687012696411616,0.27280149252523755,0.0003885517096761124,0.00022985402095972474,0.00010315024700804882,0.000673953172344176,6.710110564269954e-05,9.951428892959888e-06,5.474477465562651e-05,7.945743662977258e-05,6000,51,,,,,,
full_sample,DP,fill_rate,M1,,,,,,,,,,,,,6000,42,0.252614501424246,-176.8275730931484,439.6551461862968,-51814.84320421753,0.006255183417846756,0.0023689884703004377
full_sample,DP,fill_rate,M2,,,,,,,,,,,,,6000,51,0.26984867617056063,-172.75005580058462,449.50011160116924,-51744.70260606876,0.00032418687266293504,5.985948423234079e-05
