instance_id,n,family,capacity_mode,capacity,seed,capacity_density,cells_allocated,total_evaluations,include_count,exclude_count,tie_count,include_ratio,nonzero_value_states,zero_value_states,fill_rate,optimal_value,mean_cell_value,cell_value_variance,sum_improvement_amount,mean_improvement_amount,updates_per_cell
0,20,Uncorrelated,fixed,1000,42,50.0000,1001,8083,3550,4533,0,0.439193,996,5,0.995005,2339,1331.8531,645311.6558,1333185,375.5451,3.546454
1,20,Uncorrelated,fixed,1000,42,50.0000,1001,9851,4946,4905,0,0.502081,961,40,0.960040,3417,2206.5604,774585.7908,2208767,446.5764,4.941059
2,20,Uncorrelated,fixed,1000,42,50.0000,1001,9509,3759,5750,0,0.395310,934,67,0.933067,2658,1228.4256,625429.6670,1229654,327.1226,3.755245
3,20,Uncorrelated,fixed,1000,42,50.0000,1001,9125,4037,5088,0,0.442411,998,3,0.997003,2443,1473.1708,337194.2156,1474644,365.2821,4.032967
4,20,Uncorrelated,fixed,1000,42,50.0000,1001,11392,6194,5198,0,0.543715,970,31,0.969031,3111,1955.2258,765178.8361,1957181,315.9801,6.187812
5,20,Uncorrelated,fixed,1000,42,50.0000,1001,9502,6649,2853,0,0.699747,997,4,0.996004,3213,2240.6034,540432.3832,2242844,337.3205,6.642358
6,20,Uncorrelated,fixed,1000,42,50.0000,1001,8693,5087,3606,0,0.585183,936,65,0.935065,3354,2159.6134,905463.1103,2161773,424.9603,5.081918
7,20,Uncorrelated,fixed,1000,42,50.0000,1001,8302,2378,5924,0,0.286437,844,157,0.843157,2178,1043.6503,434702.8927,1044694,439.3162,2.375624
8,20,Uncorrelated,fixed,1000,42,50.0000,1001,9842,5467,4375,0,0.555477,975,26,0.974026,2585,1552.2438,529988.2263,1553796,284.2136,5.461538
9,20,Uncorrelated,fixed,1000,42,50.0000,1001,7779,3661,4118,0,0.470626,888,113,0.887113,2237,1205.5724,466120.0170,1206778,329.6307,3.657343
10,20,Uncorrelated,fixed,1000,42,50.0000,1001,11347,5276,6071,0,0.464969,950,51,0.949051,3837,2207.6963,1401837.2085,2209904,418.8597,5.270729
11,20,Uncorrelated,fixed,1000,42,50.0000,1001,10084,4021,6063,0,0.398750,932,69,0.931069,3381,2031.4575,1019383.9505,2033489,505.7172,4.016983
12,20,Uncorrelated,fixed,1000,42,50.0000,1001,9321,4225,5096,0,0.453278,943,58,0.942058,3178,1618.5844,785696.2988,1620203,383.4800,4.220779
13,20,Uncorrelated,fixed,1000,42,50.0000,1001,9935,5523,4412,0,0.555913,928,73,0.927073,3053,1654.7892,787608.0744,1656444,299.9174,5.517483
14,20,Uncorrelated,fixed,1000,42,50.0000,1001,11273,6012,5261,0,0.533310,971,30,0.970030,4520,3237.0579,1181490.4482,3240295,538.9712,6.005994
15,20,Uncorrelated,fixed,1000,42,50.0000,1001,9121,4205,4916,0,0.461024,949,52,0.948052,2146,1344.9321,329538.4309,1346277,320.1610,4.200799
16,20,Uncorrelated,fixed,1000,42,50.0000,1001,9295,4385,4910,0,0.471759,962,39,0.961039,3109,1690.6044,842553.8235,1692295,385.9282,4.380619
17,20,Uncorrelated,fixed,1000,42,50.0000,1001,9656,5285,4371,0,0.547328,964,37,0.963037,4331,2784.5005,1399937.8364,2787285,527.3955,5.279720
18,20,Uncorrelated,fixed,1000,42,50.0000,1001,9710,6974,2736,0,0.718229,983,18,0.982018,4648,3184.1818,1275672.5584,3187366,457.0356,6.967033
19,20,Uncorrelated,fixed,1000,42,50.0000,1001,8552,2657,5895,0,0.310688,860,141,0.859141,2340,1304.2008,523576.1305,1305505,491.3455,2.654346
20,20,Uncorrelated,fixed,1000,42,50.0000,1001,9860,6211,3649,0,0.629919,961,40,0.960040,3402,2110.0709,812067.8861,2112181,340.0710,6.204795
21,20,Uncorrelated,fixed,1000,42,50.0000,1001,11250,6075,5175,0,0.540000,997,4,0.996004,2612,1795.5524,268394.6049,1797348,295.8598,6.068931
22,20,Uncorrelated,fixed,1000,42,50.0000,1001,12461,6322,6139,0,0.507343,940,61,0.939061,4394,2675.4795,1540680.6732,2678155,423.6246,6.315684
23,20,Uncorrelated,fixed,1000,42,50.0000,1001,8916,4239,4677,0,0.475437,993,8,0.992008,4186,2704.7892,890818.0725,2707494,638.7105,4.234765
24,20,Uncorrelated,fixed,1000,42,50.0000,1001,14166,7527,6639,0,0.531343,995,6,0.994006,2944,1897.9520,578914.5452,1899850,252.4047,7.519481
25,20,Uncorrelated,fixed,1000,42,50.0000,1001,11123,6644,4479,0,0.597321,984,17,0.983017,4627,3254.2997,963026.0660,3257554,490.3001,6.637363
26,20,Uncorrelated,fixed,1000,42,50.0000,1001,10533,5935,4598,0,0.563467,960,41,0.959041,2835,1919.5395,492023.3853,1921459,323.7505,5.929071
27,20,Uncorrelated,fixed,1000,42,50.0000,1001,8879,4848,4031,0,0.546007,971,30,0.970030,2756,1823.9221,585977.4824,1825746,376.5978,4.843157
28,20,Uncorrelated,fixed,1000,42,50.0000,1001,10079,5736,4343,0,0.569104,995,6,0.994006,3538,2349.7882,509700.9781,2352138,410.0659,5.730270
29,20,Uncorrelated,fixed,1000,42,50.0000,1001,11114,5382,5419,313,0.484254,993,8,0.992008,3694,2215.6034,964680.7088,2217819,412.0808,5.376623
30,20,Uncorrelated,fixed,1000,42,50.0000,1001,10564,6164,4400,0,0.583491,990,11,0.989011,3503,2058.7243,855499.3965,2060783,334.3256,6.157842
31,20,Uncorrelated,fixed,1000,42,50.0000,1001,7572,2756,4816,0,0.363973,904,97,0.903097,2425,1387.2408,589883.3456,1388628,503.8563,2.753247
32,20,Uncorrelated,fixed,1000,42,50.0000,1001,9324,6265,3059,0,0.671922,976,25,0.975025,3364,1938.3137,877237.1444,1940252,309.6970,6.258741
33,20,Uncorrelated,fixed,1000,42,50.0000,1001,12241,7600,4641,0,0.620864,1000,1,0.999001,4849,3527.1748,1112992.3121,3530702,464.5661,7.592408
34,20,Uncorrelated,fixed,1000,42,50.0000,1001,9983,3799,6184,0,0.380547,980,21,0.979021,2912,1830.5385,473876.6441,1832369,482.3293,3.795205
35,20,Uncorrelated,fixed,1000,42,50.0000,1001,12381,6754,5627,0,0.545513,980,21,0.979021,5533,3923.5065,1710786.9513,3927430,581.4969,6.747253
36,20,Uncorrelated,fixed,1000,42,50.0000,1001,11586,4967,6400,219,0.428707,962,39,0.961039,3514,2317.6334,887637.8346,2319951,467.0729,4.962038
37,20,Uncorrelated,fixed,1000,42,50.0000,1001,8848,5054,3794,0,0.571203,864,137,0.863137,2580,1272.8611,655371.8359,1274134,252.1041,5.048951
38,20,Uncorrelated,fixed,1000,42,50.0000,1001,10317,5177,5140,0,0.501793,974,27,0.973027,2746,1539.8621,562448.0609,1541402,297.7404,5.171828
39,20,Uncorrelated,fixed,1000,42,50.0000,1001,11395,5061,6334,0,0.444142,931,70,0.930070,3362,2075.2448,818002.4706,2077320,410.4564,5.055944
40,20,Uncorrelated,fixed,1000,42,50.0000,1001,10892,5880,5012,0,0.539846,983,18,0.982018,3776,2761.8052,803901.9231,2764567,470.1645,5.874126
41,20,Uncorrelated,fixed,1000,42,50.0000,1001,9322,6079,3243,0,0.652113,994,7,0.993007,3956,2932.5504,879869.1565,2935483,482.8891,6.072927
42,20,Uncorrelated,fixed,1000,42,50.0000,1001,10245,4914,5331,0,0.479649,996,5,0.995005,3217,2174.4965,514937.8064,2176671,442.9530,4.909091
43,20,Uncorrelated,fixed,1000,42,50.0000,1001,11247,6757,4490,0,0.600782,959,42,0.958042,3737,2262.0060,1235482.4855,2264268,335.0996,6.750250
44,20,Uncorrelated,fixed,1000,42,50.0000,1001,9442,4505,4937,0,0.477123,909,92,0.908092,2369,1164.2637,508300.8315,1165428,258.6966,4.500500
45,20,Uncorrelated,fixed,1000,42,50.0000,1001,10222,4493,5729,0,0.439542,959,42,0.958042,3972,2234.9740,1241854.4848,2237209,497.9321,4.488511
46,20,Uncorrelated,fixed,1000,42,50.0000,1001,7960,3107,4853,0,0.390327,843,158,0.842158,2131,1065.7572,443961.9281,1066823,343.3611,3.103896
47,20,Uncorrelated,fixed,1000,42,50.0000,1001,10429,3662,6767,0,0.351136,919,82,0.918082,2546,1388.1688,569637.2772,1389557,379.4530,3.658342
48,20,Uncorrelated,fixed,1000,42,50.0000,1001,8904,3635,5198,71,0.408243,946,55,0.945055,2644,1550.0709,693621.2128,1551621,426.8558,3.631369
49,20,Uncorrelated,fixed,1000,42,50.0000,1001,9413,5554,3859,0,0.590035,968,33,0.967033,2295,1453.5534,302676.8226,1455007,261.9746,5.548452
50,20,Uncorrelated,fixed,1000,42,50.0000,1001,9436,2248,7188,0,0.238237,723,278,0.722278,2103,939.5674,439258.3234,940507,418.3750,2.245754
51,20,Uncorrelated,fixed,1000,42,50.0000,1001,7266,3601,3665,0,0.495596,786,215,0.785215,2161,892.9670,425535.4904,893860,248.2255,3.597403
52,20,Uncorrelated,fixed,1000,42,50.0000,1001,8373,4258,4115,0,0.508539,980,21,0.979021,2331,1420.8362,387348.8143,1422257,334.0200,4.253746
53,20,Uncorrelated,fixed,1000,42,50.0000,1001,8231,3302,4879,50,0.401166,951,50,0.950050,2612,1268.8242,598844.2029,1270093,384.6435,3.298701
54,20,Uncorrelated,fixed,1000,42,50.0000,1001,9759,6645,3114,0,0.680910,973,28,0.972028,4256,2877.0160,1132986.9328,2879893,433.3925,6.638362
55,20,Uncorrelated,fixed,1000,42,50.0000,1001,9884,3812,5889,183,0.385674,957,44,0.956044,3217,1995.7872,844037.3623,1997783,524.0774,3.808192
56,20,Uncorrelated,fixed,1000,42,50.0000,1001,8847,5736,3111,0,0.648355,976,25,0.975025,3767,2609.3526,871202.7598,2611962,455.3630,5.730270
57,20,Uncorrelated,fixed,1000,42,50.0000,1001,12114,5359,6755,0,0.442381,959,42,0.958042,3620,2085.5385,1084532.7300,2087624,389.5548,5.353646
58,20,Uncorrelated,fixed,1000,42,50.0000,1001,10198,5758,4440,0,0.564621,978,23,0.977023,3686,2657.3666,839518.2722,2660024,461.9701,5.752248
59,20,Uncorrelated,fixed,1000,42,50.0000,1001,10960,5996,4964,0,0.547080,981,20,0.980020,4225,3090.2737,956355.9131,3093364,515.9046,5.990010
60,20,Uncorrelated,fixed,1000,42,50.0000,1001,10627,5573,5054,0,0.524419,989,12,0.988012,4071,2705.7313,729437.5731,2708437,485.9926,5.567433
61,20,Uncorrelated,fixed,1000,42,50.0000,1001,8519,3843,4676,0,0.451109,965,36,0.964036,2525,1657.1708,540826.1117,1658828,431.6492,3.839161
62,20,Uncorrelated,fixed,1000,42,50.0000,1001,11655,6411,5244,0,0.550064,999,2,0.998002,4447,2896.5055,1135704.1021,2899402,452.2543,6.404595
