instance_id,n,family,capacity_mode,capacity,seed,selected_count,solution_density,residual_capacity,capacity_utilization,last_selected_position,first_skipped_position
0,20,Uncorrelated,fixed,1000,42,5,0.250000,74,0.926000,8,4
1,20,Uncorrelated,fixed,1000,42,6,0.300000,16,0.984000,6,5
2,20,Uncorrelated,fixed,1000,42,4,0.200000,5,0.995000,3,4
3,20,Uncorrelated,fixed,1000,42,4,0.200000,25,0.975000,3,4
4,20,Uncorrelated,fixed,1000,42,6,0.300000,130,0.870000,5,6
5,20,Uncorrelated,fixed,1000,42,7,0.350000,42,0.958000,18,6
6,20,Uncorrelated,fixed,1000,42,6,0.300000,79,0.921000,15,4
7,20,Uncorrelated,fixed,1000,42,4,0.200000,46,0.954000,4,3
8,20,Uncorrelated,fixed,1000,42,6,0.300000,104,0.896000,5,6
9,20,Uncorrelated,fixed,1000,42,3,0.150000,62,0.938000,2,3
10,20,Uncorrelated,fixed,1000,42,6,0.300000,97,0.903000,5,6
11,20,Uncorrelated,fixed,1000,42,5,0.250000,117,0.883000,13,4
12,20,Uncorrelated,fixed,1000,42,5,0.250000,23,0.977000,4,5
13,20,Uncorrelated,fixed,1000,42,5,0.250000,18,0.982000,4,5
14,20,Uncorrelated,fixed,1000,42,7,0.350000,102,0.898000,6,7
15,20,Uncorrelated,fixed,1000,42,4,0.200000,131,0.869000,3,4
16,20,Uncorrelated,fixed,1000,42,5,0.250000,37,0.963000,15,4
17,20,Uncorrelated,fixed,1000,42,6,0.300000,152,0.848000,5,6
18,20,Uncorrelated,fixed,1000,42,7,0.350000,84,0.916000,6,7
19,20,Uncorrelated,fixed,1000,42,3,0.150000,143,0.857000,2,3
20,20,Uncorrelated,fixed,1000,42,6,0.300000,12,0.988000,6,5
21,20,Uncorrelated,fixed,1000,42,7,0.350000,67,0.933000,9,6
22,20,Uncorrelated,fixed,1000,42,6,0.300000,54,0.946000,5,6
23,20,Uncorrelated,fixed,1000,42,5,0.250000,41,0.959000,4,5
24,20,Uncorrelated,fixed,1000,42,9,0.450000,159,0.841000,8,9
25,20,Uncorrelated,fixed,1000,42,7,0.350000,40,0.960000,6,7
26,20,Uncorrelated,fixed,1000,42,6,0.300000,220,0.780000,5,6
27,20,Uncorrelated,fixed,1000,42,4,0.200000,180,0.820000,6,3
28,20,Uncorrelated,fixed,1000,42,6,0.300000,36,0.964000,5,6
29,20,Uncorrelated,fixed,1000,42,5,0.250000,104,0.896000,4,5
30,20,Uncorrelated,fixed,1000,42,7,0.350000,31,0.969000,6,7
31,20,Uncorrelated,fixed,1000,42,3,0.150000,355,0.645000,2,3
32,20,Uncorrelated,fixed,1000,42,7,0.350000,8,0.992000,7,4
33,20,Uncorrelated,fixed,1000,42,8,0.400000,80,0.920000,15,7
34,20,Uncorrelated,fixed,1000,42,4,0.200000,176,0.824000,3,4
35,20,Uncorrelated,fixed,1000,42,7,0.350000,9,0.991000,6,7
36,20,Uncorrelated,fixed,1000,42,6,0.300000,109,0.891000,5,6
37,20,Uncorrelated,fixed,1000,42,4,0.200000,14,0.986000,4,3
38,20,Uncorrelated,fixed,1000,42,5,0.250000,22,0.978000,5,4
39,20,Uncorrelated,fixed,1000,42,5,0.250000,49,0.951000,4,5
40,20,Uncorrelated,fixed,1000,42,7,0.350000,29,0.971000,10,6
41,20,Uncorrelated,fixed,1000,42,6,0.300000,185,0.815000,6,5
42,20,Uncorrelated,fixed,1000,42,7,0.350000,59,0.941000,12,5
43,20,Uncorrelated,fixed,1000,42,6,0.300000,131,0.869000,5,6
44,20,Uncorrelated,fixed,1000,42,3,0.150000,37,0.963000,2,3
45,20,Uncorrelated,fixed,1000,42,5,0.250000,75,0.925000,4,5
46,20,Uncorrelated,fixed,1000,42,3,0.150000,94,0.906000,2,3
47,20,Uncorrelated,fixed,1000,42,4,0.200000,84,0.916000,3,4
48,20,Uncorrelated,fixed,1000,42,5,0.250000,102,0.898000,15,4
49,20,Uncorrelated,fixed,1000,42,5,0.250000,13,0.987000,10,3
50,20,Uncorrelated,fixed,1000,42,3,0.150000,4,0.996000,2,3
51,20,Uncorrelated,fixed,1000,42,3,0.150000,2,0.998000,2,3
52,20,Uncorrelated,fixed,1000,42,4,0.200000,276,0.724000,4,3
53,20,Uncorrelated,fixed,1000,42,4,0.200000,272,0.728000,7,3
54,20,Uncorrelated,fixed,1000,42,7,0.350000,104,0.896000,6,7
55,20,Uncorrelated,fixed,1000,42,4,0.200000,177,0.823000,3,4
56,20,Uncorrelated,fixed,1000,42,5,0.250000,190,0.810000,4,5
57,20,Uncorrelated,fixed,1000,42,5,0.250000,3,0.997000,6,4
58,20,Uncorrelated,fixed,1000,42,6,0.300000,179,0.821000,5,6
59,20,Uncorrelated,fixed,1000,42,8,0.400000,54,0.946000,10,7
60,20,Uncorrelated,fixed,1000,42,7,0.350000,18,0.982000,6,7
61,20,Uncorrelated,fixed,1000,42,4,0.200000,205,0.795000,3,4
62,20,Uncorrelated,fixed,1000,42,7,0.350000,52,0.948000,8,6
63,20,Uncorrelated,fixed,1000,42,4,0.200000,126,0.874000,3,4
64,20,Uncorrelated,fixed,1000,42,5,0.250000,154,0.846000,4,5
