Level,Algorithm,Target,R2_M1_test,R2_M2a_test,R2_M2b_test,Delta_R2_M1_M2a,Delta_R2_M2a_M2b,Delta_R2_M1_M2b
L1: 5-Fold Stratified,BranchAndBound,log_time_millis,0.7439739166353629,0.7447638687653134,0.5447712926324636,0.0007899521299504775,-0.19999257613284982,-0.19920262400289934
L2: Config Holdout,BranchAndBound,log_time_millis,0.6802333002615631,0.6825489092839903,0.5210293238515977,0.002315609022427112,-0.16151958543239253,-0.15920397640996542
L3: Size Extrapolation,BranchAndBound,log_time_millis,0.3856635530654583,0.4077028183890091,-37.12395967896551,0.022039265323550827,-37.531662497354525,-37.50962323203097
L4: Capacity Extrapolation,BranchAndBound,log_time_millis,0.0,0.0,0.0,0.0,0.0,0.0
L5: LOFO-B (Keep Family),BranchAndBound,log_time_millis,0.47888411056421615,0.48337739349652065,-0.5941976443717119,0.004493282932304499,-1.0775750378682325,-1.073081754935928
L5: LOFO-A (Drop Family),BranchAndBound,log_time_millis,0.47888411056421615,0.48337739349652065,-0.5941976443717119,0.004493282932304499,-1.0775750378682325,-1.073081754935928
L1: 5-Fold Stratified,BranchAndBound,log_nodes_explored,0.7378586147633734,0.7378267796301456,0.9783914103767828,-3.183513322779774e-05,0.24056463074663714,0.24053279561340934
L2: Config Holdout,BranchAndBound,log_nodes_explored,0.6833454892303654,0.6830404426326788,0.9752265686253601,-0.0003050465976865979,0.29218612599268123,0.29188107939499464
L3: Size Extrapolation,BranchAndBound,log_nodes_explored,0.37118493848901346,0.35890184978000983,0.6126254071804285,-0.012283088709003631,0.25372355740041863,0.241440468691415
L4: Capacity Extrapolation,BranchAndBound,log_nodes_explored,0.0,0.0,0.0,0.0,0.0,0.0
L5: LOFO-B (Keep Family),BranchAndBound,log_nodes_explored,0.4017828577191155,0.39270544620779363,-2.5645495471924855,-0.009077411511321853,-2.957254993400279,-2.966332404911601
L5: LOFO-A (Drop Family),BranchAndBound,log_nodes_explored,0.4017828577191155,0.39270544620779363,-2.5645495471924855,-0.009077411511321853,-2.957254993400279,-2.966332404911601
