instance_id,family,n,capacity,bb_nodes,dfs_nodes
0,Uncorrelated,50,1000,61,159
1,Uncorrelated,50,1000,34,35
2,Uncorrelated,50,1000,136,141
3,Uncorrelated,50,1000,34,35
4,Uncorrelated,50,1000,56,137
5,Uncorrelated,50,1000,50,51
6,Uncorrelated,50,1000,60,60
7,Uncorrelated,50,1000,54,55
8,Uncorrelated,50,1000,62,269
9,Uncorrelated,50,1000,63,239
10,WeaklyCorrelated,50,1000,55,56
11,WeaklyCorrelated,50,1000,155,287
12,WeaklyCorrelated,50,1000,66,66
13,WeaklyCorrelated,50,1000,338,382
14,WeaklyCorrelated,50,1000,77,67
15,WeaklyCorrelated,50,1000,255,253
16,WeaklyCorrelated,50,1000,352,410
17,WeaklyCorrelated,50,1000,175,176
18,WeaklyCorrelated,50,1000,117,129
19,WeaklyCorrelated,50,1000,57,436
20,StronglyCorrelated,50,1000,1848,2377
21,StronglyCorrelated,50,1000,1084,4711
22,StronglyCorrelated,50,1000,387,1251
23,StronglyCorrelated,50,1000,373,696
24,StronglyCorrelated,50,1000,1875,3238
25,StronglyCorrelated,50,1000,857,851
26,StronglyCorrelated,50,1000,301,173
27,StronglyCorrelated,50,1000,763,3110
28,StronglyCorrelated,50,1000,2137,2824
29,StronglyCorrelated,50,1000,138,343
30,InverseCorrelated,50,1000,119,119
31,InverseCorrelated,50,1000,368,368
32,InverseCorrelated,50,1000,123,123
33,InverseCorrelated,50,1000,221,221
34,InverseCorrelated,50,1000,489,489
35,InverseCorrelated,50,1000,259,259
36,InverseCorrelated,50,1000,124,124
37,InverseCorrelated,50,1000,3338,3338
38,InverseCorrelated,50,1000,222,222
39,InverseCorrelated,50,1000,85,85
40,AlmostEqualRatios,50,1000,907,1020
41,AlmostEqualRatios,50,1000,1004,1070
42,AlmostEqualRatios,50,1000,343,680
43,AlmostEqualRatios,50,1000,567,774
44,AlmostEqualRatios,50,1000,203,147
45,AlmostEqualRatios,50,1000,597,595
46,AlmostEqualRatios,50,1000,31,32
47,AlmostEqualRatios,50,1000,360,1178
48,AlmostEqualRatios,50,1000,477,557
49,AlmostEqualRatios,50,1000,98,98
50,Uncorrelated,100,1000,186,186
51,Uncorrelated,100,1000,117,117
52,Uncorrelated,100,1000,135,135
53,Uncorrelated,100,1000,128,308
54,Uncorrelated,100,1000,203,354
55,Uncorrelated,100,1000,163,265
56,Uncorrelated,100,1000,75,317
57,Uncorrelated,100,1000,174,205
58,Uncorrelated,100,1000,182,529
59,Uncorrelated,100,1000,119,212
60,WeaklyCorrelated,100,1000,327,557
61,WeaklyCorrelated,100,1000,118,717
62,WeaklyCorrelated,100,1000,175,375
63,WeaklyCorrelated,100,1000,369,405
64,WeaklyCorrelated,100,1000,935,1566
65,WeaklyCorrelated,100,1000,339,1107
66,WeaklyCorrelated,100,1000,143,238
67,WeaklyCorrelated,100,1000,191,192
68,WeaklyCorrelated,100,1000,399,818
69,WeaklyCorrelated,100,1000,108,106
70,StronglyCorrelated,100,1000,518,1621
71,StronglyCorrelated,100,1000,1051,747
72,StronglyCorrelated,100,1000,433,1124
73,StronglyCorrelated,100,1000,843,1598
74,StronglyCorrelated,100,1000,140,128
75,StronglyCorrelated,100,1000,304,309
76,StronglyCorrelated,100,1000,2224,6505
77,StronglyCorrelated,100,1000,441,452
78,StronglyCorrelated,100,1000,361,433
79,StronglyCorrelated,100,1000,2789,4145
80,InverseCorrelated,100,1000,295,295
81,InverseCorrelated,100,1000,730,730
82,InverseCorrelated,100,1000,308,308
83,InverseCorrelated,100,1000,176,176
84,InverseCorrelated,100,1000,113,114
85,InverseCorrelated,100,1000,579,579
86,InverseCorrelated,100,1000,1435,1435
87,InverseCorrelated,100,1000,86,87
88,InverseCorrelated,100,1000,684,684
89,InverseCorrelated,100,1000,553,553
90,AlmostEqualRatios,100,1000,819,2126
91,AlmostEqualRatios,100,1000,65,63
92,AlmostEqualRatios,100,1000,94,1097
93,AlmostEqualRatios,100,1000,167,224
94,AlmostEqualRatios,100,1000,412,1085
95,AlmostEqualRatios,100,1000,71,258
96,AlmostEqualRatios,100,1000,425,1548
97,AlmostEqualRatios,100,1000,999,1500
98,AlmostEqualRatios,100,1000,172,517
99,AlmostEqualRatios,100,1000,1351,2930
