n,Algorithm,Family,Time_ms_median,Mem_MB_median,Gap_pct_mean,Nodes_median
20,Greedy,Uncorr.,0.00,0.50,1.92,---
20,Greedy,WeakCorr.,0.00,0.50,4.66,---
20,Greedy,StrongCorr.,0.00,0.50,8.55,---
20,Greedy,InverseCorr.,0.00,0.50,0.00,---
20,Greedy,EqualRatios,0.00,0.50,3.46,---
20,DynamicProgramming,Uncorr.,0.01,0.50,---,---
20,DynamicProgramming,WeakCorr.,0.04,0.50,---,---
20,DynamicProgramming,StrongCorr.,0.04,0.50,---,---
20,DynamicProgramming,InverseCorr.,0.01,0.50,---,---
20,DynamicProgramming,EqualRatios,0.02,0.50,---,---
20,BranchAndBound,Uncorr.,0.02,0.50,---,29
20,BranchAndBound,WeakCorr.,0.03,0.50,---,72
20,BranchAndBound,StrongCorr.,0.05,0.50,---,384
20,BranchAndBound,InverseCorr.,0.01,0.50,---,40
20,BranchAndBound,EqualRatios,0.01,0.50,---,90
50,Greedy,Uncorr.,0.02,0.50,1.04,---
50,Greedy,WeakCorr.,0.01,0.50,2.35,---
50,Greedy,StrongCorr.,0.01,0.50,5.11,---
50,Greedy,InverseCorr.,0.01,0.50,0.00,---
50,Greedy,EqualRatios,0.01,0.50,1.56,---
50,DynamicProgramming,Uncorr.,0.04,0.50,---,---
50,DynamicProgramming,WeakCorr.,0.04,0.50,---,---
50,DynamicProgramming,StrongCorr.,0.04,0.50,---,---
50,DynamicProgramming,InverseCorr.,0.03,0.50,---,---
50,DynamicProgramming,EqualRatios,0.04,0.50,---,---
50,BranchAndBound,Uncorr.,0.01,0.50,---,64
50,BranchAndBound,WeakCorr.,0.02,0.50,---,172
50,BranchAndBound,StrongCorr.,0.10,0.50,---,784
50,BranchAndBound,InverseCorr.,0.05,0.50,---,242
50,BranchAndBound,EqualRatios,0.04,0.50,---,208
100,Greedy,Uncorr.,0.02,0.50,1.02,---
100,Greedy,WeakCorr.,0.04,0.50,1.97,---
100,Greedy,StrongCorr.,0.02,0.50,2.90,---
100,Greedy,InverseCorr.,0.01,0.50,0.00,---
100,Greedy,EqualRatios,0.01,0.50,0.97,---
100,DynamicProgramming,Uncorr.,0.14,0.50,---,---
100,DynamicProgramming,WeakCorr.,0.21,0.50,---,---
100,DynamicProgramming,StrongCorr.,0.22,0.50,---,---
100,DynamicProgramming,InverseCorr.,0.12,0.50,---,---
100,DynamicProgramming,EqualRatios,0.13,0.50,---,---
100,BranchAndBound,Uncorr.,0.04,0.50,---,130
100,BranchAndBound,WeakCorr.,0.06,0.50,---,246
100,BranchAndBound,StrongCorr.,0.14,0.50,---,958
100,BranchAndBound,InverseCorr.,0.16,0.50,---,1058
100,BranchAndBound,EqualRatios,0.05,0.50,---,302
200,Greedy,Uncorr.,0.08,0.50,0.58,---
200,Greedy,WeakCorr.,0.03,0.50,1.04,---
200,Greedy,StrongCorr.,0.03,0.50,2.06,---
200,Greedy,InverseCorr.,0.02,0.50,0.00,---
200,Greedy,EqualRatios,0.03,0.50,0.55,---
200,DynamicProgramming,Uncorr.,0.24,0.50,---,---
200,DynamicProgramming,WeakCorr.,0.23,0.50,---,---
200,DynamicProgramming,StrongCorr.,0.25,0.50,---,---
200,DynamicProgramming,InverseCorr.,0.23,0.50,---,---
200,DynamicProgramming,EqualRatios,0.26,0.50,---,---
200,BranchAndBound,Uncorr.,0.07,0.50,---,222
200,BranchAndBound,WeakCorr.,0.08,0.50,---,416
200,BranchAndBound,StrongCorr.,0.21,0.50,---,1377
200,BranchAndBound,InverseCorr.,0.69,0.50,---,4054
200,BranchAndBound,EqualRatios,0.10,0.50,---,533
500,Greedy,Uncorr.,0.10,0.50,0.40,---
500,Greedy,WeakCorr.,0.07,0.50,0.60,---
500,Greedy,StrongCorr.,0.11,0.50,0.85,---
500,Greedy,InverseCorr.,0.12,0.50,0.00,---
500,Greedy,EqualRatios,0.10,0.50,0.19,---
500,DynamicProgramming,Uncorr.,0.58,0.50,---,---
500,DynamicProgramming,WeakCorr.,0.58,0.50,---,---
500,DynamicProgramming,StrongCorr.,0.45,0.50,---,---
500,DynamicProgramming,InverseCorr.,0.38,0.50,---,---
500,DynamicProgramming,EqualRatios,0.47,0.50,---,---
500,BranchAndBound,Uncorr.,0.16,0.50,---,466
500,BranchAndBound,WeakCorr.,0.17,0.50,---,646
500,BranchAndBound,StrongCorr.,0.38,0.50,---,2148
500,BranchAndBound,InverseCorr.,14.33,2.25,---,106596
500,BranchAndBound,EqualRatios,0.21,0.50,---,1098
1000,Greedy,Uncorr.,0.14,0.50,0.30,---
1000,Greedy,WeakCorr.,0.13,0.50,0.37,---
1000,Greedy,StrongCorr.,0.12,0.50,0.50,---
1000,Greedy,InverseCorr.,0.14,0.50,0.00,---
1000,Greedy,EqualRatios,0.23,0.50,0.12,---
1000,DynamicProgramming,Uncorr.,0.62,0.50,---,---
1000,DynamicProgramming,WeakCorr.,0.77,0.50,---,---
1000,DynamicProgramming,StrongCorr.,0.67,0.50,---,---
1000,DynamicProgramming,InverseCorr.,0.95,0.50,---,---
1000,DynamicProgramming,EqualRatios,0.96,0.50,---,---
1000,BranchAndBound,Uncorr.,0.31,0.50,---,552
1000,BranchAndBound,WeakCorr.,0.37,0.50,---,777
1000,BranchAndBound,StrongCorr.,0.61,0.50,---,3482
1000,BranchAndBound,InverseCorr.,83.05,1.25,---,878516
1000,BranchAndBound,EqualRatios,0.64,0.50,---,4492
