n,Algorithm,Family,Time_ms_median,Mem_MB_median,Gap_pct_mean,Nodes_median
20,Greedy,Uncorr.,0.00,0.50,0.72,---
20,Greedy,WeakCorr.,0.00,0.50,1.12,---
20,Greedy,StrongCorr.,0.00,0.50,3.22,---
20,Greedy,InverseCorr.,0.00,0.50,0.00,---
20,Greedy,EqualRatios,0.01,0.50,1.29,---
20,DynamicProgramming,Uncorr.,0.12,0.50,---,---
20,DynamicProgramming,WeakCorr.,0.16,0.50,---,---
20,DynamicProgramming,StrongCorr.,0.25,0.50,---,---
20,DynamicProgramming,InverseCorr.,0.08,0.50,---,---
20,DynamicProgramming,EqualRatios,0.11,0.50,---,---
20,BranchAndBound,Uncorr.,0.01,0.50,---,36
20,BranchAndBound,WeakCorr.,0.03,0.50,---,85
20,BranchAndBound,StrongCorr.,0.17,0.50,---,604
20,BranchAndBound,InverseCorr.,0.01,0.50,---,39
20,BranchAndBound,EqualRatios,0.02,0.50,---,138
50,Greedy,Uncorr.,0.03,0.50,0.22,---
50,Greedy,WeakCorr.,0.01,0.50,0.35,---
50,Greedy,StrongCorr.,0.01,0.50,0.96,---
50,Greedy,InverseCorr.,0.02,0.50,0.00,---
50,Greedy,EqualRatios,0.02,0.50,0.23,---
50,DynamicProgramming,Uncorr.,0.76,0.50,---,---
50,DynamicProgramming,WeakCorr.,0.70,0.50,---,---
50,DynamicProgramming,StrongCorr.,1.34,0.50,---,---
50,DynamicProgramming,InverseCorr.,0.83,0.50,---,---
50,DynamicProgramming,EqualRatios,1.10,0.50,---,---
50,BranchAndBound,Uncorr.,0.02,0.50,---,116
50,BranchAndBound,WeakCorr.,0.09,0.50,---,324
50,BranchAndBound,StrongCorr.,0.66,0.50,---,1617
50,BranchAndBound,InverseCorr.,0.08,0.50,---,172
50,BranchAndBound,EqualRatios,0.14,0.50,---,400
100,Greedy,Uncorr.,0.02,0.50,0.11,---
100,Greedy,WeakCorr.,0.02,0.50,0.13,---
100,Greedy,StrongCorr.,0.04,0.50,0.41,---
100,Greedy,InverseCorr.,0.03,0.50,0.00,---
100,Greedy,EqualRatios,0.03,0.50,0.08,---
100,DynamicProgramming,Uncorr.,2.78,0.50,---,---
100,DynamicProgramming,WeakCorr.,2.79,0.50,---,---
100,DynamicProgramming,StrongCorr.,6.10,0.50,---,---
100,DynamicProgramming,InverseCorr.,2.49,0.50,---,---
100,DynamicProgramming,EqualRatios,4.28,0.50,---,---
100,BranchAndBound,Uncorr.,0.13,0.50,---,220
100,BranchAndBound,WeakCorr.,0.15,0.50,---,550
100,BranchAndBound,StrongCorr.,0.60,0.50,---,3032
100,BranchAndBound,InverseCorr.,0.28,0.50,---,1432
100,BranchAndBound,EqualRatios,0.10,0.50,---,506
200,Greedy,Uncorr.,0.02,0.50,0.05,---
200,Greedy,WeakCorr.,0.02,0.50,0.05,---
200,Greedy,StrongCorr.,0.03,0.50,0.15,---
200,Greedy,InverseCorr.,0.02,0.50,0.00,---
200,Greedy,EqualRatios,0.02,0.50,0.02,---
200,DynamicProgramming,Uncorr.,11.91,0.50,---,---
200,DynamicProgramming,WeakCorr.,9.36,0.50,---,---
200,DynamicProgramming,StrongCorr.,12.49,0.50,---,---
200,DynamicProgramming,InverseCorr.,10.69,0.50,---,---
200,DynamicProgramming,EqualRatios,11.73,0.50,---,---
200,BranchAndBound,Uncorr.,0.14,0.50,---,448
200,BranchAndBound,WeakCorr.,0.22,0.50,---,1007
200,BranchAndBound,StrongCorr.,1.71,0.50,---,12428
200,BranchAndBound,InverseCorr.,2.86,0.50,---,21580
200,BranchAndBound,EqualRatios,0.30,0.49,---,1129
500,Greedy,Uncorr.,0.12,0.50,0.01,---
500,Greedy,WeakCorr.,0.12,0.50,0.01,---
500,Greedy,StrongCorr.,0.15,0.50,0.05,---
500,Greedy,InverseCorr.,0.11,0.50,0.00,---
500,Greedy,EqualRatios,0.11,0.50,0.00,---
500,DynamicProgramming,Uncorr.,39.87,0.50,---,---
500,DynamicProgramming,WeakCorr.,40.81,0.50,---,---
500,DynamicProgramming,StrongCorr.,47.06,0.50,---,---
500,DynamicProgramming,InverseCorr.,40.72,0.50,---,---
500,DynamicProgramming,EqualRatios,42.15,0.50,---,---
500,BranchAndBound,Uncorr.,0.37,0.49,---,1118
500,BranchAndBound,WeakCorr.,0.32,0.50,---,2074
500,BranchAndBound,StrongCorr.,46.09,0.50,---,372152
500,BranchAndBound,InverseCorr.,1463.64,7.25,---,8169696
500,BranchAndBound,EqualRatios,0.52,0.50,---,2226
1000,Greedy,Uncorr.,0.13,0.50,0.01,---
1000,Greedy,WeakCorr.,0.17,0.50,0.01,---
1000,Greedy,StrongCorr.,0.12,0.50,0.02,---
1000,Greedy,InverseCorr.,0.14,0.50,0.00,---
1000,Greedy,EqualRatios,0.17,0.50,0.00,---
1000,DynamicProgramming,Uncorr.,167.66,1.50,---,---
1000,DynamicProgramming,WeakCorr.,165.86,1.50,---,---
1000,DynamicProgramming,StrongCorr.,182.03,1.50,---,---
1000,DynamicProgramming,InverseCorr.,165.20,1.50,---,---
1000,DynamicProgramming,EqualRatios,168.16,1.50,---,---
1000,BranchAndBound,Uncorr.,0.47,0.50,---,2142
1000,BranchAndBound,WeakCorr.,0.82,0.50,---,2996
1000,BranchAndBound,StrongCorr.,8852.82,10.25,---,50000000
1000,BranchAndBound,InverseCorr.,9420.09,96.75,---,50000000
1000,BranchAndBound,EqualRatios,0.85,0.50,---,5595
