n,Algorithm,Family,Time_ms_median,Mem_MB_median,Gap_pct_mean,Nodes_median
20,Greedy,Uncorr.,0.02,0.44,1.28,---
20,Greedy,WeakCorr.,0.01,0.33,5.03,---
20,Greedy,StrongCorr.,0.01,0.33,12.10,---
20,Greedy,InverseCorr.,0.01,0.33,0.00,---
20,Greedy,EqualRatios,0.01,0.33,2.87,---
20,DynamicProgramming,Uncorr.,0.08,1.00,---,---
20,DynamicProgramming,WeakCorr.,0.06,1.00,---,---
20,DynamicProgramming,StrongCorr.,0.02,1.00,---,---
20,DynamicProgramming,InverseCorr.,0.01,1.00,---,---
20,DynamicProgramming,EqualRatios,0.01,1.00,---,---
20,BranchAndBound,Uncorr.,0.03,1.00,---,28
20,BranchAndBound,WeakCorr.,0.05,1.00,---,94
20,BranchAndBound,StrongCorr.,0.13,1.00,---,320
20,BranchAndBound,InverseCorr.,0.04,1.00,---,38
20,BranchAndBound,EqualRatios,0.04,1.00,---,102
50,Greedy,Uncorr.,0.03,0.33,1.11,---
50,Greedy,WeakCorr.,0.02,1.00,2.49,---
50,Greedy,StrongCorr.,0.02,1.00,5.03,---
50,Greedy,InverseCorr.,0.01,1.00,0.00,---
50,Greedy,EqualRatios,0.01,1.00,1.22,---
50,DynamicProgramming,Uncorr.,0.08,1.00,---,---
50,DynamicProgramming,WeakCorr.,0.06,1.00,---,---
50,DynamicProgramming,StrongCorr.,0.08,1.00,---,---
50,DynamicProgramming,InverseCorr.,0.07,1.00,---,---
50,DynamicProgramming,EqualRatios,0.07,1.00,---,---
50,BranchAndBound,Uncorr.,0.07,1.00,---,69
50,BranchAndBound,WeakCorr.,0.07,1.00,---,108
50,BranchAndBound,StrongCorr.,0.13,1.00,---,903
50,BranchAndBound,InverseCorr.,0.06,1.00,---,262
50,BranchAndBound,EqualRatios,0.07,1.00,---,248
100,Greedy,Uncorr.,0.05,1.00,0.98,---
100,Greedy,WeakCorr.,0.05,1.00,1.33,---
100,Greedy,StrongCorr.,0.05,1.00,3.29,---
100,Greedy,InverseCorr.,0.07,1.00,0.00,---
100,Greedy,EqualRatios,0.07,1.00,0.96,---
100,DynamicProgramming,Uncorr.,0.11,1.00,---,---
100,DynamicProgramming,WeakCorr.,0.15,1.00,---,---
100,DynamicProgramming,StrongCorr.,0.14,1.00,---,---
100,DynamicProgramming,InverseCorr.,0.09,1.00,---,---
100,DynamicProgramming,EqualRatios,0.12,1.00,---,---
100,BranchAndBound,Uncorr.,0.08,1.00,---,140
100,BranchAndBound,WeakCorr.,0.09,1.00,---,252
100,BranchAndBound,StrongCorr.,0.24,1.00,---,1169
100,BranchAndBound,InverseCorr.,0.12,1.00,---,644
100,BranchAndBound,EqualRatios,0.09,1.00,---,393
200,Greedy,Uncorr.,0.09,1.00,0.82,---
200,Greedy,WeakCorr.,0.09,1.00,1.05,---
200,Greedy,StrongCorr.,0.11,1.00,2.09,---
200,Greedy,InverseCorr.,0.11,1.00,0.00,---
200,Greedy,EqualRatios,0.11,1.00,0.40,---
200,DynamicProgramming,Uncorr.,0.20,1.00,---,---
200,DynamicProgramming,WeakCorr.,0.19,1.00,---,---
200,DynamicProgramming,StrongCorr.,0.26,1.00,---,---
200,DynamicProgramming,InverseCorr.,0.20,1.00,---,---
200,DynamicProgramming,EqualRatios,0.27,1.00,---,---
200,BranchAndBound,Uncorr.,0.10,1.00,---,248
200,BranchAndBound,WeakCorr.,0.08,1.00,---,520
200,BranchAndBound,StrongCorr.,0.28,1.00,---,2256
200,BranchAndBound,InverseCorr.,0.64,1.00,---,4318
200,BranchAndBound,EqualRatios,0.05,1.00,---,503
500,Greedy,Uncorr.,0.29,1.00,0.39,---
500,Greedy,WeakCorr.,0.33,1.00,0.61,---
500,Greedy,StrongCorr.,0.20,1.00,1.00,---
500,Greedy,InverseCorr.,0.12,1.00,0.00,---
500,Greedy,EqualRatios,0.10,1.00,0.24,---
500,DynamicProgramming,Uncorr.,0.39,1.00,---,---
500,DynamicProgramming,WeakCorr.,0.36,1.00,---,---
500,DynamicProgramming,StrongCorr.,0.39,1.00,---,---
500,DynamicProgramming,InverseCorr.,0.44,1.00,---,---
500,DynamicProgramming,EqualRatios,0.38,1.00,---,---
500,BranchAndBound,Uncorr.,0.12,1.00,---,582
500,BranchAndBound,WeakCorr.,0.14,1.00,---,800
500,BranchAndBound,StrongCorr.,0.36,1.00,---,3228
500,BranchAndBound,InverseCorr.,4.67,1.50,---,46244
500,BranchAndBound,EqualRatios,0.18,1.00,---,984
